Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
straks,"Jul 02, 2018",0.146928,0.189033,0.146043,0.173329,"2,860","792,906"
straks,"Jul 01, 2018",0.153005,0.174343,0.144768,0.146912,771,"821,521"
straks,"Jun 30, 2018",0.147823,0.166882,0.143898,0.152962,"4,704","789,665"
straks,"Jun 29, 2018",0.177637,0.179912,0.131583,0.147624,"3,640","944,168"
straks,"Jun 28, 2018",0.181399,0.186441,0.172714,0.177508,"1,046","959,203"
straks,"Jun 27, 2018",0.192311,0.286058,0.170708,0.180063,"6,710","1,011,650"
straks,"Jun 26, 2018",0.191108,0.232833,0.187066,0.192415,"2,024","1,000,100"
straks,"Jun 25, 2018",0.200139,0.273794,0.181921,0.191108,"9,648","1,041,860"
straks,"Jun 24, 2018",0.202391,0.209681,0.188751,0.200563,"1,946","1,048,060"
straks,"Jun 23, 2018",0.200888,0.229218,0.200262,0.202419,"2,026","1,034,810"
straks,"Jun 22, 2018",0.225848,0.227323,0.200227,0.200917,"2,738","1,157,210"
straks,"Jun 21, 2018",0.242758,0.255053,0.225130,0.227189,"4,876","1,237,220"
straks,"Jun 20, 2018",0.273944,0.280075,0.237178,0.241258,"4,424","1,388,620"
straks,"Jun 19, 2018",0.294609,0.366093,0.267665,0.273773,"11,221","1,485,280"
straks,"Jun 18, 2018",0.228886,0.402178,0.223498,0.294418,"101,290","1,147,630"
straks,"Jun 17, 2018",0.199255,0.238512,0.195780,0.229107,"3,498","993,599"
straks,"Jun 16, 2018",0.214703,0.238277,0.198700,0.198783,"3,804","1,064,860"
straks,"Jun 15, 2018",0.262566,0.262975,0.204273,0.215482,"7,284","1,295,050"
straks,"Jun 14, 2018",0.239096,0.268916,0.238800,0.263024,"2,162","1,172,760"
straks,"Jun 13, 2018",0.275010,0.283591,0.236120,0.243218,"4,923","1,341,270"
straks,"Jun 12, 2018",0.279910,0.289317,0.266700,0.274255,"2,842","1,357,490"
straks,"Jun 11, 2018",0.288404,0.292883,0.267518,0.280010,"4,137","1,390,830"
straks,"Jun 10, 2018",0.322108,0.323173,0.276718,0.287348,"4,943","1,544,570"
straks,"Jun 09, 2018",0.347513,0.376652,0.319387,0.322330,"6,684","1,656,980"
straks,"Jun 08, 2018",0.341712,0.358310,0.340583,0.347636,"3,382","1,620,000"
straks,"Jun 07, 2018",0.346698,0.371361,0.339933,0.341346,"7,961","1,634,180"
straks,"Jun 06, 2018",0.344244,0.427244,0.325578,0.358559,"133,499","1,613,210"
straks,"Jun 05, 2018",0.333580,0.344369,0.314048,0.344369,"8,116","1,554,080"
straks,"Jun 04, 2018",0.372783,0.525612,0.324844,0.333437,"43,521","1,726,650"
straks,"Jun 03, 2018",0.352587,0.381508,0.325136,0.373000,"24,680","1,623,620"
straks,"Jun 02, 2018",0.380343,0.401000,0.330823,0.352541,"6,309","1,741,030"
straks,"Jun 01, 2018",0.359085,0.397068,0.322996,0.380506,"10,477","1,634,020"
straks,"May 31, 2018",0.363293,0.387766,0.278128,0.358789,"27,234","1,643,400"
straks,"May 30, 2018",0.413695,0.423027,0.378415,0.378549,"4,592","1,860,090"
straks,"May 29, 2018",0.458454,0.482834,0.391925,0.413423,"20,090","2,048,880"
straks,"May 28, 2018",0.499766,0.521876,0.430829,0.458757,"23,122","2,219,990"
straks,"May 27, 2018",0.508209,0.555274,0.419529,0.499759,"84,447","2,243,910"
straks,"May 26, 2018",0.576131,0.579626,0.503411,0.508031,"12,763","2,528,240"
straks,"May 25, 2018",0.550591,0.580571,0.537334,0.576547,"9,513","2,401,460"
