Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
sugar-exchange,"Jul 02, 2018",0.070933,0.075371,0.062473,0.071999,"7,280","1,304,870"
sugar-exchange,"Jul 01, 2018",0.077440,0.088335,0.067404,0.070880,"8,190","1,424,570"
sugar-exchange,"Jun 30, 2018",0.074298,0.088529,0.071626,0.077422,872,"1,366,770"
sugar-exchange,"Jun 29, 2018",0.073980,0.082067,0.065914,0.074244,"6,693","1,360,920"
sugar-exchange,"Jun 28, 2018",0.066302,0.078006,0.066302,0.073938,"3,092","1,219,680"
sugar-exchange,"Jun 27, 2018",0.076611,0.079173,0.063265,0.066202,"4,475","1,409,330"
sugar-exchange,"Jun 26, 2018",0.064542,0.089182,0.063968,0.076746,"1,847","1,187,310"
sugar-exchange,"Jun 25, 2018",0.071041,0.080341,0.064474,0.064542,"11,072","1,292,660"
sugar-exchange,"Jun 24, 2018",0.083032,0.083307,0.067805,0.071314,"16,250","1,497,570"
sugar-exchange,"Jun 23, 2018",0.079033,0.088373,0.078285,0.083055,"8,145","1,425,450"
sugar-exchange,"Jun 22, 2018",0.091746,0.093005,0.078752,0.085366,"6,651","1,654,740"
sugar-exchange,"Jun 21, 2018",0.088534,0.102019,0.085055,0.091777,"16,131","1,579,100"
sugar-exchange,"Jun 20, 2018",0.087133,0.092690,0.083590,0.088561,"2,571","1,554,120"
sugar-exchange,"Jun 19, 2018",0.081853,0.095145,0.079229,0.087078,"1,579","286,487"
sugar-exchange,"Jun 18, 2018",0.083768,0.097670,0.076215,0.081901,"11,672","293,187"
sugar-exchange,"Jun 17, 2018",0.079639,0.084819,0.078655,0.084002,"1,679","278,735"
sugar-exchange,"Jun 16, 2018",0.077664,0.087597,0.077508,0.079562,"2,424","271,825"
sugar-exchange,"Jun 15, 2018",0.094464,0.103278,0.077505,0.077936,"3,954","330,625"
sugar-exchange,"Jun 14, 2018",0.087108,0.112682,0.083252,0.094509,"33,296","304,877"
sugar-exchange,"Jun 13, 2018",0.099914,0.100731,0.086129,0.087003,"11,357","349,699"
sugar-exchange,"Jun 12, 2018",0.112142,0.127516,0.098499,0.099535,"25,061","392,498"
sugar-exchange,"Jun 11, 2018",0.121528,0.123304,0.105156,0.112108,"21,987","425,347"
sugar-exchange,"Jun 10, 2018",0.122444,0.140491,0.112061,0.121332,"7,490","428,553"
sugar-exchange,"Jun 09, 2018",0.126928,0.132151,0.121498,0.122254,"4,088","444,248"
sugar-exchange,"Jun 08, 2018",0.127483,0.130679,0.119176,0.126963,"17,771","446,191"
sugar-exchange,"Jun 07, 2018",0.136176,0.143702,0.126648,0.127346,"26,754","476,616"
sugar-exchange,"Jun 06, 2018",0.141361,0.148029,0.131646,0.136146,"17,161","494,765"
sugar-exchange,"Jun 05, 2018",0.148694,0.148973,0.137650,0.141408,"3,741","520,430"
sugar-exchange,"Jun 04, 2018",0.150927,0.159399,0.141743,0.148654,"2,107","528,243"
sugar-exchange,"Jun 03, 2018",0.146383,0.168256,0.138394,0.151100,"47,700","512,340"
sugar-exchange,"Jun 02, 2018",0.147533,0.154051,0.144960,0.146414,"3,756","516,364"
sugar-exchange,"Jun 01, 2018",0.160388,0.170569,0.143749,0.147589,"2,309","561,359"
sugar-exchange,"May 31, 2018",0.140877,0.170467,0.136618,0.160106,"9,068","493,069"
sugar-exchange,"May 30, 2018",0.139666,0.146227,0.135095,0.140933,"3,017","488,832"
sugar-exchange,"May 29, 2018",0.127904,0.147116,0.126125,0.139575,"6,536","447,665"
sugar-exchange,"May 28, 2018",0.146214,0.150977,0.127936,0.128163,"25,871","511,749"
sugar-exchange,"May 27, 2018",0.156990,0.157908,0.141261,0.146194,"4,213","549,464"
sugar-exchange,"May 26, 2018",0.162129,0.176338,0.150445,0.156724,"34,342","567,450"
sugar-exchange,"May 25, 2018",0.181202,0.187099,0.160527,0.162293,"7,112","634,208"
sugar-exchange,"May 24, 2018",0.158069,0.182240,0.155714,0.180901,"5,100","553,242"
sugar-exchange,"May 23, 2018",0.182533,0.185742,0.152872,0.158544,"5,786","638,866"
sugar-exchange,"May 22, 2018",0.187233,0.191833,0.173464,0.182820,"14,331","655,314"
sugar-exchange,"May 21, 2018",0.213076,0.213338,0.182287,0.187326,"20,553","745,766"
sugar-exchange,"May 20, 2018",0.170704,0.220216,0.163083,0.212805,"108,636","597,463"
sugar-exchange,"May 19, 2018",0.150146,0.170794,0.149253,0.170570,"11,399","525,510"
sugar-exchange,"May 18, 2018",0.163143,0.163855,0.144348,0.150165,"8,190","571,001"
sugar-exchange,"May 17, 2018",0.147470,0.165443,0.139918,0.163182,"41,242","516,145"
sugar-exchange,"May 16, 2018",0.149625,0.152471,0.142023,0.147323,"10,205","523,687"
sugar-exchange,"May 15, 2018",0.148190,0.169677,0.148118,0.149117,"24,669","518,664"
sugar-exchange,"May 14, 2018",0.163940,0.169874,0.140114,0.148440,"30,079","573,790"
sugar-exchange,"May 13, 2018",0.167116,0.183177,0.154450,0.163980,"25,426","584,906"
sugar-exchange,"May 12, 2018",0.153277,0.168775,0.143289,0.167239,"28,470","536,470"
sugar-exchange,"May 11, 2018",0.185423,0.185423,0.152702,0.153084,"17,810","648,979"
sugar-exchange,"May 10, 2018",0.161785,0.215227,0.161785,0.185219,"46,838","566,248"
sugar-exchange,"May 09, 2018",0.157202,0.167312,0.154874,0.161890,"15,315","550,207"
sugar-exchange,"May 08, 2018",0.136388,0.163785,0.136388,0.157439,"17,372","477,359"
sugar-exchange,"May 07, 2018",0.139702,0.157679,0.134611,0.135712,"47,859","488,956"
sugar-exchange,"May 06, 2018",0.171229,0.172961,0.133339,0.139603,"39,195","599,302"
sugar-exchange,"May 05, 2018",0.147419,0.171513,0.147128,0.171136,"23,391","515,967"
sugar-exchange,"May 04, 2018",0.149043,0.152952,0.143820,0.147434,"20,365","521,649"
sugar-exchange,"May 03, 2018",0.165879,0.166118,0.141738,0.149217,"28,735","580,575"
sugar-exchange,"May 02, 2018",0.162730,0.168338,0.149776,0.165875,"63,443","569,554"
sugar-exchange,"May 01, 2018",0.175278,0.175278,0.148716,0.163090,"73,873","613,473"
sugar-exchange,"Apr 30, 2018",0.174412,0.186848,0.155079,0.174945,"65,475","610,442"
