Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
suncontract,"Jul 02, 2018",0.083460,0.093535,0.082068,0.091805,"1,494,760","9,996,460"
suncontract,"Jul 01, 2018",0.085770,0.086116,0.080127,0.083373,"1,389,260","10,273,100"
suncontract,"Jun 30, 2018",0.079259,0.086640,0.079135,0.085957,"1,476,230","9,493,370"
suncontract,"Jun 29, 2018",0.075487,0.080148,0.070070,0.079303,"1,207,410","9,041,580"
suncontract,"Jun 28, 2018",0.083289,0.083780,0.075212,0.075680,"1,259,260","9,975,980"
suncontract,"Jun 27, 2018",0.085802,0.085802,0.079307,0.083142,"1,571,690","10,276,900"
suncontract,"Jun 26, 2018",0.086182,0.088561,0.083522,0.086201,"1,544,460","10,322,500"
suncontract,"Jun 25, 2018",0.082317,0.088141,0.081090,0.086130,"1,421,600","9,859,550"
suncontract,"Jun 24, 2018",0.085761,0.088654,0.076689,0.082646,"1,390,250","10,272,100"
suncontract,"Jun 23, 2018",0.081000,0.085828,0.079653,0.085771,"1,489,470","9,701,780"
suncontract,"Jun 22, 2018",0.094522,0.104499,0.080717,0.081273,"1,812,280","11,316,100"
suncontract,"Jun 21, 2018",0.095126,0.096280,0.091960,0.094688,"1,729,080","11,388,400"
suncontract,"Jun 20, 2018",0.097657,0.099974,0.093045,0.095111,"1,582,640","11,691,400"
suncontract,"Jun 19, 2018",0.100078,0.102151,0.095629,0.097630,"1,525,930","11,981,200"
suncontract,"Jun 18, 2018",0.096461,0.100893,0.093856,0.100233,"1,873,000","11,548,200"
suncontract,"Jun 17, 2018",0.097297,0.098272,0.096083,0.096720,"1,619,430","11,648,300"
suncontract,"Jun 16, 2018",0.096479,0.098604,0.094000,0.097304,"1,647,760","11,550,300"
suncontract,"Jun 15, 2018",0.103113,0.105694,0.095903,0.096682,"1,601,140","12,344,600"
suncontract,"Jun 14, 2018",0.092641,0.104706,0.092641,0.103581,"1,911,810","11,090,900"
suncontract,"Jun 13, 2018",0.101778,0.101778,0.089604,0.092533,"1,737,280","12,184,800"
suncontract,"Jun 12, 2018",0.112946,0.116841,0.100425,0.101385,"1,802,170","13,521,700"
suncontract,"Jun 11, 2018",0.099486,0.112481,0.097545,0.112303,"2,610,610","11,910,400"
suncontract,"Jun 10, 2018",0.125174,0.125174,0.097955,0.099150,"1,645,540","14,985,700"
suncontract,"Jun 09, 2018",0.136442,0.136578,0.125032,0.125032,"2,510,280","16,334,700"
suncontract,"Jun 08, 2018",0.144729,0.145112,0.135138,0.136488,"3,041,040","17,326,800"
suncontract,"Jun 07, 2018",0.149062,0.150416,0.143650,0.144281,"2,084,430","17,845,600"
suncontract,"Jun 06, 2018",0.151669,0.154445,0.145518,0.148978,"2,068,450","18,157,600"
suncontract,"Jun 05, 2018",0.151004,0.155673,0.143039,0.151756,"2,370,720","18,078,100"
suncontract,"Jun 04, 2018",0.169273,0.169826,0.149448,0.150593,"2,455,310","20,265,200"
suncontract,"Jun 03, 2018",0.176237,0.176743,0.166839,0.169165,"2,604,860","21,099,000"
suncontract,"Jun 02, 2018",0.166582,0.178381,0.162820,0.176517,"3,486,350","19,943,100"
suncontract,"Jun 01, 2018",0.160138,0.172740,0.159008,0.168220,"3,188,000","19,171,500"
suncontract,"May 31, 2018",0.154582,0.165690,0.151949,0.159884,"3,246,750","18,506,500"
suncontract,"May 30, 2018",0.161679,0.162948,0.151212,0.154856,"3,039,820","19,356,000"
suncontract,"May 29, 2018",0.148741,0.163669,0.145448,0.161929,"2,737,260","17,807,100"
suncontract,"May 28, 2018",0.165739,0.169951,0.146880,0.148987,"2,526,180","19,842,200"
suncontract,"May 27, 2018",0.168931,0.169582,0.162352,0.165181,"2,521,820","20,224,300"
suncontract,"May 26, 2018",0.173414,0.176586,0.167568,0.168795,"2,335,400","20,760,900"
suncontract,"May 25, 2018",0.184213,0.187584,0.170161,0.173265,"2,633,430","22,053,800"
