Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
superior-coin,"Jul 02, 2018",0.000508,0.000583,0.000502,0.000561,315,-
superior-coin,"Jul 01, 2018",0.000610,0.000614,0.000508,0.000508,187,-
superior-coin,"Jun 30, 2018",0.000645,0.000684,0.000600,0.000610,128,-
superior-coin,"Jun 29, 2018",0.000587,0.000672,0.000563,0.000644,367,-
superior-coin,"Jun 28, 2018",0.000613,0.000617,0.000561,0.000586,118,-
superior-coin,"Jun 27, 2018",0.000715,0.000757,0.000606,0.000613,317,-
superior-coin,"Jun 26, 2018",0.000625,0.000757,0.000617,0.000715,"1,142",-
superior-coin,"Jun 25, 2018",0.000616,0.000726,0.000599,0.000625,515,-
superior-coin,"Jun 24, 2018",0.000733,0.000734,0.000575,0.000617,177,-
superior-coin,"Jun 23, 2018",0.000620,0.000850,0.000605,0.000732,393,-
superior-coin,"Jun 22, 2018",0.000736,0.000740,0.000606,0.000620,408,-
superior-coin,"Jun 21, 2018",0.000774,0.000779,0.000670,0.000736,331,-
superior-coin,"Jun 20, 2018",0.000742,0.000859,0.000664,0.000774,157,-
superior-coin,"Jun 19, 2018",0.000822,0.000823,0.000687,0.000741,209,-
superior-coin,"Jun 18, 2018",0.000787,0.000828,0.000744,0.000823,238,-
superior-coin,"Jun 17, 2018",0.000792,0.000962,0.000735,0.000789,214,-
superior-coin,"Jun 16, 2018",0.000805,0.000869,0.000756,0.000790,232,-
superior-coin,"Jun 15, 2018",0.000992,0.001024,0.000800,0.000808,335,-
superior-coin,"Jun 14, 2018",0.000857,0.000997,0.000750,0.000994,"1,422",-
superior-coin,"Jun 13, 2018",0.000573,0.000900,0.000295,0.000857,"2,142",-
superior-coin,"Jun 12, 2018",0.000689,0.000689,0.000460,0.000572,159,-
superior-coin,"Jun 11, 2018",0.000677,0.000693,0.000446,0.000689,358,-
superior-coin,"Jun 10, 2018",0.000607,0.000734,0.000501,0.000676,702,-
superior-coin,"Jun 09, 2018",0.000649,0.000765,0.000606,0.000606,78,-
superior-coin,"Jun 08, 2018",0.000814,0.000842,0.000649,0.000649,522,-
superior-coin,"Jun 07, 2018",0.001006,0.001008,0.000748,0.000813,663,-
superior-coin,"Jun 06, 2018",0.001111,0.001162,0.000683,0.001005,"1,437",-
superior-coin,"Jun 05, 2018",0.001291,0.001294,0.000748,0.001111,615,-
superior-coin,"Jun 04, 2018",0.000777,0.001287,0.000753,0.001287,"2,395",-
superior-coin,"Jun 03, 2018",0.000871,0.000964,0.000715,0.000777,581,-
superior-coin,"Jun 02, 2018",0.000947,0.000950,0.000771,0.000870,352,-
superior-coin,"Jun 01, 2018",0.000739,0.000950,0.000691,0.000948,"1,410",-
superior-coin,"May 31, 2018",0.000859,0.000973,0.000611,0.000739,"1,098",-
superior-coin,"May 30, 2018",0.000835,0.000947,0.000665,0.000858,648,-
superior-coin,"May 29, 2018",0.000668,0.000911,0.000529,0.000836,"2,801",-
superior-coin,"May 28, 2018",0.001022,0.001026,0.000451,0.000618,"1,736",-
superior-coin,"May 27, 2018",0.001027,0.001098,0.000876,0.001022,276,-
superior-coin,"May 26, 2018",0.001046,0.001061,0.000891,0.001026,319,-
superior-coin,"May 25, 2018",0.001116,0.001126,0.000919,0.001047,128,-
superior-coin,"May 24, 2018",0.000998,0.001139,0.000916,0.001114,201,-
superior-coin,"May 23, 2018",0.000975,0.001256,0.000959,0.001017,569,-
superior-coin,"May 22, 2018",0.001345,0.001347,0.000708,0.000948,782,-
superior-coin,"May 21, 2018",0.001486,0.001503,0.001258,0.001346,125,-
superior-coin,"May 20, 2018",0.001262,0.001531,0.001183,0.001484,371,-
superior-coin,"May 19, 2018",0.001322,0.001400,0.001236,0.001261,277,-
superior-coin,"May 18, 2018",0.001212,0.001394,0.001194,0.001323,141,-
superior-coin,"May 17, 2018",0.001383,0.001391,0.001204,0.001211,163,-
superior-coin,"May 16, 2018",0.001406,0.001505,0.001311,0.001382,174,-
superior-coin,"May 15, 2018",0.001561,0.001575,0.001337,0.001407,332,-
