Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
syncfab,"Jul 02, 2018",0.008829,0.009107,0.008219,0.009067,"17,970","1,210,910"
syncfab,"Jul 01, 2018",0.009042,0.009076,0.006754,0.008833,"1,175","1,240,140"
syncfab,"Jun 30, 2018",0.009015,0.009780,0.008935,0.009093,"2,638","1,236,430"
syncfab,"Jun 29, 2018",0.009032,0.009319,0.008406,0.009017,"3,142","1,238,800"
syncfab,"Jun 28, 2018",0.008978,0.009754,0.008775,0.009043,"2,876","1,231,340"
syncfab,"Jun 27, 2018",0.008784,0.009080,0.008596,0.008965,713,"1,204,760"
syncfab,"Jun 26, 2018",0.009238,0.009583,0.008778,0.008866,"2,529","1,267,060"
syncfab,"Jun 25, 2018",0.009834,0.009845,0.009094,0.009238,408,"1,348,860"
syncfab,"Jun 24, 2018",0.010120,0.010144,0.009052,0.009825,"1,827","1,388,010"
syncfab,"Jun 23, 2018",0.010026,0.010858,0.009702,0.010128,"4,061","1,375,200"
syncfab,"Jun 22, 2018",0.012566,0.012566,0.010018,0.010034,"19,254","1,723,550"
syncfab,"Jun 21, 2018",0.013505,0.014327,0.012517,0.012567,"2,174","1,852,280"
syncfab,"Jun 20, 2018",0.013776,0.013787,0.013163,0.013508,"1,496","1,889,500"
syncfab,"Jun 19, 2018",0.014685,0.014719,0.013231,0.013763,"1,519","2,014,110"
syncfab,"Jun 18, 2018",0.014133,0.014668,0.013384,0.014668,"3,081","1,938,460"
syncfab,"Jun 17, 2018",0.015559,0.016295,0.014120,0.014148,"9,398","2,107,500"
syncfab,"Jun 16, 2018",0.014158,0.016546,0.014098,0.015551,"2,781","1,917,760"
syncfab,"Jun 15, 2018",0.013105,0.015077,0.013061,0.014179,"8,708","1,775,140"
syncfab,"Jun 14, 2018",0.012452,0.013225,0.011783,0.013096,"1,765","1,686,650"
syncfab,"Jun 13, 2018",0.012716,0.013681,0.011910,0.012416,"11,296","1,722,430"
syncfab,"Jun 12, 2018",0.013408,0.013846,0.012521,0.012665,"4,920","1,816,220"
syncfab,"Jun 11, 2018",0.014156,0.014156,0.012380,0.013362,"8,895","1,917,510"
syncfab,"Jun 10, 2018",0.018290,0.018576,0.010808,0.014143,"55,005","2,477,430"
syncfab,"Jun 09, 2018",0.018974,0.019520,0.014819,0.018305,"25,244","2,564,420"
syncfab,"Jun 08, 2018",0.021148,0.021278,0.018207,0.018978,"2,242","2,857,980"
syncfab,"Jun 07, 2018",0.019652,0.021153,0.019127,0.021136,"7,918","2,645,640"
syncfab,"Jun 06, 2018",0.021107,0.022107,0.018569,0.019657,"6,507","2,841,520"
syncfab,"Jun 05, 2018",0.018164,0.028953,0.017757,0.021110,"17,930","2,454,830"
syncfab,"Jun 04, 2018",0.019421,0.019551,0.018019,0.018175,"4,128","2,624,720"
syncfab,"Jun 03, 2018",0.019168,0.020388,0.018999,0.019388,"4,407","2,590,480"
syncfab,"Jun 02, 2018",0.019048,0.020090,0.018062,0.019129,"8,743","2,555,740"
syncfab,"Jun 01, 2018",0.018261,0.019115,0.017748,0.019064,"7,306","2,448,920"
syncfab,"May 31, 2018",0.016154,0.018905,0.016061,0.018236,"6,699","2,166,390"
syncfab,"May 30, 2018",0.018697,0.019317,0.016620,0.017136,"1,371","2,506,110"
syncfab,"May 29, 2018",0.018151,0.019987,0.015799,0.018690,"7,321","2,432,940"
syncfab,"May 28, 2018",0.019922,0.020232,0.017888,0.018057,"1,137","2,670,300"
syncfab,"May 27, 2018",0.020123,0.020294,0.018409,0.018529,"2,201","2,697,230"
syncfab,"May 26, 2018",0.020941,0.021512,0.018491,0.020044,"3,827","2,806,990"
syncfab,"May 25, 2018",0.023396,0.023718,0.014458,0.021249,"31,103","3,132,460"
syncfab,"May 24, 2018",0.021957,0.023737,0.019608,0.023387,"7,805","2,939,800"
syncfab,"May 23, 2018",0.024269,0.024456,0.019762,0.022026,"8,226","3,249,360"
syncfab,"May 22, 2018",0.025683,0.025730,0.022546,0.024314,"3,800","3,438,630"
syncfab,"May 21, 2018",0.025786,0.029329,0.022869,0.025592,"28,357","3,452,450"
