Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
t-coin,"Jul 02, 2018",0.000063,0.000133,0.000063,0.000132,40,-
t-coin,"Jul 01, 2018",0.000128,0.000128,0.000063,0.000063,14,-
t-coin,"Jun 30, 2018",0.000062,0.000128,0.000062,0.000128,112,-
t-coin,"Jun 29, 2018",0.000059,0.000063,0.000058,0.000062,9,-
t-coin,"Jun 28, 2018",0.000061,0.000062,0.000060,0.000060,2,-
t-coin,"Jun 27, 2018",0.000061,0.000062,0.000060,0.000061,541,-
t-coin,"Jun 26, 2018",0.000125,0.000125,0.000061,0.000061,8,-
t-coin,"Jun 25, 2018",0.000123,0.000125,0.000061,0.000125,7,-
t-coin,"Jun 24, 2018",0.000062,0.000124,0.000058,0.000123,18,-
t-coin,"Jun 23, 2018",0.000121,0.000123,0.000061,0.000062,17,-
t-coin,"Jun 22, 2018",0.000067,0.000128,0.000064,0.000121,27,-
t-coin,"Jun 21, 2018",0.000135,0.000136,0.000067,0.000067,70,-
t-coin,"Jun 20, 2018",0.000068,0.000135,0.000066,0.000135,"1,194",-
t-coin,"Jun 19, 2018",0.000135,0.000136,0.000067,0.000068,954,-
t-coin,"Jun 18, 2018",0.000130,0.000136,0.000064,0.000135,43,-
t-coin,"Jun 17, 2018",0.000065,0.000132,0.000065,0.000130,87,-
t-coin,"Jun 16, 2018",0.000128,0.000130,0.000064,0.000065,10,-
t-coin,"Jun 15, 2018",0.000133,0.000133,0.000066,0.000129,303,-
t-coin,"Jun 14, 2018",0.000126,0.000134,0.000064,0.000133,42,-
t-coin,"Jun 13, 2018",0.000132,0.000132,0.000066,0.000126,24,-
t-coin,"Jun 12, 2018",0.000138,0.000138,0.000065,0.000131,504,-
t-coin,"Jun 11, 2018",0.000136,0.000139,0.000134,0.000138,44,-
t-coin,"Jun 10, 2018",0.000075,0.000146,0.000067,0.000135,287,-
t-coin,"Jun 09, 2018",0.000076,0.000153,0.000075,0.000075,185,-
t-coin,"Jun 08, 2018",0.000154,0.000154,0.000076,0.000076,175,-
t-coin,"Jun 07, 2018",0.000077,0.000155,0.000077,0.000154,650,-
t-coin,"Jun 06, 2018",0.000229,0.000230,0.000076,0.000076,"19,729",-
t-coin,"Jun 05, 2018",0.000150,0.000229,0.000074,0.000229,"297,431",-
t-coin,"Jun 04, 2018",0.000077,0.000154,0.000075,0.000150,55,-
t-coin,"Jun 03, 2018",0.000076,0.000077,0.000076,0.000077,176,-
t-coin,"Jun 02, 2018",0.000075,0.000077,0.000075,0.000076,34,-
t-coin,"Jun 01, 2018",0.000075,0.000076,0.000074,0.000075,49,-
t-coin,"May 31, 2018",0.000074,0.000076,0.000073,0.000075,2,-
t-coin,"May 30, 2018",0.000149,0.000151,0.000073,0.000074,99,-
t-coin,"May 29, 2018",0.000071,0.000151,0.000071,0.000149,379,-
t-coin,"May 28, 2018",0.000147,0.000148,0.000071,0.000071,62,-
t-coin,"May 27, 2018",0.000073,0.000147,0.000072,0.000147,131,-
t-coin,"May 26, 2018",0.000075,0.000076,0.000073,0.000073,3,-
t-coin,"May 25, 2018",0.000151,0.000153,0.000074,0.000075,614,-
t-coin,"May 24, 2018",0.000075,0.000152,0.000073,0.000151,397,-
t-coin,"May 23, 2018",0.000080,0.000161,0.000075,0.000075,538,-
t-coin,"May 22, 2018",0.000084,0.000165,0.000080,0.000080,38,-
t-coin,"May 21, 2018",0.000085,0.000170,0.000084,0.000084,41,-
