Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
tao,"Jul 02, 2018",0.412978,0.476741,0.316631,0.474436,"5,527","13,628,800"
tao,"Jul 01, 2018",0.331055,0.332918,0.325754,0.327787,111,"10,925,200"
tao,"Jun 30, 2018",0.315022,0.332153,0.315004,0.330981,136,"10,395,800"
tao,"Jun 29, 2018",0.288436,0.320000,0.282533,0.314596,"2,622","9,518,100"
tao,"Jun 28, 2018",0.305591,0.310794,0.267453,0.288252,"2,921","10,083,500"
tao,"Jun 27, 2018",0.315328,0.338533,0.293667,0.305483,"4,428","10,404,300"
tao,"Jun 26, 2018",0.331212,0.332509,0.246906,0.315455,958,"10,927,900"
tao,"Jun 25, 2018",0.326290,0.334803,0.323204,0.331212,41,"10,764,800"
tao,"Jun 24, 2018",0.327143,0.331927,0.306481,0.326921,782,"10,792,400"
tao,"Jun 23, 2018",0.321177,0.330939,0.274379,0.327187,"1,422","10,595,100"
tao,"Jun 22, 2018",0.355807,0.356417,0.304077,0.321135,"2,168","11,736,600"
tao,"Jun 21, 2018",0.358300,0.359905,0.290526,0.356201,519,"11,818,200"
tao,"Jun 20, 2018",0.358487,0.360359,0.349541,0.358226,328,"11,823,700"
tao,"Jun 19, 2018",0.357307,0.360974,0.355450,0.358265,1,"11,784,200"
tao,"Jun 18, 2018",0.272171,0.360122,0.271658,0.357499,493,"8,976,000"
tao,"Jun 17, 2018",0.376336,0.379148,0.272198,0.273103,"3,356","12,409,100"
tao,"Jun 16, 2018",0.365608,0.378935,0.319036,0.375340,494,"12,054,300"
tao,"Jun 15, 2018",0.390520,0.390987,0.328098,0.366946,"1,483","12,875,000"
tao,"Jun 14, 2018",0.352811,0.391183,0.309018,0.391166,"1,099","11,631,300"
tao,"Jun 13, 2018",0.392479,0.392941,0.320846,0.352968,916,"12,938,600"
tao,"Jun 12, 2018",0.413252,0.420287,0.326282,0.391465,"5,733","13,622,400"
tao,"Jun 11, 2018",0.399746,0.415616,0.394086,0.413473,429,"13,176,600"
