Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
te-food,"Jul 02, 2018",0.025696,0.032513,0.025496,0.030472,"291,327","12,134,000"
te-food,"Jul 01, 2018",0.025505,0.026715,0.025211,0.025682,"103,105","12,019,500"
te-food,"Jun 30, 2018",0.023028,0.026108,0.023028,0.025486,"165,742","10,823,200"
te-food,"Jun 29, 2018",0.020262,0.024724,0.019156,0.023009,"389,108","9,500,350"
te-food,"Jun 28, 2018",0.020281,0.021392,0.019312,0.020254,"109,752","9,502,680"
te-food,"Jun 27, 2018",0.019405,0.020389,0.019213,0.020250,"89,633","9,081,380"
te-food,"Jun 26, 2018",0.021345,0.021453,0.019210,0.019457,"55,465","9,980,580"
te-food,"Jun 25, 2018",0.020358,0.021378,0.019490,0.021345,"79,776","9,504,200"
te-food,"Jun 24, 2018",0.020998,0.021060,0.018813,0.020429,"109,455","9,797,440"
te-food,"Jun 23, 2018",0.020976,0.021871,0.020166,0.021003,"77,208","9,782,350"
te-food,"Jun 22, 2018",0.024670,0.024865,0.020149,0.020926,"130,010","11,499,100"
te-food,"Jun 21, 2018",0.022026,0.025142,0.022007,0.024657,"231,984","10,241,800"
te-food,"Jun 20, 2018",0.022770,0.023210,0.020964,0.022037,"103,375","10,540,700"
te-food,"Jun 19, 2018",0.022743,0.023589,0.021685,0.022776,"97,122","10,529,300"
te-food,"Jun 18, 2018",0.022212,0.023437,0.020951,0.022757,"152,224","10,257,500"
te-food,"Jun 17, 2018",0.023622,0.023871,0.021635,0.022240,"142,604","10,892,100"
te-food,"Jun 16, 2018",0.020120,0.023348,0.020120,0.023327,"290,790","9,239,760"
te-food,"Jun 15, 2018",0.018476,0.022372,0.017348,0.020179,"448,002","8,315,810"
te-food,"Jun 14, 2018",0.016553,0.019116,0.015527,0.018479,"78,754","7,457,950"
te-food,"Jun 13, 2018",0.017586,0.018345,0.013929,0.016514,"90,314","7,936,870"
te-food,"Jun 12, 2018",0.019583,0.020108,0.016631,0.017517,"54,190","8,813,060"
te-food,"Jun 11, 2018",0.020271,0.020762,0.018920,0.019575,"75,671","9,151,490"
te-food,"Jun 10, 2018",0.023586,0.023586,0.019152,0.020238,"84,003","10,717,800"
te-food,"Jun 09, 2018",0.024550,0.025127,0.023457,0.023457,"51,463","11,195,400"
te-food,"Jun 08, 2018",0.026086,0.026527,0.024064,0.024544,"98,139","11,919,600"
te-food,"Jun 07, 2018",0.024901,0.027297,0.023642,0.026041,"170,138","11,350,400"
te-food,"Jun 06, 2018",0.024605,0.025824,0.023449,0.024909,"162,460","11,187,600"
te-food,"Jun 05, 2018",0.023958,0.025994,0.022823,0.024655,"196,824","10,882,200"
te-food,"Jun 04, 2018",0.025740,0.026847,0.023573,0.023960,"110,915","11,703,300"
te-food,"Jun 03, 2018",0.025072,0.026710,0.024484,0.025803,"128,016","11,414,100"
te-food,"Jun 02, 2018",0.025315,0.026404,0.024598,0.025103,"130,063","11,543,600"
te-food,"Jun 01, 2018",0.026003,0.026165,0.023967,0.025320,"62,312","11,872,000"
te-food,"May 31, 2018",0.025222,0.027080,0.024625,0.025947,"142,216","11,560,600"
te-food,"May 30, 2018",0.023851,0.025480,0.023217,0.025247,"108,442","10,918,300"
te-food,"May 29, 2018",0.023117,0.025625,0.022040,0.024205,"156,384","10,623,700"
te-food,"May 28, 2018",0.025097,0.026055,0.022179,0.023184,"61,557","11,542,400"
te-food,"May 27, 2018",0.026783,0.027283,0.024476,0.026053,"63,133","12,298,300"
te-food,"May 26, 2018",0.027089,0.028664,0.025944,0.026732,"105,805","12,451,200"
te-food,"May 25, 2018",0.026441,0.028327,0.025477,0.027150,"105,158","12,139,500"
te-food,"May 24, 2018",0.028034,0.029452,0.024463,0.025991,"168,626","12,878,200"
te-food,"May 23, 2018",0.027747,0.029063,0.023467,0.028161,"165,398","12,692,700"
te-food,"May 22, 2018",0.029280,0.032103,0.026197,0.027078,"195,788","13,448,000"
te-food,"May 21, 2018",0.032392,0.033784,0.028883,0.028883,"152,459","14,899,500"
te-food,"May 20, 2018",0.033462,0.035023,0.031518,0.031691,"115,359","15,415,300"
te-food,"May 19, 2018",0.035244,0.035992,0.030743,0.033434,"111,919","16,259,900"
te-food,"May 18, 2018",0.034245,0.035287,0.029289,0.035244,"111,184","15,817,200"
te-food,"May 17, 2018",0.039889,0.040331,0.033397,0.034279,"166,805","18,424,100"
te-food,"May 16, 2018",0.040117,0.040216,0.035118,0.039842,"81,644","18,535,400"
te-food,"May 15, 2018",0.037505,0.043085,0.036463,0.040098,"161,490","17,326,300"
te-food,"May 14, 2018",0.042401,0.043900,0.036096,0.039169,"199,045","19,659,000"
te-food,"May 13, 2018",0.039922,0.043240,0.038441,0.042415,"188,376","18,504,500"
te-food,"May 12, 2018",0.036047,0.041512,0.031878,0.040002,"202,070","16,716,600"
te-food,"May 11, 2018",0.041667,0.042772,0.036173,0.036173,"271,949","19,322,700"
te-food,"May 10, 2018",0.047787,0.049615,0.041793,0.042540,"250,478","22,283,400"
te-food,"May 09, 2018",0.045888,0.048777,0.042444,0.047732,"55,835","21,334,000"
te-food,"May 08, 2018",0.051863,0.052802,0.042307,0.045930,"89,283","23,964,500"
te-food,"May 07, 2018",0.049939,0.055925,0.045295,0.051527,"91,484","22,825,500"
te-food,"May 06, 2018",0.055046,0.063679,0.045755,0.049911,"113,790","24,946,100"
te-food,"May 05, 2018",0.046639,0.057840,0.046639,0.057594,"75,673","21,062,800"
te-food,"May 04, 2018",0.047732,0.050002,0.043912,0.046603,"93,545","21,495,700"
te-food,"May 03, 2018",0.044251,0.049852,0.041531,0.049027,"107,908","18,202,100"
te-food,"May 02, 2018",0.044527,0.047280,0.040175,0.044255,"197,439","18,377,400"
te-food,"May 01, 2018",0.045971,0.047055,0.041986,0.044656,"286,716","19,075,900"
te-food,"Apr 30, 2018",0.039509,0.050479,0.038466,0.045823,"769,960","16,427,100"
te-food,"Apr 29, 2018",0.040600,0.041964,0.037525,0.039504,"291,537","16,973,000"
te-food,"Apr 28, 2018",0.040222,0.043263,0.038419,0.040436,"166,441","16,840,500"
te-food,"Apr 27, 2018",0.042954,0.044237,0.038779,0.040570,"181,246","18,005,600"
te-food,"Apr 26, 2018",0.039116,0.043805,0.036932,0.042879,"206,863","16,326,300"
te-food,"Apr 25, 2018",0.045257,0.045589,0.035855,0.038712,"251,894","18,868,400"
te-food,"Apr 24, 2018",0.042489,0.047514,0.041307,0.045935,"481,502","17,577,100"
te-food,"Apr 23, 2018",0.038749,0.042488,0.037803,0.042488,"322,133","16,077,500"
te-food,"Apr 22, 2018",0.035120,0.041899,0.034529,0.038893,"489,137","14,574,700"
te-food,"Apr 21, 2018",0.035556,0.037259,0.031689,0.035121,"232,601","14,841,100"
te-food,"Apr 20, 2018",0.030052,0.036998,0.029711,0.035499,"309,923","12,488,000"
te-food,"Apr 19, 2018",0.024982,0.030088,0.024264,0.030088,"222,215","10,395,300"
te-food,"Apr 18, 2018",0.024431,0.026155,0.023382,0.024959,"108,014","10,147,800"
te-food,"Apr 17, 2018",0.025118,0.026437,0.023440,0.024419,"183,486","10,430,000"
te-food,"Apr 16, 2018",0.023301,0.025132,0.021870,0.025121,"165,317","9,634,160"
te-food,"Apr 15, 2018",0.022155,0.023271,0.020880,0.023271,"126,943","9,148,920"
te-food,"Apr 14, 2018",0.020750,0.022518,0.020585,0.022169,"90,498","8,596,300"
te-food,"Apr 13, 2018",0.022141,0.024501,0.019627,0.020767,"185,669","9,218,780"
te-food,"Apr 12, 2018",0.021161,0.022906,0.018612,0.022106,"251,944","8,847,460"
te-food,"Apr 11, 2018",0.021400,0.022482,0.019541,0.021318,"144,697","8,999,370"
te-food,"Apr 10, 2018",0.018297,0.020636,0.017907,0.020636,"92,558","7,697,450"
te-food,"Apr 09, 2018",0.018629,0.019790,0.017542,0.018212,"37,131","7,833,990"
te-food,"Apr 08, 2018",0.018806,0.019257,0.017332,0.018154,"64,716","7,869,800"
te-food,"Apr 07, 2018",0.017152,0.019431,0.016648,0.018815,"82,075","7,159,880"
te-food,"Apr 06, 2018",0.017689,0.018165,0.016132,0.017154,"61,320","7,404,000"
te-food,"Apr 05, 2018",0.019313,0.020431,0.017119,0.018074,"119,064","8,122,600"
te-food,"Apr 04, 2018",0.022583,0.022736,0.019097,0.019335,"78,602","9,522,110"
te-food,"Apr 03, 2018",0.021022,0.023601,0.020873,0.022522,"69,285","8,866,020"
te-food,"Apr 02, 2018",0.021131,0.022715,0.020667,0.021000,"69,740","8,887,100"
te-food,"Apr 01, 2018",0.022400,0.023321,0.019548,0.021063,"66,945","9,419,840"
te-food,"Mar 31, 2018",0.023535,0.025474,0.021219,0.022393,"95,805","9,905,870"
te-food,"Mar 30, 2018",0.023035,0.025062,0.020814,0.023557,"186,554","9,697,100"
te-food,"Mar 29, 2018",0.029751,0.030019,0.021752,0.023101,"172,458","11,961,300"
te-food,"Mar 28, 2018",0.024777,0.029888,0.022765,0.029045,"313,882","9,961,530"
te-food,"Mar 27, 2018",0.025258,0.025756,0.022398,0.024769,"177,669","10,154,700"
te-food,"Mar 26, 2018",0.026576,0.029543,0.023041,0.025274,"261,996","10,684,800"
te-food,"Mar 25, 2018",0.023480,0.026709,0.022515,0.026627,"267,587","9,439,980"
te-food,"Mar 24, 2018",0.023597,0.024397,0.022565,0.023765,"268,822","9,486,950"
te-food,"Mar 23, 2018",0.021249,0.023381,0.020184,0.023381,"446,315","8,543,210"
te-food,"Mar 22, 2018",0.019409,0.022817,0.019409,0.021253,"155,715","7,803,320"
te-food,"Mar 21, 2018",0.019452,0.022407,0.017970,0.019302,"84,020",-
te-food,"Mar 20, 2018",0.019924,0.019924,0.016206,0.019333,"52,140",-
te-food,"Mar 19, 2018",0.016883,0.019902,0.016487,0.019766,"61,465",-
te-food,"Mar 18, 2018",0.017845,0.017948,0.013299,0.016951,"88,129",-
te-food,"Mar 17, 2018",0.021480,0.021722,0.017481,0.017861,"70,950",-
te-food,"Mar 16, 2018",0.022275,0.023781,0.021109,0.021466,"56,434",-
te-food,"Mar 15, 2018",0.023651,0.023807,0.021035,0.022301,"96,580",-
te-food,"Mar 14, 2018",0.028485,0.028904,0.022712,0.023634,"196,837",-
te-food,"Mar 13, 2018",0.029337,0.029850,0.027312,0.028372,"154,119",-
te-food,"Mar 12, 2018",0.028903,0.032798,0.027622,0.029368,"585,775",-
te-food,"Mar 11, 2018",0.027079,0.029187,0.025576,0.027947,"451,621",-
te-food,"Mar 10, 2018",0.028591,0.028591,0.026987,0.027621,"302,268",-
