Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
tekcoin,"Jul 02, 2018",0.000182,0.000190,0.000126,0.000184,467,"257,512"
tekcoin,"Jul 01, 2018",0.000192,0.000193,0.000127,0.000182,712,"270,961"
tekcoin,"Jun 30, 2018",0.000186,0.000193,0.000185,0.000192,757,"262,785"
tekcoin,"Jun 29, 2018",0.000139,0.000189,0.000117,0.000186,923,"197,259"
tekcoin,"Jun 28, 2018",0.000134,0.000183,0.000121,0.000139,16,"189,470"
tekcoin,"Jun 27, 2018",0.000150,0.000151,0.000120,0.000134,500,"212,101"
tekcoin,"Jun 26, 2018",0.000184,0.000184,0.000124,0.000150,638,"260,256"
tekcoin,"Jun 25, 2018",0.000123,0.000187,0.000122,0.000184,407,"174,203"
tekcoin,"Jun 24, 2018",0.000185,0.000186,0.000116,0.000123,415,"261,601"
tekcoin,"Jun 23, 2018",0.000182,0.000187,0.000121,0.000185,287,"256,734"
tekcoin,"Jun 22, 2018",0.000201,0.000202,0.000126,0.000182,"3,508","284,298"
tekcoin,"Jun 21, 2018",0.000146,0.000203,0.000134,0.000201,154,"206,477"
tekcoin,"Jun 20, 2018",0.000196,0.000197,0.000132,0.000146,166,"277,632"
tekcoin,"Jun 19, 2018",0.000202,0.000204,0.000134,0.000196,416,"285,506"
tekcoin,"Jun 18, 2018",0.000130,0.000202,0.000129,0.000202,855,"183,182"
tekcoin,"Jun 17, 2018",0.000131,0.000197,0.000130,0.000130,355,"184,617"
tekcoin,"Jun 16, 2018",0.000128,0.000195,0.000127,0.000130,300,"181,623"
tekcoin,"Jun 15, 2018",0.000199,0.000200,0.000128,0.000129,225,"281,839"
tekcoin,"Jun 14, 2018",0.000126,0.000200,0.000126,0.000200,125,"178,719"
tekcoin,"Jun 13, 2018",0.000132,0.000132,0.000124,0.000126,"1,033","186,808"
tekcoin,"Jun 12, 2018",0.000205,0.000205,0.000131,0.000132,96,"290,505"
tekcoin,"Jun 11, 2018",0.000181,0.000207,0.000134,0.000206,"1,291","255,442"
tekcoin,"Jun 10, 2018",0.000150,0.000220,0.000146,0.000180,"1,090","212,260"
tekcoin,"Jun 09, 2018",0.000229,0.000231,0.000150,0.000150,576,"323,555"
tekcoin,"Jun 08, 2018",0.000154,0.000229,0.000152,0.000229,"2,849","217,270"
tekcoin,"Jun 07, 2018",0.000229,0.000232,0.000153,0.000154,413,"324,070"
tekcoin,"Jun 06, 2018",0.000187,0.000230,0.000150,0.000229,379,"264,104"
tekcoin,"Jun 05, 2018",0.000180,0.000212,0.000148,0.000187,115,"254,266"
tekcoin,"Jun 04, 2018",0.000154,0.000221,0.000149,0.000193,35,"218,016"
tekcoin,"Jun 03, 2018",0.000153,0.000232,0.000153,0.000154,303,"216,816"
tekcoin,"Jun 02, 2018",0.000225,0.000230,0.000152,0.000153,"2,986","318,867"
tekcoin,"Jun 01, 2018",0.000225,0.000227,0.000148,0.000226,"1,010","317,807"
tekcoin,"May 31, 2018",0.000211,0.000248,0.000210,0.000225,"1,684","298,763"
tekcoin,"May 30, 2018",0.000224,0.000300,0.000147,0.000211,"2,956","316,660"
tekcoin,"May 29, 2018",0.000214,0.000226,0.000212,0.000224,"5,238","301,979"
tekcoin,"May 28, 2018",0.000290,0.000291,0.000213,0.000214,"3,469","409,570"
tekcoin,"May 27, 2018",0.000283,0.000295,0.000212,0.000290,"4,463","399,852"
tekcoin,"May 26, 2018",0.000280,0.000342,0.000220,0.000283,"39,878","396,098"
tekcoin,"May 25, 2018",0.000189,0.000367,0.000149,0.000280,"33,254","266,653"
tekcoin,"May 24, 2018",0.000163,0.000190,0.000146,0.000188,152,"230,407"
tekcoin,"May 23, 2018",0.000160,0.000167,0.000150,0.000163,244,"226,346"
tekcoin,"May 22, 2018",0.000215,0.000216,0.000159,0.000160,"1,209","304,559"
tekcoin,"May 21, 2018",0.000255,0.000257,0.000167,0.000215,"1,692","361,274"
tekcoin,"May 20, 2018",0.000247,0.000257,0.000166,0.000255,391,"348,985"
tekcoin,"May 19, 2018",0.000247,0.000251,0.000164,0.000246,"4,380","349,510"
tekcoin,"May 18, 2018",0.000162,0.000248,0.000160,0.000247,155,"229,492"
tekcoin,"May 17, 2018",0.000250,0.000253,0.000161,0.000162,574,"354,150"
tekcoin,"May 16, 2018",0.000255,0.000255,0.000163,0.000250,"15,887","359,997"
tekcoin,"May 15, 2018",0.000173,0.000258,0.000173,0.000255,765,"245,323"
tekcoin,"May 14, 2018",0.000174,0.000251,0.000167,0.000174,"1,249","245,771"
tekcoin,"May 13, 2018",0.000169,0.000175,0.000167,0.000174,388,"239,476"
tekcoin,"May 12, 2018",0.000218,0.000223,0.000165,0.000169,"1,751","308,301"
tekcoin,"May 11, 2018",0.000192,0.000270,0.000168,0.000219,"2,339","271,267"
tekcoin,"May 10, 2018",0.000279,0.000281,0.000182,0.000192,"2,192","395,109"
