Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
teslacoilcoin,"Jul 02, 2018",1.90,1.99,1.88,1.98,"3,439",-
teslacoilcoin,"Jul 01, 2018",0.949030,1.92,0.933833,1.90,"3,401",-
teslacoilcoin,"Jun 30, 2018",2.07,2.16,0.940249,0.948817,276,-
teslacoilcoin,"Jun 29, 2018",1.96,2.10,1.93,2.07,"3,305",-
teslacoilcoin,"Jun 28, 2018",2.04,2.05,1.82,1.95,"3,311",-
teslacoilcoin,"Jun 27, 2018",2.03,2.05,2.01,2.04,"3,165",-
teslacoilcoin,"Jun 26, 2018",2.08,2.09,2.03,2.03,"3,094",-
teslacoilcoin,"Jun 25, 2018",2.05,2.11,2.03,2.08,"3,160",-
teslacoilcoin,"Jun 24, 2018",2.06,2.09,1.93,2.05,"3,106",-
teslacoilcoin,"Jun 23, 2018",2.02,2.08,2.01,2.06,"3,180",-
teslacoilcoin,"Jun 22, 2018",2.24,2.24,1.98,2.02,"3,086",-
teslacoilcoin,"Jun 21, 2018",3.38,3.39,2.23,2.24,"3,780",-
teslacoilcoin,"Jun 20, 2018",3.38,3.40,3.29,3.37,"3,749",-
teslacoilcoin,"Jun 19, 2018",3.37,3.40,3.35,3.38,"3,523",-
teslacoilcoin,"Jun 18, 2018",3.22,3.39,3.21,3.37,"3,592",-
teslacoilcoin,"Jun 17, 2018",3.26,3.29,3.24,3.26,"3,349",-
teslacoilcoin,"Jun 16, 2018",3.21,3.29,3.18,3.26,"3,341",-
teslacoilcoin,"Jun 15, 2018",3.32,3.33,3.21,3.22,"3,307",-
teslacoilcoin,"Jun 14, 2018",2.50,3.34,2.50,3.33,"3,569",-
teslacoilcoin,"Jun 13, 2018",2.59,2.60,1.99,2.50,"3,529",-
teslacoilcoin,"Jun 12, 2018",4.06,4.06,2.09,2.58,"3,378",-
teslacoilcoin,"Jun 11, 2018",3.44,4.09,2.14,4.07,"2,681",-
teslacoilcoin,"Jun 10, 2018",3.05,3.53,2.92,3.43,891,-
teslacoilcoin,"Jun 09, 2018",3.10,3.12,3.04,3.04,"3,846",-
teslacoilcoin,"Jun 08, 2018",3.12,3.13,3.07,3.10,"3,900",-
teslacoilcoin,"Jun 07, 2018",3.11,3.15,3.11,3.12,316,-
