Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
titcoin,"Jul 02, 2018",0.003619,0.003622,0.002847,0.002863,213,"180,602"
titcoin,"Jul 01, 2018",0.002954,0.003639,0.002868,0.003619,44,"147,388"
titcoin,"Jun 30, 2018",0.002978,0.003104,0.002631,0.002953,184,"148,614"
titcoin,"Jun 29, 2018",0.002817,0.003025,0.002785,0.002974,8,"140,557"
titcoin,"Jun 28, 2018",0.003001,0.003010,0.002799,0.002815,7,"149,765"
titcoin,"Jun 27, 2018",0.002859,0.003015,0.002840,0.003000,27,"142,665"
titcoin,"Jun 26, 2018",0.002963,0.002991,0.002816,0.002860,45,"147,873"
titcoin,"Jun 25, 2018",0.002651,0.002974,0.002645,0.002963,33,"132,298"
titcoin,"Jun 24, 2018",0.002688,0.002783,0.002548,0.002656,67,"134,123"
titcoin,"Jun 23, 2018",0.002965,0.003057,0.002960,0.003040,9,"147,971"
titcoin,"Jun 22, 2018",0.003290,0.003296,0.002913,0.002965,15,"164,173"
titcoin,"Jun 21, 2018",0.003035,0.003294,0.002839,0.003294,121,"151,444"
titcoin,"Jun 20, 2018",0.003170,0.003259,0.002696,0.003034,"1,820","158,193"
titcoin,"Jun 19, 2018",0.003157,0.003240,0.002957,0.003168,420,"157,553"
titcoin,"Jun 18, 2018",0.003310,0.003325,0.002734,0.003159,"2,230","165,150"
titcoin,"Jun 17, 2018",0.003213,0.003348,0.003030,0.003321,394,"160,330"
titcoin,"Jun 16, 2018",0.003333,0.003333,0.002794,0.003198,"1,210","166,327"
titcoin,"Jun 15, 2018",0.003683,0.003714,0.002843,0.003233,"1,060","183,756"
titcoin,"Jun 14, 2018",0.003615,0.004244,0.003567,0.003704,89,"180,359"
titcoin,"Jun 13, 2018",0.004218,0.004246,0.003377,0.003616,523,"210,468"
titcoin,"Jun 12, 2018",0.003545,0.005789,0.003442,0.004207,"1,097","176,897"
titcoin,"Jun 11, 2018",0.003793,0.005263,0.002982,0.003547,"3,700","189,240"
titcoin,"Jun 10, 2018",0.003416,0.006250,0.003160,0.003787,"3,107","170,437"
titcoin,"Jun 09, 2018",0.003861,0.004153,0.003053,0.003411,"2,205","192,672"
titcoin,"Jun 08, 2018",0.004235,0.004397,0.003834,0.003863,593,"211,326"
titcoin,"Jun 07, 2018",0.004434,0.004589,0.003546,0.004222,"1,838","221,263"
titcoin,"Jun 06, 2018",0.004618,0.004948,0.003084,0.004430,"3,390","230,430"
titcoin,"Jun 05, 2018",0.004509,0.004658,0.004088,0.004619,406,"224,977"
titcoin,"Jun 04, 2018",0.004396,0.004598,0.003955,0.004507,"1,689","219,331"
titcoin,"Jun 03, 2018",0.004629,0.004638,0.004386,0.004394,239,"230,978"
titcoin,"Jun 02, 2018",0.004453,0.004683,0.004266,0.004628,126,"222,219"
titcoin,"Jun 01, 2018",0.004648,0.004667,0.003431,0.004455,"2,293","231,943"
titcoin,"May 31, 2018",0.004758,0.004879,0.003644,0.004645,"2,336","237,401"
titcoin,"May 30, 2018",0.004275,0.004827,0.004270,0.004759,212,"213,339"
titcoin,"May 29, 2018",0.004494,0.004836,0.004258,0.004273,"1,227","224,253"
titcoin,"May 28, 2018",0.004777,0.004855,0.004482,0.004496,24,"238,384"
