Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
tokencard,"Jul 02, 2018",0.991705,1.06,0.980125,1.05,"117,016","23,994,200"
tokencard,"Jul 01, 2018",1.00,1.00,0.983563,0.991516,"106,812","24,283,200"
tokencard,"Jun 30, 2018",0.954824,1.02,0.954824,1.00,"124,842","23,135,600"
tokencard,"Jun 29, 2018",0.914992,0.962857,0.903500,0.954429,"123,390","22,169,700"
tokencard,"Jun 28, 2018",0.924794,0.962589,0.905818,0.915086,"105,214","22,453,500"
tokencard,"Jun 27, 2018",0.987923,0.990821,0.920589,0.924015,"120,955","24,035,600"
tokencard,"Jun 26, 2018",0.998796,1.01,0.968715,0.988789,"108,784","24,300,000"
tokencard,"Jun 25, 2018",0.975694,1.01,0.970083,0.998790,"99,469","23,737,900"
tokencard,"Jun 24, 2018",1.02,1.02,0.935154,0.979012,"113,434","24,769,900"
tokencard,"Jun 23, 2018",1.06,1.07,1.01,1.02,"111,162","25,796,000"
tokencard,"Jun 22, 2018",1.18,1.18,1.05,1.06,"109,984","28,718,400"
tokencard,"Jun 21, 2018",1.18,1.20,1.18,1.18,"117,515","28,714,300"
tokencard,"Jun 20, 2018",1.17,1.18,1.13,1.18,"155,307","28,497,200"
tokencard,"Jun 19, 2018",1.16,1.21,1.16,1.17,"157,616","28,399,900"
tokencard,"Jun 18, 2018",1.12,1.18,1.11,1.17,"110,364","27,381,300"
tokencard,"Jun 17, 2018",1.16,1.17,1.12,1.12,"155,923","28,316,700"
tokencard,"Jun 16, 2018",1.17,1.20,1.16,1.16,"172,524","28,517,700"
tokencard,"Jun 15, 2018",1.20,1.22,1.17,1.17,"125,832","29,229,500"
tokencard,"Jun 14, 2018",1.11,1.22,1.11,1.20,"179,689","27,142,400"
tokencard,"Jun 13, 2018",1.19,1.22,1.10,1.11,"194,334","29,015,000"
tokencard,"Jun 12, 2018",1.27,1.33,1.18,1.19,"178,238","30,937,200"
tokencard,"Jun 11, 2018",1.31,1.34,1.24,1.27,"169,362","32,042,200"
tokencard,"Jun 10, 2018",1.50,1.50,1.29,1.31,"136,507","36,629,600"
tokencard,"Jun 09, 2018",1.53,1.54,1.50,1.50,"154,118","37,387,100"
tokencard,"Jun 08, 2018",1.52,1.56,1.51,1.53,"203,907","37,085,100"
tokencard,"Jun 07, 2018",1.49,1.53,1.49,1.52,"186,914","36,205,700"
tokencard,"Jun 06, 2018",1.43,1.49,1.42,1.49,"192,618","34,818,300"
tokencard,"Jun 05, 2018",1.36,1.43,1.31,1.43,"164,728","33,070,600"
tokencard,"Jun 04, 2018",1.44,1.45,1.35,1.36,"155,586","34,978,300"
tokencard,"Jun 03, 2018",1.48,1.51,1.39,1.44,"172,793","35,987,200"
tokencard,"Jun 02, 2018",1.43,1.49,1.43,1.48,"160,635","34,727,700"
tokencard,"Jun 01, 2018",1.33,1.47,1.33,1.46,"192,599","32,423,200"
tokencard,"May 31, 2018",1.33,1.39,1.33,1.33,"174,418","32,398,300"
tokencard,"May 30, 2018",1.34,1.35,1.31,1.33,"146,040","32,685,900"
tokencard,"May 29, 2018",1.11,1.34,1.11,1.34,"125,801","26,895,800"
tokencard,"May 28, 2018",1.21,1.23,1.14,1.15,"170,190","29,546,600"
tokencard,"May 27, 2018",1.26,1.26,1.15,1.21,"132,614","30,677,800"
tokencard,"May 26, 2018",1.28,1.31,1.26,1.26,"119,153","31,078,100"
tokencard,"May 25, 2018",1.29,1.31,1.26,1.28,"144,512","31,254,500"
tokencard,"May 24, 2018",1.25,1.29,1.21,1.28,"126,200","30,462,900"
tokencard,"May 23, 2018",1.33,1.33,1.23,1.26,"196,112","32,232,900"
tokencard,"May 22, 2018",1.35,1.39,1.32,1.33,"223,930","32,917,700"
tokencard,"May 21, 2018",1.40,1.40,1.34,1.36,"164,847","34,131,000"
tokencard,"May 20, 2018",1.35,1.41,1.35,1.40,"208,265","32,892,000"
tokencard,"May 19, 2018",1.34,1.38,1.33,1.35,"174,941","32,470,700"
tokencard,"May 18, 2018",1.29,1.34,1.28,1.34,"191,181","31,399,400"
tokencard,"May 17, 2018",1.42,1.44,1.29,1.29,"185,156","34,493,800"
tokencard,"May 16, 2018",1.51,1.51,1.38,1.42,"231,582","36,715,200"
tokencard,"May 15, 2018",1.62,1.64,1.50,1.51,"217,119","39,306,800"
tokencard,"May 14, 2018",1.67,1.69,1.60,1.62,"242,802","40,626,000"
tokencard,"May 13, 2018",1.53,1.69,1.51,1.67,"202,582","37,131,300"
tokencard,"May 12, 2018",1.50,1.54,1.45,1.53,"167,092","36,548,500"
tokencard,"May 11, 2018",1.67,1.67,1.52,1.53,"164,509","40,443,600"
tokencard,"May 10, 2018",1.74,1.78,1.67,1.67,"170,949","42,150,200"
tokencard,"May 09, 2018",1.89,1.89,1.69,1.74,"362,794","45,790,700"
tokencard,"May 08, 2018",1.65,1.91,1.61,1.89,"372,527","39,918,900"
tokencard,"May 07, 2018",1.85,1.85,1.62,1.65,"272,270","44,760,700"
tokencard,"May 06, 2018",1.98,2.01,1.84,1.84,"195,116","47,866,400"
tokencard,"May 05, 2018",1.92,1.98,1.91,1.98,"238,879","46,454,300"
tokencard,"May 04, 2018",1.99,1.99,1.91,1.92,"261,856","47,580,100"
tokencard,"May 03, 2018",1.99,2.05,1.94,1.99,"302,842","47,717,200"
tokencard,"May 02, 2018",2.48,2.59,1.99,1.99,"457,432","59,317,100"
tokencard,"May 01, 2018",2.36,2.55,2.23,2.48,"428,357","56,530,900"
tokencard,"Apr 30, 2018",1.89,2.47,1.88,2.36,"602,406","45,212,900"
tokencard,"Apr 29, 2018",1.86,1.90,1.84,1.89,"222,662","44,527,200"
