Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
tokenomy,"Jul 02, 2018",0.224594,0.233508,0.221140,0.230891,"519,347","28,074,200"
tokenomy,"Jul 01, 2018",0.224160,0.226792,0.220170,0.224663,"154,694","28,020,000"
tokenomy,"Jun 30, 2018",0.218450,0.231622,0.218450,0.224132,"244,450","27,306,200"
tokenomy,"Jun 29, 2018",0.212336,0.218983,0.212066,0.218730,"153,370","26,542,000"
tokenomy,"Jun 28, 2018",0.222484,0.226289,0.212100,0.212415,"153,640","27,810,600"
tokenomy,"Jun 27, 2018",0.227496,0.227587,0.216516,0.222316,"179,589","28,437,000"
tokenomy,"Jun 26, 2018",0.235259,0.235475,0.223105,0.227821,"167,126","29,407,400"
tokenomy,"Jun 25, 2018",0.232329,0.247104,0.228041,0.233845,"591,723","29,041,200"
tokenomy,"Jun 24, 2018",0.240176,0.240942,0.215307,0.232390,"325,790","30,022,000"
tokenomy,"Jun 23, 2018",0.238807,0.242643,0.236140,0.240179,"205,928","29,850,900"
tokenomy,"Jun 22, 2018",0.262789,0.263847,0.236690,0.238792,"500,111","32,848,600"
tokenomy,"Jun 21, 2018",0.265694,0.269904,0.261752,0.262752,"246,398","33,211,800"
tokenomy,"Jun 20, 2018",0.274643,0.275001,0.258233,0.265689,"443,417","34,330,400"
tokenomy,"Jun 19, 2018",0.282820,0.285185,0.272125,0.274554,"555,793","35,352,400"
tokenomy,"Jun 18, 2018",0.282136,0.286146,0.275916,0.282706,"451,164","35,267,000"
tokenomy,"Jun 17, 2018",0.286639,0.289081,0.281207,0.282234,"225,130","35,829,800"
tokenomy,"Jun 16, 2018",0.287586,0.292820,0.280632,0.286100,"382,543","35,948,300"
tokenomy,"Jun 15, 2018",0.277465,0.299504,0.276174,0.287533,"1,220,430","34,683,100"
tokenomy,"Jun 14, 2018",0.274165,0.293600,0.268796,0.277477,"1,178,030","34,270,600"
tokenomy,"Jun 13, 2018",0.358638,0.359642,0.268193,0.274357,"3,044,310","44,829,700"
tokenomy,"Jun 12, 2018",0.359975,0.360334,0.358558,0.358638,"1,529,040","44,996,900"
tokenomy,"Jun 11, 2018",0.359808,0.362412,0.358732,0.360058,"1,360,290","44,976,000"
tokenomy,"Jun 10, 2018",0.368111,0.368111,0.358707,0.359496,"2,479,080","46,013,900"
tokenomy,"Jun 09, 2018",0.367034,0.376227,0.367034,0.368846,"1,982,460","45,879,200"
tokenomy,"Jun 08, 2018",0.304861,0.381340,0.298900,0.369539,"13,754,300","38,107,700"
tokenomy,"Jun 07, 2018",0.282307,0.315061,0.281585,0.304684,"2,563,670","35,288,400"
