Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
tokenstars,"Jul 02, 2018",0.098359,0.105510,0.095791,0.101592,"99,796","976,410"
tokenstars,"Jun 30, 2018",0.108012,0.113047,0.108012,0.111937,"85,814","1,072,240"
tokenstars,"Jun 29, 2018",0.101544,0.109033,0.099972,0.107893,"82,731","1,008,030"
tokenstars,"Jun 28, 2018",0.106443,0.106966,0.101256,0.101593,"55,973","1,056,670"
tokenstars,"Jun 27, 2018",0.116626,0.116626,0.104830,0.106349,"65,592","1,157,020"
tokenstars,"Jun 26, 2018",0.117345,0.120763,0.109846,0.116677,"40,219","1,164,150"
tokenstars,"Jun 25, 2018",0.118319,0.119047,0.114028,0.117347,"36,837","1,172,050"
tokenstars,"Jun 24, 2018",0.117436,0.120108,0.101779,0.118623,"64,389","1,163,310"
tokenstars,"Jun 23, 2018",0.120193,0.122641,0.113362,0.117405,"40,966","1,189,940"
tokenstars,"Jun 22, 2018",0.135831,0.135927,0.117962,0.120154,"57,297","1,344,760"
tokenstars,"Jun 21, 2018",0.133381,0.135937,0.123296,0.135714,"86,842","1,320,510"
tokenstars,"Jun 20, 2018",0.142199,0.142393,0.131887,0.133479,"94,097","1,407,810"
tokenstars,"Jun 19, 2018",0.134139,0.143658,0.130522,0.142128,"87,428","1,328,010"
tokenstars,"Jun 18, 2018",0.134275,0.143063,0.127829,0.133970,"97,610","1,329,360"
tokenstars,"Jun 17, 2018",0.139807,0.140724,0.133909,0.134356,"89,080","1,384,120"
tokenstars,"Jun 16, 2018",0.137675,0.142725,0.134045,0.139693,"96,450","1,363,020"
tokenstars,"Jun 15, 2018",0.142936,0.143291,0.129672,0.138019,"90,779","1,415,100"
tokenstars,"Jun 14, 2018",0.130174,0.149648,0.124061,0.143394,"77,263","1,288,760"
tokenstars,"Jun 13, 2018",0.134300,0.135394,0.126131,0.130206,"53,193","1,323,370"
tokenstars,"Jun 12, 2018",0.142422,0.142422,0.132229,0.133871,"78,382","1,403,410"
tokenstars,"Jun 11, 2018",0.146824,0.149095,0.137849,0.142450,"78,412","1,446,790"
tokenstars,"Jun 10, 2018",0.159055,0.164444,0.142396,0.149555,"101,391","1,567,310"
tokenstars,"Jun 09, 2018",0.167279,0.169500,0.158765,0.158765,"87,392","1,648,350"
tokenstars,"Jun 08, 2018",0.163736,0.169396,0.157864,0.167384,"117,777","1,613,440"
tokenstars,"Jun 07, 2018",0.164953,0.171717,0.160677,0.163814,"113,735","1,625,430"
tokenstars,"Jun 06, 2018",0.171225,0.178293,0.157186,0.164851,"117,188","1,687,230"
tokenstars,"Jun 05, 2018",0.177225,0.179203,0.167343,0.171427,"106,963","1,746,360"
tokenstars,"Jun 04, 2018",0.180376,0.185427,0.168966,0.177020,"102,435","1,777,410"
tokenstars,"Jun 03, 2018",0.176724,0.186309,0.171768,0.182029,"127,865","1,741,420"
tokenstars,"Jun 02, 2018",0.154995,0.181432,0.152587,0.176691,"122,988","1,527,300"
tokenstars,"Jun 01, 2018",0.162946,0.173603,0.148691,0.155030,"102,586","1,604,290"
tokenstars,"May 31, 2018",0.180582,0.180939,0.158342,0.162490,"101,505","1,777,930"
tokenstars,"May 30, 2018",0.168115,0.207699,0.160142,0.180594,"128,382","1,655,180"
tokenstars,"May 29, 2018",0.160163,0.204714,0.153819,0.168944,"132,575","1,576,890"
tokenstars,"May 28, 2018",0.183584,0.184384,0.156022,0.160966,"77,653","1,807,480"
tokenstars,"May 27, 2018",0.181003,0.220380,0.165906,0.183832,"93,744","1,782,070"
tokenstars,"May 26, 2018",0.149599,0.205113,0.139667,0.180829,"84,363","1,472,880"
tokenstars,"May 25, 2018",0.148433,0.158232,0.142201,0.142484,"68,025","1,461,400"
tokenstars,"May 24, 2018",0.141623,0.154032,0.141153,0.148299,"70,640","1,375,290"
tokenstars,"May 23, 2018",0.168955,0.169920,0.134802,0.141877,"52,082","1,640,710"
tokenstars,"May 22, 2018",0.188330,0.188343,0.154636,0.169137,"45,372","1,828,860"
tokenstars,"May 21, 2018",0.231501,0.239125,0.185336,0.185918,"75,370","2,248,080"
tokenstars,"May 20, 2018",0.232213,0.258854,0.209172,0.231270,"87,230","2,254,990"
tokenstars,"May 19, 2018",0.248071,0.268814,0.209778,0.230649,"115,334","2,409,000"
tokenstars,"May 18, 2018",0.310059,0.310059,0.245477,0.247957,"185,672","3,010,950"
tokenstars,"May 17, 2018",0.367943,0.371418,0.310900,0.311646,"277,255","3,573,060"
tokenstars,"May 16, 2018",0.373111,0.401276,0.334924,0.367626,"153,719","3,623,240"
tokenstars,"May 15, 2018",0.343790,0.450735,0.326691,0.373113,"137,435","3,338,520"
tokenstars,"May 14, 2018",0.295643,0.356913,0.277555,0.345133,"97,790",-
tokenstars,"May 13, 2018",0.400250,0.430297,0.282308,0.297384,"72,231",-
tokenstars,"May 12, 2018",0.349655,0.446760,0.349655,0.400453,"52,049",-
tokenstars,"May 11, 2018",0.452942,0.458222,0.350505,0.350505,"409,248",-
