Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
trackr,"Jul 01, 2018",0.018156,0.018238,0.017815,0.018090,402,"227,486"
trackr,"Jun 30, 2018",0.017803,0.018185,0.017803,0.018138,600,"223,070"
trackr,"Jun 27, 2018",0.012911,0.013006,0.012823,0.012996,14,"161,765"
trackr,"Jun 26, 2018",0.013830,0.013830,0.012935,0.012955,14,"173,289"
trackr,"Jun 25, 2018",0.013664,0.013707,0.013393,0.013489,450,"171,205"
trackr,"Jun 24, 2018",0.014231,0.017942,0.012657,0.013720,479,"178,308"
trackr,"Jun 23, 2018",0.018345,0.018695,0.012396,0.014235,921,"229,856"
trackr,"Jun 22, 2018",0.031588,0.031588,0.017912,0.018333,43,"395,793"
trackr,"Jun 21, 2018",0.027206,0.032171,0.026453,0.031597,11,"340,884"
trackr,"Jun 20, 2018",0.021041,0.027221,0.016004,0.027221,571,"263,633"
trackr,"Jun 19, 2018",0.020707,0.021649,0.020617,0.021386,53,"259,457"
trackr,"Jun 18, 2018",0.019913,0.020724,0.019665,0.020720,52,"249,509"
trackr,"Jun 17, 2018",0.019997,0.020163,0.019866,0.019917,2,"250,557"
trackr,"Jun 16, 2018",0.019516,0.020070,0.019426,0.019874,4,"244,537"
trackr,"Jun 15, 2018",0.020767,0.020855,0.014723,0.019570,40,"260,204"
trackr,"Jun 14, 2018",0.014648,0.020966,0.014500,0.020771,18,"183,538"
trackr,"Jun 13, 2018",0.019873,0.020063,0.018146,0.018979,9,"249,005"
trackr,"Jun 12, 2018",0.026577,0.026577,0.019540,0.019794,255,"333,002"
trackr,"Jun 11, 2018",0.155813,0.177940,0.015768,0.026566,595,"1,952,290"
trackr,"Jun 10, 2018",0.023779,0.217888,0.022895,0.155541,"2,524","297,938"
trackr,"Jun 09, 2018",0.024569,0.060136,0.017975,0.023732,43,"307,845"
trackr,"Jun 08, 2018",0.024206,0.024647,0.023804,0.024563,112,"303,299"
trackr,"Jun 07, 2018",0.024246,0.030490,0.018105,0.024165,"1,200","303,792"
trackr,"Jun 06, 2018",0.026949,0.030515,0.023804,0.024253,809,"337,666"
trackr,"Jun 05, 2018",0.024150,0.043650,0.023553,0.027003,"1,298","302,596"
trackr,"Jun 04, 2018",0.018531,0.027193,0.017501,0.024152,960,"232,186"
trackr,"Jun 03, 2018",0.017741,0.018764,0.017728,0.018559,9,"222,296"
trackr,"Jun 02, 2018",0.017374,0.017984,0.017268,0.017764,10,"217,692"
trackr,"Jun 01, 2018",0.017326,0.017669,0.016960,0.017378,"1,101","217,089"
trackr,"May 31, 2018",0.022336,0.023437,0.017224,0.017289,134,"279,870"
trackr,"May 30, 2018",0.016955,0.022754,0.016395,0.022354,55,"212,447"
trackr,"May 29, 2018",0.015396,0.022805,0.015386,0.016945,119,"192,908"
trackr,"May 28, 2018",0.016059,0.016191,0.015279,0.015441,82,"201,211"
trackr,"May 27, 2018",0.023491,0.023672,0.022326,0.022456,0,"294,333"
trackr,"May 26, 2018",0.018017,0.024163,0.017854,0.023446,105,"225,742"
trackr,"May 25, 2018",0.024078,0.024641,0.023434,0.023900,268,"301,687"
trackr,"May 24, 2018",0.017390,0.024185,0.016578,0.024052,299,"217,887"
trackr,"May 23, 2018",0.025742,0.025962,0.017426,0.017468,9,"322,537"
trackr,"May 22, 2018",0.027885,0.027980,0.020368,0.025793,603,"349,393"
trackr,"May 21, 2018",0.028602,0.028710,0.020677,0.027944,7,"358,370"
trackr,"May 20, 2018",0.027838,0.028896,0.020897,0.028565,500,"348,808"
trackr,"May 19, 2018",0.027515,0.028625,0.027503,0.027815,3,"344,761"
trackr,"May 18, 2018",0.026818,0.027632,0.026377,0.027531,9,"336,022"
trackr,"May 17, 2018",0.028270,0.028721,0.026583,0.026845,9,"354,218"
trackr,"May 16, 2018",0.028260,0.028404,0.027239,0.028237,6,"354,086"
trackr,"May 15, 2018",0.021812,0.029493,0.021653,0.028246,"1,457","273,298"
