Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
travala,"Jul 02, 2018",0.124968,0.139440,0.109127,0.131318,"12,072","3,402,450"
travala,"Jul 01, 2018",0.101578,0.126638,0.098641,0.124968,"12,077","2,765,620"
travala,"Jun 30, 2018",0.089138,0.105510,0.088961,0.101749,"7,561","2,426,910"
travala,"Jun 29, 2018",0.071006,0.095090,0.064588,0.088781,"12,793","1,933,260"
travala,"Jun 28, 2018",0.086686,0.243530,0.070910,0.071036,"11,851","2,360,170"
travala,"Jun 27, 2018",0.106139,0.107403,0.085955,0.086581,"21,503","2,889,810"
travala,"Jun 26, 2018",0.118172,0.118566,0.099214,0.106072,"2,852","3,217,420"
travala,"Jun 25, 2018",0.107388,0.121225,0.101146,0.118172,"5,289","2,923,810"
travala,"Jun 24, 2018",0.121853,0.125062,0.096854,0.108157,"28,944","3,317,640"
travala,"Jun 23, 2018",0.115097,0.131161,0.114861,0.121864,"3,143","3,133,690"
travala,"Jun 22, 2018",0.144464,0.144824,0.110851,0.115378,"4,080","3,933,250"
travala,"Jun 21, 2018",0.147193,0.154381,0.140823,0.144464,"7,707","4,007,560"
travala,"Jun 20, 2018",0.148250,0.154009,0.137789,0.146820,"7,021","4,036,340"
travala,"Jun 19, 2018",0.146044,0.160558,0.144608,0.148243,"8,322","3,984,790"
travala,"Jun 18, 2018",0.150884,0.158995,0.136861,0.146033,"6,361","4,116,840"
travala,"Jun 17, 2018",0.151899,0.158408,0.140027,0.150876,"8,066","4,144,520"
travala,"Jun 16, 2018",0.147368,0.156910,0.137901,0.152010,"7,234","4,020,920"
travala,"Jun 15, 2018",0.150347,0.150818,0.132755,0.148051,"18,938","4,102,190"
travala,"Jun 14, 2018",0.108376,0.153903,0.108376,0.150194,"26,540","2,957,030"
travala,"Jun 13, 2018",0.155268,0.160241,0.104961,0.108390,"40,851","4,236,460"
travala,"Jun 12, 2018",0.157180,0.188073,0.129468,0.154437,"48,506","4,288,610"
travala,"Jun 11, 2018",0.172281,0.177519,0.136795,0.157093,"57,798","4,700,660"
travala,"Jun 10, 2018",0.217974,0.217974,0.156267,0.171940,"42,749","5,947,380"
travala,"Jun 09, 2018",0.209491,0.223159,0.179038,0.218614,"62,045","5,715,920"
travala,"Jun 08, 2018",0.235459,0.248634,0.166471,0.209491,"45,316","6,424,440"
travala,"Jun 07, 2018",0.259270,0.264359,0.232968,0.235627,"15,904","7,074,130"
travala,"Jun 06, 2018",0.266774,0.276891,0.233724,0.259318,"28,530","7,163,910"
travala,"Jun 05, 2018",0.285859,0.295371,0.257855,0.266769,"24,857","7,676,400"
travala,"Jun 04, 2018",0.297282,0.308668,0.250012,0.285859,"51,363","7,983,170"
travala,"Jun 03, 2018",0.323118,0.323118,0.282727,0.297319,"39,470","8,676,950"
travala,"Jun 02, 2018",0.323524,0.337163,0.290216,0.323539,"48,084","8,687,870"
travala,"Jun 01, 2018",0.310747,0.328074,0.293336,0.323928,"73,393","8,344,750"
travala,"May 31, 2018",0.291381,0.318268,0.282876,0.310747,"59,436","7,824,700"
travala,"May 30, 2018",0.288458,0.295054,0.253973,0.291736,"32,611","7,746,200"
travala,"May 29, 2018",0.244964,0.305506,0.227760,0.287298,"83,527",-
travala,"May 28, 2018",0.225725,0.249934,0.222290,0.245766,"46,446",-
