Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
traxia,"Jul 02, 2018",0.020927,0.021399,0.019406,0.020862,"150,800",-
traxia,"Jul 01, 2018",0.020769,0.020957,0.018866,0.020912,"135,992",-
traxia,"Jun 30, 2018",0.018791,0.021453,0.018791,0.020751,"45,467",-
traxia,"Jun 29, 2018",0.020373,0.020772,0.017874,0.018776,"434,166",-
traxia,"Jun 28, 2018",0.019526,0.024777,0.019265,0.020353,"990,381",-
traxia,"Jun 27, 2018",0.015263,0.019742,0.015045,0.019443,"880,743",-
traxia,"Jun 26, 2018",0.015399,0.017488,0.015006,0.015392,"856,579",-
traxia,"Jun 25, 2018",0.021385,0.022210,0.012162,0.015212,"595,994",-
traxia,"Jun 24, 2018",0.022350,0.023660,0.019928,0.021444,"683,466",-
traxia,"Jun 23, 2018",0.023174,0.023928,0.022003,0.022359,"937,811",-
traxia,"Jun 22, 2018",0.028509,0.028857,0.022687,0.023216,"1,393,390",-
traxia,"Jun 21, 2018",0.028135,0.032472,0.027208,0.028588,"6,408,400",-
traxia,"Jun 20, 2018",0.027301,0.029677,0.024737,0.028195,"3,885,950",-
traxia,"Jun 19, 2018",0.030088,0.030612,0.027034,0.027319,"5,180,140",-
traxia,"Jun 18, 2018",0.030353,0.031304,0.023240,0.029930,"3,757,090",-
traxia,"Jun 17, 2018",0.033592,0.034206,0.030644,0.030691,"2,737,240",-
traxia,"Jun 16, 2018",0.036334,0.036612,0.025954,0.033610,"2,265,640",-
traxia,"Jun 15, 2018",0.046041,0.047085,0.035802,0.036449,"3,562,550",-
traxia,"Jun 14, 2018",0.034678,0.050233,0.033974,0.046171,"2,526,930",-
traxia,"Jun 13, 2018",0.036161,0.036959,0.033605,0.034659,"1,345,530",-
traxia,"Jun 12, 2018",0.042355,0.043776,0.034761,0.036047,"2,083,020",-
traxia,"Jun 11, 2018",0.041662,0.046312,0.037640,0.041560,"903,821",-
traxia,"Jun 10, 2018",0.054682,0.054682,0.040733,0.041597,"2,564,770",-
traxia,"Jun 09, 2018",0.055487,0.056096,0.054300,0.054596,"2,812,040",-
traxia,"Jun 08, 2018",0.060601,0.061737,0.054092,0.055491,"622,114",-
