Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
trident,"Jul 02, 2018",0.047483,0.061022,0.045871,0.060596,242,"57,598"
trident,"Jul 01, 2018",0.038816,0.049524,0.037679,0.047478,28,"47,085"
trident,"Jun 30, 2018",0.037809,0.039319,0.037807,0.038807,178,"45,863"
trident,"Jun 29, 2018",0.035756,0.038407,0.032793,0.037758,24,"43,373"
trident,"Jun 28, 2018",0.037417,0.037527,0.035532,0.035733,32,"45,387"
trident,"Jun 27, 2018",0.043006,0.045526,0.037315,0.037403,90,"45,716"
trident,"Jun 26, 2018",0.038067,0.044067,0.034718,0.043023,84,"40,467"
trident,"Jun 25, 2018",0.055057,0.056536,0.041887,0.041973,1,"58,527"
trident,"Jun 24, 2018",0.037299,0.056283,0.035026,0.055164,25,"39,650"
trident,"Jun 23, 2018",0.053218,0.054087,0.036337,0.037304,39,"56,572"
trident,"Jun 22, 2018",0.040892,0.053366,0.032233,0.053210,30,"43,469"
trident,"Jun 21, 2018",0.055577,0.063138,0.040853,0.040937,8,"59,079"
trident,"Jun 20, 2018",0.041138,0.055590,0.040111,0.055565,26,"43,731"
trident,"Jun 19, 2018",0.042930,0.043041,0.040822,0.041112,83,"45,635"
trident,"Jun 18, 2018",0.044433,0.062271,0.042801,0.042953,100,"47,234"
trident,"Jun 17, 2018",0.048987,0.049307,0.041067,0.044586,2,"52,074"
trident,"Jun 16, 2018",0.044118,0.050562,0.043985,0.048871,11,"46,899"
trident,"Jun 15, 2018",0.053150,0.071717,0.044036,0.044280,40,"56,500"
trident,"Jun 14, 2018",0.046189,0.053447,0.044521,0.053238,55,"49,100"
trident,"Jun 13, 2018",0.047768,0.048309,0.044980,0.046068,121,"50,779"
trident,"Jun 12, 2018",0.065500,0.065500,0.046924,0.047358,248,"69,629"
trident,"Jun 11, 2018",0.076193,0.076193,0.062185,0.065535,3,"80,995"
trident,"Jun 10, 2018",0.071357,0.089588,0.070306,0.076073,71,"75,854"
trident,"Jun 09, 2018",0.087982,0.104850,0.068900,0.071259,638,"93,527"
trident,"Jun 08, 2018",0.131521,0.137492,0.083318,0.087990,566,"139,810"
trident,"Jun 07, 2018",0.025601,0.149483,0.023287,0.131307,286,"27,215"
trident,"Jun 06, 2018",0.086040,0.087329,0.021641,0.025596,680,"91,463"
trident,"Jun 05, 2018",0.087015,0.094479,0.085915,0.086064,31,"92,499"
trident,"Jun 04, 2018",0.127043,0.127383,0.075277,0.086973,85,"135,049"
trident,"Jun 03, 2018",0.095853,0.127238,0.095427,0.126984,103,"101,894"
trident,"Jun 02, 2018",0.094368,0.096577,0.094343,0.095827,208,"100,315"
trident,"Jun 01, 2018",0.066436,0.067404,0.066339,0.067341,32,"70,623"
trident,"May 31, 2018",0.069549,0.069549,0.065434,0.066388,102,"73,932"
trident,"May 30, 2018",0.070741,0.087601,0.068028,0.069562,54,"75,200"
trident,"May 29, 2018",0.074267,0.078581,0.069623,0.070694,38,"78,948"
trident,"May 28, 2018",0.074861,0.076870,0.073263,0.074301,40,"79,579"
trident,"May 27, 2018",0.065304,0.100325,0.064402,0.074843,100,"69,420"
trident,"May 26, 2018",0.074050,0.134727,0.064937,0.065272,"1,572","78,717"
trident,"May 25, 2018",0.078965,0.079360,0.073203,0.074148,139,"83,942"
trident,"May 24, 2018",0.074219,0.085666,0.071949,0.078820,85,"78,897"
trident,"May 23, 2018",0.071070,0.077292,0.069947,0.074442,35,"75,550"
trident,"May 22, 2018",0.105142,0.162595,0.070744,0.071144,319,"111,769"
trident,"May 21, 2018",0.107833,0.169739,0.096811,0.105168,"2,064","114,629"
trident,"May 20, 2018",0.315048,0.315583,0.104867,0.107698,357,"334,903"
trident,"May 19, 2018",0.117736,0.349775,0.117113,0.314782,230,"125,156"
trident,"May 18, 2018",0.120653,0.123233,0.098597,0.117754,887,"128,257"
trident,"May 17, 2018",0.105762,0.126335,0.103198,0.120555,190,"107,139"
trident,"May 16, 2018",0.114555,0.120399,0.102217,0.105697,879,"110,319"
trident,"May 15, 2018",0.112157,0.167750,0.106855,0.114594,"1,178","108,010"
trident,"May 14, 2018",0.119834,0.128882,0.100753,0.112344,124,"115,403"
trident,"May 13, 2018",0.141815,0.145546,0.119097,0.119855,129,"136,572"
trident,"May 12, 2018",0.311199,0.315548,0.099923,0.141865,"1,161","299,692"
trident,"May 11, 2018",0.104679,0.428910,0.103063,0.311747,176,"100,808"
trident,"May 10, 2018",0.164491,0.165331,0.104454,0.104556,"2,698","158,409"
trident,"May 09, 2018",0.162205,0.165188,0.129274,0.164537,"2,203","156,208"
