Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
trollcoin,"Jul 02, 2018",0.000762,0.000974,0.000760,0.000973,35,"439,232"
trollcoin,"Jul 01, 2018",0.000767,0.001144,0.000758,0.000762,"1,396","441,953"
trollcoin,"Jun 30, 2018",0.000731,0.000824,0.000730,0.000767,40,"421,062"
trollcoin,"Jun 29, 2018",0.000751,0.000767,0.000690,0.000730,86,"432,505"
trollcoin,"Jun 28, 2018",0.000794,0.000836,0.000746,0.000749,64,"457,066"
trollcoin,"Jun 27, 2018",0.000772,0.000827,0.000770,0.000793,79,"444,426"
trollcoin,"Jun 26, 2018",0.000873,0.000875,0.000771,0.000772,20,"502,539"
trollcoin,"Jun 25, 2018",0.000791,0.000882,0.000779,0.000873,876,"455,422"
trollcoin,"Jun 24, 2018",0.000714,0.000796,0.000671,0.000792,29,"411,246"
trollcoin,"Jun 23, 2018",0.000737,0.000748,0.000713,0.000714,146,"424,497"
trollcoin,"Jun 22, 2018",0.000856,0.000857,0.000721,0.000733,7,"492,819"
trollcoin,"Jun 21, 2018",0.000812,0.000893,0.000810,0.000854,45,"467,311"
trollcoin,"Jun 20, 2018",0.000939,0.001001,0.000793,0.000812,149,"540,402"
trollcoin,"Jun 19, 2018",0.000935,0.001004,0.000932,0.000938,94,"537,930"
trollcoin,"Jun 18, 2018",0.000824,0.000942,0.000810,0.000935,211,"474,196"
trollcoin,"Jun 17, 2018",0.000849,0.000855,0.000824,0.000827,39,"488,264"
trollcoin,"Jun 16, 2018",0.000780,0.000920,0.000775,0.000846,31,"448,463"
trollcoin,"Jun 15, 2018",0.000921,0.000923,0.000779,0.000782,7,"530,083"
trollcoin,"Jun 14, 2018",0.000803,0.000923,0.000788,0.000923,11,"462,006"
trollcoin,"Jun 13, 2018",0.000922,0.000923,0.000773,0.000804,53,"530,066"
trollcoin,"Jun 12, 2018",0.000867,0.000960,0.000720,0.000919,816,"498,884"
trollcoin,"Jun 11, 2018",0.000881,0.000886,0.000799,0.000868,56,"506,836"
trollcoin,"Jun 10, 2018",0.001087,0.001097,0.000768,0.000880,64,"624,881"
trollcoin,"Jun 09, 2018",0.000994,0.001105,0.000993,0.001086,466,"571,456"
trollcoin,"Jun 08, 2018",0.001015,0.001017,0.000848,0.000995,200,"583,347"
trollcoin,"Jun 07, 2018",0.000924,0.001014,0.000922,0.001014,37,"530,996"
trollcoin,"Jun 06, 2018",0.001012,0.001029,0.000949,0.000949,320,"581,410"
trollcoin,"Jun 05, 2018",0.000932,0.000982,0.000880,0.000913,41,"535,618"
trollcoin,"Jun 04, 2018",0.000925,0.000988,0.000862,0.000932,315,"531,517"
trollcoin,"Jun 03, 2018",0.000836,0.000927,0.000760,0.000924,"1,671","480,361"
trollcoin,"Jun 02, 2018",0.000820,0.000843,0.000750,0.000836,19,"470,881"
trollcoin,"Jun 01, 2018",0.000810,0.000848,0.000744,0.000820,506,"465,109"
trollcoin,"May 31, 2018",0.000813,0.000910,0.000756,0.000818,203,"467,327"
trollcoin,"May 30, 2018",0.000935,0.000956,0.000831,0.000887,893,"537,352"
trollcoin,"May 29, 2018",0.000796,0.000960,0.000537,0.000935,273,"457,423"
trollcoin,"May 28, 2018",0.000945,0.000951,0.000784,0.000797,38,"542,852"
trollcoin,"May 27, 2018",0.000881,0.000945,0.000869,0.000945,240,"505,816"
trollcoin,"May 26, 2018",0.000894,0.000909,0.000812,0.000880,161,"513,329"
trollcoin,"May 25, 2018",0.000908,0.000914,0.000809,0.000895,279,"521,065"
trollcoin,"May 24, 2018",0.000827,0.000924,0.000750,0.000906,953,"474,709"
trollcoin,"May 23, 2018",0.000879,0.000953,0.000785,0.000829,379,"504,848"
trollcoin,"May 22, 2018",0.001078,0.001078,0.000876,0.000880,292,"618,587"
