Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
trueflip,"Jul 02, 2018",0.599927,0.624459,0.545361,0.600768,"197,277","3,747,900"
trueflip,"Jul 01, 2018",0.608959,0.622817,0.566620,0.599859,"193,811","3,804,330"
trueflip,"Jun 30, 2018",0.564872,0.624514,0.533486,0.608820,"181,284","3,528,910"
trueflip,"Jun 29, 2018",0.575575,0.578629,0.499250,0.564110,"153,135","3,595,770"
trueflip,"Jun 28, 2018",0.548145,0.610617,0.540002,0.575208,"120,483","3,424,410"
trueflip,"Jun 27, 2018",0.523234,0.554741,0.519818,0.547949,"181,258","3,268,780"
trueflip,"Jun 26, 2018",0.545010,0.546193,0.522954,0.523446,"174,242","3,404,820"
trueflip,"Jun 25, 2018",0.540025,0.568414,0.522704,0.545010,"151,938","3,373,680"
trueflip,"Jun 24, 2018",0.586779,0.587732,0.492782,0.541069,"90,742","3,665,760"
trueflip,"Jun 23, 2018",0.599282,0.609015,0.579428,0.586858,"99,543","3,743,880"
trueflip,"Jun 22, 2018",0.657990,0.659806,0.588651,0.599203,"98,352","4,110,640"
trueflip,"Jun 21, 2018",0.693477,0.693511,0.656477,0.658718,"63,712","4,332,330"
trueflip,"Jun 20, 2018",0.671132,0.707607,0.654383,0.693344,"104,036","4,192,740"
trueflip,"Jun 19, 2018",0.674137,0.685161,0.658660,0.670718,"102,071","4,211,510"
trueflip,"Jun 18, 2018",0.666477,0.682607,0.642493,0.674500,"103,396","4,163,660"
trueflip,"Jun 17, 2018",0.694599,0.694599,0.659196,0.668753,"90,892","4,339,350"
trueflip,"Jun 16, 2018",0.650366,0.701079,0.641214,0.692523,"79,406","4,063,010"
trueflip,"Jun 15, 2018",0.663611,0.664405,0.632757,0.652727,"102,215","4,145,750"
trueflip,"Jun 14, 2018",0.631778,0.664867,0.614938,0.664839,"93,287","3,946,890"
trueflip,"Jun 13, 2018",0.663222,0.723545,0.606146,0.632053,"104,841","4,143,330"
trueflip,"Jun 12, 2018",0.683790,0.753010,0.650963,0.661509,"194,481","4,271,820"
trueflip,"Jun 11, 2018",0.654004,0.733848,0.650227,0.684152,"155,307","4,085,740"
trueflip,"Jun 10, 2018",0.753068,0.753068,0.647864,0.653071,"190,883","4,704,620"
trueflip,"Jun 09, 2018",0.763333,0.770324,0.752121,0.752121,"213,144","4,768,740"
trueflip,"Jun 08, 2018",0.751325,0.783859,0.736871,0.763658,"209,101","4,693,730"
trueflip,"Jun 07, 2018",0.816271,0.826010,0.746251,0.750753,"201,864","5,099,460"
trueflip,"Jun 06, 2018",0.804394,0.828400,0.787735,0.815521,"203,400","5,025,260"
trueflip,"Jun 05, 2018",0.826875,0.829908,0.784619,0.804611,"207,890","5,165,710"
trueflip,"Jun 04, 2018",0.884239,0.907408,0.809779,0.826478,"187,859","5,524,080"
trueflip,"Jun 03, 2018",0.823778,0.908303,0.793256,0.879131,"199,879","5,146,360"
trueflip,"Jun 02, 2018",0.813327,0.829892,0.812341,0.823556,"193,500","5,081,070"
trueflip,"Jun 01, 2018",0.813675,0.840268,0.789853,0.813679,"204,106","5,083,250"
trueflip,"May 31, 2018",0.868742,0.893847,0.803285,0.813079,"246,320","5,427,270"
trueflip,"May 30, 2018",0.886981,0.897191,0.826600,0.868905,"210,506","5,541,210"
trueflip,"May 29, 2018",0.772888,0.888516,0.769363,0.886384,"189,974","4,828,440"
trueflip,"May 28, 2018",0.825861,0.835810,0.772040,0.773151,"201,019","5,159,370"
trueflip,"May 27, 2018",0.854311,0.948502,0.800601,0.825668,"215,807","5,337,110"
trueflip,"May 26, 2018",0.864518,0.887836,0.835033,0.849536,"169,388","5,400,870"
