Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
turbocoin,"Jul 02, 2018",0.000063,0.000066,0.000063,0.000066,218,-
turbocoin,"Jul 01, 2018",0.000064,0.000064,0.000063,0.000063,32,-
turbocoin,"Jun 30, 2018",0.000062,0.000065,0.000062,0.000064,115,-
turbocoin,"Jun 29, 2018",0.000059,0.000063,0.000058,0.000062,620,-
turbocoin,"Jun 28, 2018",0.000061,0.000061,0.000058,0.000059,5,-
turbocoin,"Jun 27, 2018",0.000061,0.000061,0.000060,0.000061,2,-
turbocoin,"Jun 26, 2018",0.000062,0.000063,0.000061,0.000061,2,-
turbocoin,"Jun 25, 2018",0.000062,0.000063,0.000061,0.000062,286,-
turbocoin,"Jun 24, 2018",0.000062,0.000063,0.000058,0.000062,22,-
turbocoin,"Jun 23, 2018",0.000061,0.000062,0.000060,0.000062,112,-
turbocoin,"Jun 22, 2018",0.000067,0.000067,0.000059,0.000061,36,-
turbocoin,"Jun 21, 2018",0.000068,0.000135,0.000067,0.000067,292,-
turbocoin,"Jun 20, 2018",0.000068,0.000068,0.000066,0.000068,40,-
turbocoin,"Jun 19, 2018",0.000067,0.000135,0.000067,0.000068,42,-
turbocoin,"Jun 18, 2018",0.000130,0.000136,0.000064,0.000067,"1,186",-
turbocoin,"Jun 17, 2018",0.000065,0.000132,0.000065,0.000130,102,-
turbocoin,"Jun 16, 2018",0.000064,0.000066,0.000064,0.000065,295,-
turbocoin,"Jun 15, 2018",0.000066,0.000067,0.000064,0.000064,30,-
turbocoin,"Jun 14, 2018",0.000063,0.000067,0.000063,0.000067,57,-
turbocoin,"Jun 13, 2018",0.000066,0.000066,0.000062,0.000063,57,-
turbocoin,"Jun 12, 2018",0.000069,0.000069,0.000065,0.000066,312,-
turbocoin,"Jun 11, 2018",0.000068,0.000069,0.000067,0.000069,99,-
turbocoin,"Jun 10, 2018",0.000075,0.000075,0.000067,0.000068,"1,092",-
turbocoin,"Jun 09, 2018",0.000076,0.000077,0.000075,0.000075,167,-
turbocoin,"Jun 08, 2018",0.000077,0.000077,0.000076,0.000076,13,-
turbocoin,"Jun 07, 2018",0.000077,0.000077,0.000077,0.000077,119,-
turbocoin,"Jun 06, 2018",0.000076,0.000077,0.000075,0.000076,346,-
turbocoin,"Jun 05, 2018",0.000075,0.000076,0.000074,0.000076,106,-
turbocoin,"Jun 04, 2018",0.000077,0.000077,0.000075,0.000075,123,-
turbocoin,"Jun 03, 2018",0.000076,0.000077,0.000076,0.000077,62,-
turbocoin,"Jun 02, 2018",0.000075,0.000077,0.000075,0.000076,175,-
turbocoin,"Jun 01, 2018",0.000075,0.000076,0.000074,0.000075,176,-
turbocoin,"May 31, 2018",0.000076,0.000076,0.000074,0.000075,112,-
turbocoin,"May 30, 2018",0.000075,0.000076,0.000073,0.000073,236,-
turbocoin,"May 29, 2018",0.000071,0.000075,0.000071,0.000075,272,-
turbocoin,"May 28, 2018",0.000073,0.000074,0.000071,0.000071,52,-
turbocoin,"May 27, 2018",0.000073,0.000074,0.000072,0.000073,31,-
turbocoin,"May 26, 2018",0.000075,0.000076,0.000073,0.000073,17,-
turbocoin,"May 25, 2018",0.000076,0.000077,0.000074,0.000075,41,-
turbocoin,"May 24, 2018",0.000075,0.000077,0.000073,0.000075,363,-
turbocoin,"May 23, 2018",0.000080,0.000080,0.000075,0.000075,923,-
turbocoin,"May 22, 2018",0.000084,0.000084,0.000080,0.000080,45,-
turbocoin,"May 21, 2018",0.000085,0.000170,0.000083,0.000084,209,-
turbocoin,"May 20, 2018",0.000082,0.000166,0.000082,0.000085,361,-
turbocoin,"May 19, 2018",0.000082,0.000167,0.000082,0.000082,281,-
turbocoin,"May 18, 2018",0.000081,0.000083,0.000080,0.000082,60,-
turbocoin,"May 17, 2018",0.000083,0.000167,0.000080,0.000081,40,-
turbocoin,"May 16, 2018",0.000085,0.000085,0.000081,0.000083,"1,645",-
turbocoin,"May 15, 2018",0.000087,0.000171,0.000084,0.000085,147,-
turbocoin,"May 14, 2018",0.000087,0.000168,0.000083,0.000087,62,-
turbocoin,"May 13, 2018",0.000085,0.000172,0.000084,0.000087,"2,069",-
turbocoin,"May 12, 2018",0.000084,0.000086,0.000082,0.000085,36,-
turbocoin,"May 11, 2018",0.000090,0.000180,0.000084,0.000084,173,-
turbocoin,"May 10, 2018",0.000093,0.000094,0.000090,0.000090,125,-
turbocoin,"May 09, 2018",0.000092,0.000093,0.000090,0.000093,202,-
turbocoin,"May 08, 2018",0.000094,0.000095,0.000091,0.000092,"1,535",-
turbocoin,"May 07, 2018",0.000096,0.000096,0.000092,0.000093,532,-
turbocoin,"May 06, 2018",0.000098,0.000191,0.000094,0.000096,354,-
turbocoin,"May 05, 2018",0.000097,0.000100,0.000097,0.000098,216,-
turbocoin,"May 04, 2018",0.000097,0.000098,0.000096,0.000097,404,-
turbocoin,"May 03, 2018",0.000184,0.000184,0.000092,0.000098,485,-
turbocoin,"May 02, 2018",0.000091,0.000185,0.000090,0.000184,147,-
turbocoin,"May 01, 2018",0.000092,0.000092,0.000089,0.000091,67,-
turbocoin,"Apr 30, 2018",0.000094,0.000094,0.000091,0.000092,99,-
turbocoin,"Apr 29, 2018",0.000093,0.000190,0.000092,0.000094,449,-
turbocoin,"Apr 28, 2018",0.000089,0.000188,0.000089,0.000093,424,-
turbocoin,"Apr 27, 2018",0.000093,0.000187,0.000089,0.000089,280,-
turbocoin,"Apr 26, 2018",0.000089,0.000178,0.000086,0.000093,840,-
turbocoin,"Apr 25, 2018",0.000097,0.000190,0.000088,0.000088,235,-
turbocoin,"Apr 24, 2018",0.000089,0.000189,0.000089,0.000098,"3,640",-
turbocoin,"Apr 23, 2018",0.000176,0.000178,0.000088,0.000089,"1,714",-
turbocoin,"Apr 22, 2018",0.000089,0.000180,0.000088,0.000176,546,-
turbocoin,"Apr 21, 2018",0.000177,0.000178,0.000087,0.000089,"1,021",-
turbocoin,"Apr 20, 2018",0.000083,0.000178,0.000083,0.000177,479,-
turbocoin,"Apr 19, 2018",0.000163,0.000165,0.000082,0.000083,"1,295",-
turbocoin,"Apr 18, 2018",0.000158,0.000245,0.000079,0.000163,"1,431",-
turbocoin,"Apr 17, 2018",0.000080,0.000244,0.000080,0.000158,"5,717",-
turbocoin,"Apr 16, 2018",0.000167,0.000168,0.000080,0.000080,"8,197",-
turbocoin,"Apr 15, 2018",0.000160,0.000243,0.000080,0.000167,"6,760",-
turbocoin,"Apr 14, 2018",0.000157,0.000240,0.000079,0.000160,"8,037",-
turbocoin,"Apr 13, 2018",0.000158,0.000243,0.000079,0.000157,"5,376",-
turbocoin,"Apr 12, 2018",0.000139,0.000235,0.000135,0.000158,"10,574",-
turbocoin,"Apr 11, 2018",0.000273,0.000274,0.000137,0.000139,"24,705",-
turbocoin,"Apr 10, 2018",0.000135,0.000341,0.000067,0.000273,"214,039",-
turbocoin,"Apr 09, 2018",0.000141,0.000143,0.000066,0.000068,"2,792",-
turbocoin,"Apr 08, 2018",0.000207,0.000280,0.000070,0.000140,"31,200",-
turbocoin,"Apr 07, 2018",0.000331,0.000616,0.000206,0.000207,"373,040",-
turbocoin,"Apr 06, 2018",0.000068,0.000462,0.000065,0.000331,"236,939",-
turbocoin,"Apr 05, 2018",0.000068,0.000069,0.000066,0.000068,1,-
turbocoin,"Apr 04, 2018",0.000074,0.000074,0.000067,0.000068,1,-
turbocoin,"Apr 03, 2018",0.000070,0.000075,0.000070,0.000074,10,-
turbocoin,"Apr 02, 2018",0.000068,0.000071,0.000068,0.000070,9,-
turbocoin,"Apr 01, 2018",0.000069,0.000070,0.000064,0.000068,23,-
turbocoin,"Mar 31, 2018",0.000070,0.000072,0.000069,0.000069,35,-
turbocoin,"Mar 29, 2018",0.000079,0.000080,0.000076,0.000076,8,-
turbocoin,"Mar 28, 2018",0.000078,0.000081,0.000078,0.000079,8,-
turbocoin,"Mar 26, 2018",0.000084,0.000085,0.000079,0.000079,10,-
turbocoin,"Mar 25, 2018",0.000085,0.000087,0.000084,0.000084,12,-
turbocoin,"Mar 24, 2018",0.000089,0.000090,0.000086,0.000086,2,-
turbocoin,"Mar 23, 2018",0.000087,0.000088,0.000084,0.000088,9,-
turbocoin,"Mar 22, 2018",0.000089,0.000091,0.000085,0.000087,85,-
turbocoin,"Mar 21, 2018",0.000089,0.000092,0.000088,0.000089,24,-
turbocoin,"Mar 20, 2018",0.000086,0.000090,0.000083,0.000089,3,-
turbocoin,"Mar 19, 2018",0.000082,0.000087,0.000081,0.000085,117,-
turbocoin,"Mar 18, 2018",0.000079,0.000083,0.000073,0.000082,83,-
turbocoin,"Mar 17, 2018",0.000080,0.000080,0.000077,0.000079,1,-
turbocoin,"Mar 16, 2018",0.000083,0.000085,0.000080,0.000085,9,-
turbocoin,"Mar 15, 2018",0.000082,0.000084,0.000080,0.000083,8,-
turbocoin,"Mar 14, 2018",0.000093,0.000093,0.000080,0.000082,38,-
turbocoin,"Mar 13, 2018",0.000091,0.000095,0.000089,0.000091,226,-
turbocoin,"Mar 12, 2018",0.000095,0.000099,0.000088,0.000091,283,-
turbocoin,"Mar 11, 2018",0.000088,0.000097,0.000085,0.000096,40,-
turbocoin,"Mar 10, 2018",0.000093,0.000095,0.000087,0.000088,585,-
turbocoin,"Mar 09, 2018",0.000093,0.000094,0.000084,0.000093,434,-
turbocoin,"Mar 08, 2018",0.000099,0.000101,0.000093,0.000094,9,-
turbocoin,"Mar 07, 2018",0.000107,0.000109,0.000094,0.000099,10,-
turbocoin,"Mar 06, 2018",0.000115,0.000115,0.000106,0.000107,155,-
turbocoin,"Mar 05, 2018",0.000115,0.000231,0.000114,0.000115,"1,524",-
turbocoin,"Mar 04, 2018",0.000114,0.000224,0.000111,0.000115,"1,286",-
turbocoin,"Mar 03, 2018",0.000110,0.000115,0.000110,0.000115,274,-
turbocoin,"Mar 02, 2018",0.000109,0.000221,0.000108,0.000110,290,-
turbocoin,"Mar 01, 2018",0.000103,0.000216,0.000102,0.000109,"2,713",-
turbocoin,"Feb 28, 2018",0.000107,0.000215,0.000103,0.000103,764,-
turbocoin,"Feb 27, 2018",0.000103,0.000208,0.000102,0.000107,351,-
turbocoin,"Feb 26, 2018",0.000096,0.000206,0.000094,0.000103,554,-
turbocoin,"Feb 25, 2018",0.000097,0.000192,0.000093,0.000096,292,-
turbocoin,"Feb 24, 2018",0.000101,0.000105,0.000094,0.000097,488,-
turbocoin,"Feb 23, 2018",0.000098,0.000198,0.000096,0.000102,50,-
turbocoin,"Feb 22, 2018",0.000105,0.000218,0.000097,0.000099,607,-
turbocoin,"Feb 21, 2018",0.000112,0.000224,0.000103,0.000105,163,-
turbocoin,"Feb 20, 2018",0.000112,0.000235,0.000111,0.000112,377,-
turbocoin,"Feb 19, 2018",0.000104,0.000225,0.000104,0.000112,360,-
turbocoin,"Feb 18, 2018",0.000111,0.000218,0.000102,0.000104,"2,801",-
turbocoin,"Feb 17, 2018",0.000102,0.000217,0.000102,0.000111,"2,156",-
turbocoin,"Feb 16, 2018",0.000101,0.000205,0.000097,0.000102,384,-
turbocoin,"Feb 15, 2018",0.000095,0.000203,0.000094,0.000101,"1,231",-
turbocoin,"Feb 14, 2018",0.000085,0.000177,0.000085,0.000095,218,-
turbocoin,"Feb 13, 2018",0.000089,0.000173,0.000084,0.000085,186,-
turbocoin,"Feb 12, 2018",0.000162,0.000165,0.000082,0.000089,108,-
turbocoin,"Feb 11, 2018",0.000085,0.000166,0.000080,0.000161,212,-
turbocoin,"Feb 10, 2018",0.000174,0.000181,0.000082,0.000086,382,-
turbocoin,"Feb 09, 2018",0.000165,0.000174,0.000078,0.000174,32,-
turbocoin,"Feb 08, 2018",0.000152,0.000171,0.000076,0.000165,950,-
turbocoin,"Feb 07, 2018",0.000077,0.000161,0.000072,0.000152,320,-
turbocoin,"Feb 06, 2018",0.000069,0.000158,0.000059,0.000078,"3,732",-
turbocoin,"Feb 05, 2018",0.000082,0.000167,0.000067,0.000069,64,-
turbocoin,"Feb 04, 2018",0.000092,0.000185,0.000081,0.000083,495,-
turbocoin,"Feb 03, 2018",0.000089,0.000189,0.000082,0.000092,515,-
turbocoin,"Feb 02, 2018",0.000091,0.000182,0.000077,0.000088,235,-
turbocoin,"Feb 01, 2018",0.000102,0.000204,0.000086,0.000091,788,-
turbocoin,"Jan 31, 2018",0.000100,0.000205,0.000096,0.000101,244,-
turbocoin,"Jan 30, 2018",0.000112,0.000221,0.000100,0.000100,581,-
turbocoin,"Jan 29, 2018",0.000232,0.000235,0.000111,0.000112,604,-
turbocoin,"Jan 28, 2018",0.000228,0.000239,0.000114,0.000232,"1,671",-
turbocoin,"Jan 27, 2018",0.000111,0.000232,0.000109,0.000227,711,-
turbocoin,"Jan 26, 2018",0.000335,0.000341,0.000105,0.000111,"1,727",-
turbocoin,"Jan 25, 2018",0.000228,0.000348,0.000219,0.000336,"3,888",-
turbocoin,"Jan 24, 2018",0.000217,0.000344,0.000107,0.000225,"17,861",-
turbocoin,"Jan 23, 2018",0.000217,0.000341,0.000205,0.000217,"13,055",-
turbocoin,"Jan 22, 2018",0.000348,0.000358,0.000207,0.000217,"20,665",-
turbocoin,"Jan 21, 2018",0.000238,0.000350,0.000224,0.000344,"9,165",-
turbocoin,"Jan 20, 2018",0.000348,0.000384,0.000348,0.000382,"3,279",-
turbocoin,"Jan 19, 2018",0.000226,0.000353,0.000120,0.000345,"2,960",-
turbocoin,"Jan 18, 2018",0.000111,0.000363,0.000109,0.000228,"3,045",-
turbocoin,"Jan 17, 2018",0.000228,0.000343,0.000099,0.000111,"9,169",-
turbocoin,"Jan 16, 2018",0.000410,0.000410,0.000203,0.000230,"5,594",-
turbocoin,"Jan 15, 2018",0.000137,0.000432,0.000137,0.000409,"7,309",-
turbocoin,"Jan 14, 2018",0.000287,0.000290,0.000135,0.000138,"4,765",-
turbocoin,"Jan 13, 2018",0.000278,0.000438,0.000278,0.000287,"13,720",-
turbocoin,"Jan 12, 2018",0.000270,0.000427,0.000135,0.000279,"21,772",-
turbocoin,"Jan 11, 2018",0.000300,0.000444,0.000131,0.000268,"16,156",-
turbocoin,"Jan 10, 2018",0.000438,0.000571,0.000274,0.000300,"22,717",-
turbocoin,"Jan 09, 2018",0.000602,0.000755,0.000288,0.000438,"66,648",-
turbocoin,"Jan 08, 2018",0.000326,0.000607,0.000155,0.000604,"92,832",-
turbocoin,"Jan 07, 2018",0.000172,0.000343,0.000161,0.000326,"40,343",-
turbocoin,"Jan 06, 2018",0.000340,0.000341,0.000164,0.000172,"31,927",-
turbocoin,"Jan 05, 2018",0.000152,0.000342,0.000149,0.000339,"24,635",-
turbocoin,"Jan 04, 2018",0.000152,0.000155,0.000144,0.000152,"6,000",-
turbocoin,"Jan 03, 2018",0.000148,0.000155,0.000147,0.000151,"2,197",-
turbocoin,"Jan 02, 2018",0.000135,0.000152,0.000130,0.000149,982,-
turbocoin,"Jan 01, 2018",0.000140,0.000140,0.000129,0.000135,"1,130",-
