Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ucom,"Jul 02, 2018",0.476058,0.502898,0.471114,0.500467,489,"614,222"
ucom,"Jul 01, 2018",0.479779,0.522066,0.471117,0.476004,653,"619,023"
ucom,"Jun 30, 2018",0.522462,0.531284,0.474148,0.479795,610,"674,094"
ucom,"Jun 29, 2018",0.451720,0.520472,0.443149,0.516207,679,"582,821"
ucom,"Jun 28, 2018",0.465801,0.548664,0.448884,0.451423,"1,072","600,989"
ucom,"Jun 27, 2018",0.525484,0.528489,0.458036,0.465624,735,"677,993"
ucom,"Jun 26, 2018",0.625347,0.655054,0.525215,0.525708,"1,189","806,839"
ucom,"Jun 25, 2018",0.679068,0.710032,0.504276,0.625336,"3,286","876,151"
ucom,"Jun 24, 2018",0.679317,0.716363,0.641429,0.680333,521,"876,472"
ucom,"Jun 23, 2018",0.614454,0.768875,0.612845,0.743000,799,"792,785"
ucom,"Jun 22, 2018",0.752327,0.772496,0.603585,0.614374,"1,881","970,672"
ucom,"Jun 21, 2018",0.766276,0.840135,0.743564,0.753067,"1,819","988,668"
ucom,"Jun 20, 2018",0.769379,0.828329,0.744005,0.766118,660,"992,672"
ucom,"Jun 19, 2018",0.841633,0.843807,0.672153,0.768912,"2,404","1,085,900"
ucom,"Jun 18, 2018",0.907736,0.940897,0.810080,0.842082,904,"1,171,180"
ucom,"Jun 17, 2018",0.991082,1.11,0.907570,0.910523,805,"1,278,720"
ucom,"Jun 16, 2018",0.980241,1.03,0.971561,0.988476,763,"1,264,730"
ucom,"Jun 15, 2018",1.17,1.17,0.909550,0.983535,"3,050","1,508,860"
ucom,"Jun 14, 2018",1.08,1.18,1.08,1.17,"1,802","1,398,350"
ucom,"Jun 13, 2018",1.07,1.19,1.07,1.17,"2,165","1,383,220"
ucom,"Jun 12, 2018",1.01,1.32,0.981482,1.07,"7,811","1,301,960"
ucom,"Jun 11, 2018",0.956037,1.02,0.940110,1.01,"1,885","1,233,500"
ucom,"Jun 10, 2018",1.04,1.11,0.875515,0.954744,"7,446","1,345,440"
ucom,"Jun 09, 2018",0.917048,1.15,0.916780,1.04,"1,582","1,183,200"
ucom,"Jun 08, 2018",1.10,1.16,0.992349,0.992349,"1,578","1,419,620"
