Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ugain,"Jul 02, 2018",0.001315,0.001316,0.001181,0.001189,45,-
ugain,"Jul 01, 2018",0.001333,0.001342,0.001302,0.001315,19,-
ugain,"Jun 30, 2018",0.002171,0.002262,0.001335,0.001337,1,-
ugain,"Jun 29, 2018",0.001232,0.002205,0.000826,0.002168,"1,015",-
ugain,"Jun 28, 2018",0.001288,0.001292,0.001225,0.001232,1,-
ugain,"Jun 27, 2018",0.001551,0.001560,0.001263,0.001288,2,-
ugain,"Jun 26, 2018",0.002230,0.002235,0.001430,0.001552,17,-
ugain,"Jun 25, 2018",0.001595,0.002290,0.001592,0.002230,14,-
ugain,"Jun 23, 2018",0.002239,0.002280,0.002235,0.002273,3,-
ugain,"Jun 22, 2018",0.002280,0.002309,0.002200,0.002239,3,-
ugain,"Jun 21, 2018",0.002431,0.002441,0.002412,0.002419,1,-
ugain,"Jun 20, 2018",0.001486,0.002444,0.001449,0.002430,1,-
ugain,"Jun 19, 2018",0.001548,0.001552,0.001475,0.001485,2,-
ugain,"Jun 18, 2018",0.001425,0.001560,0.001413,0.001549,2,-
ugain,"Jun 17, 2018",0.001432,0.001447,0.001425,0.001430,4,-
ugain,"Jun 16, 2018",0.001413,0.001425,0.001410,0.001420,4,-
ugain,"Jun 15, 2018",0.001528,0.001530,0.001410,0.001418,10,-
ugain,"Jun 14, 2018",0.001390,0.001565,0.001387,0.001531,19,-
ugain,"Jun 13, 2018",0.001448,0.001457,0.001365,0.001391,4,-
ugain,"Jun 12, 2018",0.001507,0.001514,0.001431,0.001445,13,-
ugain,"Jun 10, 2018",0.002621,0.002621,0.001467,0.001480,2,-
ugain,"Jun 09, 2018",0.001678,0.002893,0.001672,0.002617,16,-
ugain,"Jun 08, 2018",0.001668,0.001686,0.001666,0.001679,1,-
ugain,"Jun 07, 2018",0.001914,0.001937,0.001914,0.001923,2,-
ugain,"Jun 06, 2018",0.002742,0.002758,0.001875,0.001912,7,-
ugain,"Jun 05, 2018",0.001651,0.001652,0.001648,0.001649,3,-
