Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
unikoin-gold,"Jul 02, 2018",0.080934,0.087290,0.076605,0.085942,"157,013","11,433,700"
unikoin-gold,"Jul 01, 2018",0.075401,0.095265,0.070075,0.080923,"830,926","10,652,100"
unikoin-gold,"Jun 30, 2018",0.072264,0.081883,0.072264,0.075381,"112,909","10,209,000"
unikoin-gold,"Jun 29, 2018",0.065999,0.075199,0.063385,0.072394,"114,287","9,323,810"
unikoin-gold,"Jun 28, 2018",0.066111,0.074098,0.064157,0.065960,"70,913","9,339,700"
unikoin-gold,"Jun 27, 2018",0.068500,0.068500,0.064282,0.066070,"21,106","9,677,180"
unikoin-gold,"Jun 26, 2018",0.073583,0.073723,0.067575,0.068558,"54,880","10,395,300"
unikoin-gold,"Jun 25, 2018",0.069481,0.075380,0.069219,0.073218,"148,615","9,815,800"
unikoin-gold,"Jun 24, 2018",0.076098,0.076202,0.063676,0.069758,"246,179","10,750,600"
unikoin-gold,"Jun 23, 2018",0.074289,0.078211,0.073065,0.075790,"602,790","10,495,000"
unikoin-gold,"Jun 22, 2018",0.082430,0.086028,0.072595,0.074052,"911,606","11,645,000"
unikoin-gold,"Jun 21, 2018",0.082518,0.083599,0.080708,0.082422,"581,354","11,657,600"
unikoin-gold,"Jun 20, 2018",0.088240,0.088501,0.079226,0.082472,"449,282","12,465,900"
unikoin-gold,"Jun 19, 2018",0.089831,0.090064,0.086314,0.088402,"608,580","12,690,600"
unikoin-gold,"Jun 18, 2018",0.084487,0.090846,0.084035,0.089832,"682,214","11,935,700"
unikoin-gold,"Jun 17, 2018",0.084470,0.087471,0.084267,0.084642,"434,490","11,933,200"
unikoin-gold,"Jun 16, 2018",0.079760,0.087620,0.079116,0.084262,"188,894","11,267,900"
unikoin-gold,"Jun 15, 2018",0.087905,0.088584,0.079892,0.079892,"262,204","12,418,500"
unikoin-gold,"Jun 14, 2018",0.086603,0.092475,0.078452,0.087980,"1,055,830","12,234,600"
unikoin-gold,"Jun 13, 2018",0.096693,0.096693,0.073478,0.086758,"1,249,000","13,660,000"
unikoin-gold,"Jun 12, 2018",0.105862,0.106148,0.095265,0.096311,"847,278","14,955,400"
unikoin-gold,"Jun 11, 2018",0.112456,0.114704,0.102607,0.105796,"996,971","15,886,900"
unikoin-gold,"Jun 10, 2018",0.133700,0.135780,0.110178,0.112181,"809,015","18,888,100"
unikoin-gold,"Jun 09, 2018",0.139905,0.142618,0.132955,0.133870,"739,528","19,764,700"
unikoin-gold,"Jun 08, 2018",0.150015,0.151272,0.137309,0.139842,"552,966","21,193,000"
unikoin-gold,"Jun 07, 2018",0.147604,0.150303,0.145209,0.149841,"506,816","20,852,300"
unikoin-gold,"Jun 06, 2018",0.149929,0.151913,0.145590,0.147707,"942,648","21,180,800"
unikoin-gold,"Jun 05, 2018",0.147667,0.150602,0.142431,0.150180,"1,132,840","20,861,300"
unikoin-gold,"Jun 04, 2018",0.157968,0.158962,0.146777,0.147395,"1,103,360","22,316,600"
unikoin-gold,"Jun 03, 2018",0.150687,0.164165,0.150387,0.157907,"2,035,500","21,288,000"
unikoin-gold,"Jun 02, 2018",0.149031,0.152677,0.146428,0.150832,"742,995","21,054,000"
unikoin-gold,"Jun 01, 2018",0.147035,0.155586,0.143670,0.149086,"801,241","20,772,000"
unikoin-gold,"May 31, 2018",0.131463,0.166930,0.128405,0.146804,"1,679,170","18,572,000"
unikoin-gold,"May 30, 2018",0.135052,0.147294,0.123681,0.131925,"1,105,660","19,079,100"
unikoin-gold,"May 29, 2018",0.128968,0.134854,0.119609,0.134638,"1,017,690","18,219,600"
unikoin-gold,"May 28, 2018",0.149060,0.150466,0.128818,0.129092,"866,434","21,058,100"
unikoin-gold,"May 27, 2018",0.154334,0.154334,0.147929,0.148878,"1,008,250","21,803,200"
unikoin-gold,"May 26, 2018",0.155733,0.160033,0.153490,0.154151,"919,426","22,000,800"
unikoin-gold,"May 25, 2018",0.159381,0.161234,0.153484,0.156120,"829,410","22,516,100"
unikoin-gold,"May 24, 2018",0.158892,0.162699,0.150155,0.159492,"1,219,000","22,447,100"
unikoin-gold,"May 23, 2018",0.180934,0.181801,0.157354,0.159228,"982,135","25,561,000"
unikoin-gold,"May 22, 2018",0.199591,0.199902,0.180537,0.181151,"758,020","28,196,600"
unikoin-gold,"May 21, 2018",0.194523,0.208810,0.191713,0.199565,"1,493,480","27,480,700"
unikoin-gold,"May 20, 2018",0.191289,0.195627,0.189458,0.194119,"953,710","27,023,900"
unikoin-gold,"May 19, 2018",0.193414,0.198763,0.189882,0.191869,"892,304","27,324,000"
unikoin-gold,"May 18, 2018",0.186392,0.195138,0.178272,0.191847,"969,405","26,332,000"
unikoin-gold,"May 17, 2018",0.197298,0.207537,0.185126,0.186307,"710,272","27,872,700"
unikoin-gold,"May 16, 2018",0.208750,0.209194,0.194308,0.197114,"1,096,620","29,490,500"
unikoin-gold,"May 15, 2018",0.209127,0.226609,0.205989,0.208828,"1,568,370","29,543,900"
unikoin-gold,"May 14, 2018",0.195379,0.224439,0.181168,0.209964,"2,126,370","27,601,600"
unikoin-gold,"May 13, 2018",0.182130,0.203779,0.178138,0.195723,"1,156,960","25,730,000"
unikoin-gold,"May 12, 2018",0.179970,0.184534,0.171248,0.182120,"1,374,750","25,424,800"
unikoin-gold,"May 11, 2018",0.207614,0.209221,0.177544,0.180484,"1,155,150","29,330,100"
unikoin-gold,"May 10, 2018",0.232266,0.239585,0.207379,0.207379,"770,138","32,812,800"
unikoin-gold,"May 09, 2018",0.230720,0.234059,0.220411,0.232095,"944,173","32,594,400"
unikoin-gold,"May 08, 2018",0.235141,0.245743,0.223153,0.231052,"1,459,000","33,219,000"
unikoin-gold,"May 07, 2018",0.248599,0.250057,0.229079,0.234311,"1,341,150","35,058,000"
