Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
universalroyalcoin,"Jul 02, 2018",0.000255,0.000281,0.000252,0.000279,63,-
universalroyalcoin,"Jul 01, 2018",0.000263,0.000263,0.000252,0.000255,2,-
universalroyalcoin,"Jun 30, 2018",0.000260,0.000266,0.000235,0.000263,46,-
universalroyalcoin,"Jun 29, 2018",0.000235,0.000260,0.000230,0.000260,2,-
universalroyalcoin,"Jun 28, 2018",0.000230,0.000252,0.000228,0.000235,11,-
universalroyalcoin,"Jun 27, 2018",0.000281,0.000282,0.000229,0.000230,23,-
universalroyalcoin,"Jun 26, 2018",0.000254,0.000304,0.000250,0.000281,21,-
universalroyalcoin,"Jun 25, 2018",0.000227,0.000296,0.000227,0.000254,179,-
universalroyalcoin,"Jun 24, 2018",0.000269,0.000277,0.000219,0.000227,112,-
universalroyalcoin,"Jun 23, 2018",0.000254,0.000294,0.000254,0.000269,4,-
universalroyalcoin,"Jun 22, 2018",0.000270,0.000276,0.000240,0.000254,33,-
universalroyalcoin,"Jun 21, 2018",0.000270,0.000271,0.000268,0.000270,10,-
universalroyalcoin,"Jun 20, 2018",0.000306,0.000308,0.000270,0.000270,78,-
universalroyalcoin,"Jun 19, 2018",0.000269,0.000306,0.000263,0.000306,24,-
universalroyalcoin,"Jun 18, 2018",0.000349,0.000349,0.000260,0.000269,55,-
universalroyalcoin,"Jun 17, 2018",0.000289,0.000350,0.000261,0.000349,83,-
universalroyalcoin,"Jun 16, 2018",0.000307,0.000345,0.000289,0.000289,33,-
universalroyalcoin,"Jun 15, 2018",0.000290,0.000308,0.000261,0.000308,16,-
universalroyalcoin,"Jun 14, 2018",0.000317,0.000325,0.000270,0.000290,4,-
universalroyalcoin,"Jun 13, 2018",0.000275,0.000325,0.000258,0.000317,8,-
universalroyalcoin,"Jun 12, 2018",0.000357,0.000357,0.000273,0.000274,181,-
universalroyalcoin,"Jun 11, 2018",0.000354,0.000359,0.000328,0.000330,41,-
universalroyalcoin,"Jun 10, 2018",0.000302,0.000379,0.000302,0.000354,75,-
universalroyalcoin,"Jun 09, 2018",0.000381,0.000458,0.000293,0.000302,135,-
universalroyalcoin,"Jun 08, 2018",0.000404,0.000404,0.000379,0.000381,22,-
universalroyalcoin,"Jun 07, 2018",0.000429,0.000429,0.000403,0.000403,5,-
universalroyalcoin,"Jun 06, 2018",0.000380,0.000429,0.000373,0.000429,140,-
universalroyalcoin,"Jun 05, 2018",0.000447,0.000447,0.000355,0.000380,193,-
universalroyalcoin,"Jun 04, 2018",0.000320,0.000461,0.000320,0.000447,264,-
universalroyalcoin,"Jun 03, 2018",0.000322,0.000398,0.000320,0.000320,493,-
universalroyalcoin,"Jun 02, 2018",0.000322,0.000389,0.000305,0.000322,45,-
universalroyalcoin,"Jun 01, 2018",0.000351,0.000363,0.000318,0.000322,29,-
universalroyalcoin,"May 31, 2018",0.000328,0.000400,0.000313,0.000351,16,-
universalroyalcoin,"May 30, 2018",0.000448,0.000453,0.000307,0.000328,11,-
universalroyalcoin,"May 29, 2018",0.000328,0.000450,0.000328,0.000447,503,-
universalroyalcoin,"May 28, 2018",0.000355,0.000367,0.000309,0.000328,4,-
universalroyalcoin,"May 27, 2018",0.000331,0.000359,0.000237,0.000355,738,-
universalroyalcoin,"May 26, 2018",0.000364,0.000367,0.000322,0.000331,291,-
universalroyalcoin,"May 25, 2018",0.000444,0.000444,0.000361,0.000364,237,-
universalroyalcoin,"May 24, 2018",0.000457,0.000460,0.000402,0.000444,42,-
universalroyalcoin,"May 23, 2018",0.000489,0.000490,0.000389,0.000458,44,-
universalroyalcoin,"May 22, 2018",0.000517,0.000517,0.000487,0.000490,16,-
universalroyalcoin,"May 21, 2018",0.000444,0.000519,0.000437,0.000517,13,-
universalroyalcoin,"May 20, 2018",0.000495,0.000502,0.000420,0.000444,97,-
universalroyalcoin,"May 19, 2018",0.000601,0.000601,0.000494,0.000495,369,-
universalroyalcoin,"May 18, 2018",0.000501,0.000601,0.000494,0.000601,494,-
universalroyalcoin,"May 17, 2018",0.000437,0.000578,0.000432,0.000500,"1,259",-
universalroyalcoin,"May 16, 2018",0.000432,0.000488,0.000423,0.000437,76,-
universalroyalcoin,"May 15, 2018",0.000441,0.000525,0.000376,0.000432,134,-
universalroyalcoin,"May 14, 2018",0.000351,0.000459,0.000337,0.000442,151,-
universalroyalcoin,"May 13, 2018",0.000532,0.000533,0.000351,0.000351,882,-
universalroyalcoin,"May 12, 2018",0.000499,0.000533,0.000422,0.000532,46,-
universalroyalcoin,"May 11, 2018",0.000521,0.000521,0.000434,0.000500,521,-
universalroyalcoin,"May 10, 2018",0.000460,0.000573,0.000382,0.000520,"2,401",-
universalroyalcoin,"May 09, 2018",0.000406,0.000503,0.000400,0.000460,184,-
universalroyalcoin,"May 08, 2018",0.000469,0.000548,0.000385,0.000406,"1,187",-
universalroyalcoin,"May 07, 2018",0.000512,0.000567,0.000467,0.000468,494,-
universalroyalcoin,"May 06, 2018",0.000783,0.000790,0.000439,0.000512,"1,669",-
universalroyalcoin,"May 05, 2018",0.000673,0.000792,0.000654,0.000783,"1,781",-
universalroyalcoin,"May 04, 2018",0.000559,0.000675,0.000504,0.000673,447,-
universalroyalcoin,"May 03, 2018",0.000550,0.000564,0.000466,0.000559,73,-
universalroyalcoin,"May 02, 2018",0.000520,0.000635,0.000514,0.000550,668,-
universalroyalcoin,"May 01, 2018",0.000527,0.000552,0.000455,0.000521,236,-
universalroyalcoin,"Apr 30, 2018",0.000413,0.000530,0.000412,0.000527,444,-
universalroyalcoin,"Apr 29, 2018",0.000400,0.000470,0.000389,0.000413,54,-
universalroyalcoin,"Apr 28, 2018",0.000452,0.000555,0.000387,0.000400,79,-
universalroyalcoin,"Apr 27, 2018",0.000412,0.000554,0.000410,0.000453,309,-
universalroyalcoin,"Apr 26, 2018",0.000429,0.000462,0.000379,0.000412,37,-
universalroyalcoin,"Apr 25, 2018",0.000481,0.000492,0.000428,0.000428,130,-
universalroyalcoin,"Apr 24, 2018",0.000474,0.000492,0.000474,0.000482,81,-
universalroyalcoin,"Apr 23, 2018",0.000524,0.000529,0.000362,0.000474,170,-
universalroyalcoin,"Apr 22, 2018",0.000452,0.000535,0.000439,0.000525,267,-
universalroyalcoin,"Apr 21, 2018",0.000444,0.000452,0.000436,0.000452,59,-
universalroyalcoin,"Apr 20, 2018",0.000415,0.000506,0.000357,0.000444,453,-
universalroyalcoin,"Apr 19, 2018",0.000483,0.000487,0.000339,0.000415,40,-
universalroyalcoin,"Apr 18, 2018",0.000398,0.000486,0.000397,0.000483,276,-
universalroyalcoin,"Apr 17, 2018",0.000410,0.000418,0.000326,0.000398,368,-
universalroyalcoin,"Apr 16, 2018",0.000424,0.000435,0.000408,0.000410,30,-
universalroyalcoin,"Apr 15, 2018",0.000403,0.000496,0.000403,0.000424,100,-
universalroyalcoin,"Apr 14, 2018",0.000424,0.000431,0.000396,0.000402,65,-
universalroyalcoin,"Apr 13, 2018",0.000407,0.000429,0.000399,0.000424,434,-
universalroyalcoin,"Apr 12, 2018",0.000291,0.000408,0.000291,0.000407,184,-
universalroyalcoin,"Apr 11, 2018",0.000336,0.000352,0.000291,0.000292,11,-
universalroyalcoin,"Apr 10, 2018",0.000340,0.000341,0.000276,0.000336,8,-
universalroyalcoin,"Apr 09, 2018",0.000296,0.000358,0.000279,0.000339,129,-
universalroyalcoin,"Apr 08, 2018",0.000375,0.000376,0.000251,0.000296,350,-
universalroyalcoin,"Apr 07, 2018",0.000359,0.000395,0.000358,0.000375,30,-
universalroyalcoin,"Apr 06, 2018",0.000347,0.000386,0.000341,0.000358,28,-
universalroyalcoin,"Apr 05, 2018",0.000402,0.000411,0.000343,0.000349,60,-
universalroyalcoin,"Apr 04, 2018",0.000391,0.000404,0.000388,0.000402,53,-
universalroyalcoin,"Apr 03, 2018",0.000350,0.000392,0.000349,0.000391,74,-
universalroyalcoin,"Apr 02, 2018",0.000398,0.000398,0.000307,0.000350,46,-
universalroyalcoin,"Apr 01, 2018",0.000296,0.000398,0.000257,0.000398,37,-
universalroyalcoin,"Mar 31, 2018",0.000331,0.000421,0.000274,0.000296,49,-
universalroyalcoin,"Mar 30, 2018",0.000422,0.000422,0.000316,0.000331,482,-
universalroyalcoin,"Mar 29, 2018",0.000396,0.000451,0.000374,0.000423,11,-
universalroyalcoin,"Mar 28, 2018",0.000347,0.000398,0.000320,0.000396,7,-
universalroyalcoin,"Mar 27, 2018",0.000446,0.000446,0.000347,0.000347,199,-
universalroyalcoin,"Mar 26, 2018",0.000475,0.000503,0.000420,0.000446,99,-
universalroyalcoin,"Mar 25, 2018",0.000445,0.000522,0.000433,0.000475,76,-
universalroyalcoin,"Mar 24, 2018",0.000455,0.000536,0.000447,0.000447,116,-
universalroyalcoin,"Mar 23, 2018",0.000488,0.000520,0.000438,0.000450,7,-
universalroyalcoin,"Mar 22, 2018",0.000527,0.000543,0.000445,0.000488,35,-
universalroyalcoin,"Mar 21, 2018",0.000446,0.000536,0.000442,0.000528,134,-
universalroyalcoin,"Mar 20, 2018",0.000430,0.000512,0.000422,0.000445,27,-
universalroyalcoin,"Mar 19, 2018",0.000472,0.000568,0.000403,0.000426,217,-
universalroyalcoin,"Mar 18, 2018",0.000405,0.000555,0.000372,0.000474,193,-
universalroyalcoin,"Mar 17, 2018",0.000542,0.000542,0.000405,0.000405,33,-
universalroyalcoin,"Mar 16, 2018",0.000579,0.000581,0.000385,0.000542,162,-
universalroyalcoin,"Mar 15, 2018",0.000543,0.000584,0.000525,0.000579,19,-
universalroyalcoin,"Mar 14, 2018",0.000620,0.000628,0.000492,0.000543,271,-
universalroyalcoin,"Mar 13, 2018",0.000527,0.000622,0.000526,0.000620,73,-
universalroyalcoin,"Mar 12, 2018",0.000634,0.000646,0.000522,0.000528,170,-
universalroyalcoin,"Mar 11, 2018",0.000523,0.000644,0.000514,0.000635,71,-
universalroyalcoin,"Mar 10, 2018",0.000577,0.000600,0.000480,0.000523,163,-
universalroyalcoin,"Mar 09, 2018",0.000577,0.000600,0.000520,0.000577,312,-
universalroyalcoin,"Mar 08, 2018",0.000594,0.000642,0.000573,0.000579,54,-
universalroyalcoin,"Mar 07, 2018",0.000572,0.000666,0.000563,0.000595,7,-
universalroyalcoin,"Mar 06, 2018",0.000581,0.000626,0.000549,0.000572,161,-
universalroyalcoin,"Mar 05, 2018",0.000588,0.000679,0.000579,0.000582,426,-
universalroyalcoin,"Mar 04, 2018",0.000631,0.000665,0.000572,0.000588,806,-
universalroyalcoin,"Mar 03, 2018",0.000628,0.000789,0.000583,0.000631,725,-
universalroyalcoin,"Mar 02, 2018",0.000640,0.000677,0.000582,0.000629,248,-
universalroyalcoin,"Mar 01, 2018",0.000633,0.000680,0.000581,0.000640,764,-
universalroyalcoin,"Feb 28, 2018",0.000667,0.000743,0.000628,0.000632,852,-
universalroyalcoin,"Feb 27, 2018",0.000643,0.000729,0.000632,0.000667,338,-
universalroyalcoin,"Feb 26, 2018",0.000668,0.000705,0.000578,0.000642,117,-
universalroyalcoin,"Feb 25, 2018",0.000602,0.000685,0.000574,0.000667,842,-
universalroyalcoin,"Feb 24, 2018",0.000705,0.000729,0.000592,0.000603,640,-
universalroyalcoin,"Feb 23, 2018",0.000690,0.000742,0.000594,0.000705,369,-
universalroyalcoin,"Feb 22, 2018",0.000675,0.000787,0.000657,0.000691,853,-
universalroyalcoin,"Feb 21, 2018",0.000711,0.000824,0.000672,0.000675,"1,379",-
universalroyalcoin,"Feb 20, 2018",0.000713,0.000784,0.000693,0.000712,446,-
universalroyalcoin,"Feb 19, 2018",0.000812,0.000815,0.000700,0.000713,"2,002",-
universalroyalcoin,"Feb 18, 2018",0.000766,0.000820,0.000739,0.000812,492,-
universalroyalcoin,"Feb 17, 2018",0.000826,0.000847,0.000751,0.000765,"1,952",-
universalroyalcoin,"Feb 16, 2018",0.000905,0.000930,0.000737,0.000826,"2,608",-
universalroyalcoin,"Feb 15, 2018",0.000834,0.000960,0.000743,0.000908,"3,686",-
universalroyalcoin,"Feb 14, 2018",0.000757,0.000868,0.000695,0.000834,"4,538",-
universalroyalcoin,"Feb 13, 2018",0.000630,0.001366,0.000546,0.000698,"6,344",-
universalroyalcoin,"Feb 12, 2018",0.000566,0.000703,0.000452,0.000629,"7,900",-
universalroyalcoin,"Feb 11, 2018",0.000677,0.000907,0.000332,0.000499,"22,811",-
universalroyalcoin,"Feb 10, 2018",0.000305,0.002179,0.000305,0.000759,"20,078",-
universalroyalcoin,"Feb 09, 2018",0.001556,0.001795,0.000281,0.000281,"1,258",-
universalroyalcoin,"Feb 08, 2018",0.001680,0.001775,0.001339,0.001555,792,-
universalroyalcoin,"Feb 07, 2018",0.001342,0.001815,0.001242,0.001684,117,-
universalroyalcoin,"Feb 06, 2018",0.001491,0.001665,0.001302,0.001347,308,-
universalroyalcoin,"Feb 05, 2018",0.001587,0.001887,0.001389,0.001490,224,-
universalroyalcoin,"Feb 04, 2018",0.001964,0.001964,0.001547,0.001599,38,-
universalroyalcoin,"Feb 03, 2018",0.001952,0.002104,0.001732,0.001963,48,-
universalroyalcoin,"Feb 02, 2018",0.001840,0.002437,0.001588,0.001947,"1,677",-
universalroyalcoin,"Feb 01, 2018",0.002390,0.002475,0.001774,0.001843,"2,357",-
universalroyalcoin,"Jan 31, 2018",0.002224,0.002385,0.001987,0.002385,569,-
universalroyalcoin,"Jan 30, 2018",0.002444,0.002495,0.002109,0.002221,538,-
universalroyalcoin,"Jan 29, 2018",0.002461,0.002864,0.002180,0.002444,353,-
universalroyalcoin,"Jan 28, 2018",0.002814,0.002912,0.002438,0.002463,203,-
universalroyalcoin,"Jan 27, 2018",0.002548,0.002806,0.002419,0.002803,"1,984",-
universalroyalcoin,"Jan 26, 2018",0.003567,0.003594,0.002278,0.002549,"1,292",-
universalroyalcoin,"Jan 25, 2018",0.003332,0.004160,0.002669,0.003571,"2,430",-
universalroyalcoin,"Jan 24, 2018",0.002785,0.003365,0.002656,0.003304,"2,145",-
universalroyalcoin,"Jan 23, 2018",0.002572,0.002967,0.002394,0.002786,"1,607",-
universalroyalcoin,"Jan 22, 2018",0.002460,0.002963,0.002365,0.002577,638,-
universalroyalcoin,"Jan 21, 2018",0.002879,0.003091,0.002397,0.002433,"1,591",-
universalroyalcoin,"Jan 20, 2018",0.002666,0.003158,0.002653,0.002875,578,-
universalroyalcoin,"Jan 19, 2018",0.002576,0.002905,0.002344,0.002647,689,-
universalroyalcoin,"Jan 18, 2018",0.002789,0.002921,0.002336,0.002588,"1,033",-
universalroyalcoin,"Jan 17, 2018",0.002389,0.002811,0.001903,0.002784,"2,178",-
universalroyalcoin,"Jan 16, 2018",0.003418,0.003593,0.002160,0.002400,"5,426",-
universalroyalcoin,"Jan 15, 2018",0.003588,0.003881,0.003165,0.003415,"5,384",-
universalroyalcoin,"Jan 14, 2018",0.004216,0.004216,0.003508,0.003604,"2,292",-
universalroyalcoin,"Jan 13, 2018",0.004708,0.004840,0.004004,0.004214,"8,477",-
universalroyalcoin,"Jan 12, 2018",0.004982,0.004982,0.003585,0.004379,"15,332",-
universalroyalcoin,"Jan 11, 2018",0.006919,0.006919,0.003274,0.004946,"15,823",-
universalroyalcoin,"Jan 10, 2018",0.003818,0.011811,0.003763,0.007589,"37,708",-
universalroyalcoin,"Jan 09, 2018",0.002701,0.003958,0.002108,0.003525,"6,344",-
universalroyalcoin,"Jan 08, 2018",0.001791,0.002710,0.001511,0.002707,"7,318",-
universalroyalcoin,"Jan 07, 2018",0.001608,0.001806,0.001209,0.001793,"1,743",-
universalroyalcoin,"Jan 06, 2018",0.001518,0.001658,0.001217,0.001382,589,-
universalroyalcoin,"Jan 05, 2018",0.001305,0.001526,0.001079,0.001517,"1,010",-
universalroyalcoin,"Jan 04, 2018",0.001199,0.001376,0.001032,0.001305,605,-
universalroyalcoin,"Jan 03, 2018",0.001024,0.001344,0.001023,0.001197,641,-
universalroyalcoin,"Jan 02, 2018",0.000964,0.001207,0.000797,0.001027,588,-
universalroyalcoin,"Jan 01, 2018",0.000991,0.001092,0.000921,0.000964,83,-
