Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
unobtanium,"Jul 02, 2018",161.80,170.52,160.43,167.63,"7,362","32,176,400"
unobtanium,"Jul 01, 2018",165.84,166.23,157.96,161.79,"10,318","32,979,000"
unobtanium,"Jun 30, 2018",136.39,166.37,136.39,165.41,"92,307","27,123,200"
unobtanium,"Jun 29, 2018",119.87,140.72,118.11,136.21,"28,553","23,836,800"
unobtanium,"Jun 28, 2018",125.41,126.22,119.47,119.84,"4,850","24,937,000"
unobtanium,"Jun 27, 2018",124.37,125.47,122.53,125.37,"2,659","24,731,100"
unobtanium,"Jun 26, 2018",129.41,129.67,125.00,125.09,"14,346","25,731,800"
unobtanium,"Jun 25, 2018",134.04,137.68,125.83,129.41,"15,619","26,652,500"
unobtanium,"Jun 24, 2018",128.43,135.58,118.65,134.19,"7,137","25,536,700"
unobtanium,"Jun 23, 2018",132.01,134.19,120.01,128.45,"11,238","26,247,000"
unobtanium,"Jun 22, 2018",141.91,142.32,130.20,131.98,"11,445","28,215,800"
unobtanium,"Jun 21, 2018",144.21,144.89,141.51,142.01,"2,274","28,670,500"
unobtanium,"Jun 20, 2018",139.48,144.75,137.14,144.21,"5,045","27,730,900"
unobtanium,"Jun 19, 2018",149.40,149.40,132.35,141.56,"14,093","29,701,600"
unobtanium,"Jun 18, 2018",141.36,149.47,140.62,149.47,"5,557","28,103,300"
unobtanium,"Jun 17, 2018",144.77,145.35,141.37,141.82,"3,327","28,779,600"
unobtanium,"Jun 16, 2018",132.69,167.29,132.44,144.47,"121,076","26,377,400"
unobtanium,"Jun 15, 2018",140.39,146.95,129.38,133.09,"1,731","27,907,100"
unobtanium,"Jun 14, 2018",133.64,153.50,133.40,140.58,"29,702","26,564,700"
unobtanium,"Jun 13, 2018",127.97,159.96,126.13,133.69,"48,173","25,437,400"
unobtanium,"Jun 12, 2018",132.15,134.32,127.23,127.74,"8,376","26,268,400"
unobtanium,"Jun 11, 2018",128.24,132.60,126.27,132.07,"11,589","25,491,000"
unobtanium,"Jun 10, 2018",143.33,143.33,127.41,128.13,"14,737","28,489,500"
unobtanium,"Jun 09, 2018",146.16,147.81,143.19,143.19,"13,489","29,051,800"
unobtanium,"Jun 08, 2018",146.91,147.62,144.29,146.20,"8,564","29,198,600"
unobtanium,"Jun 07, 2018",145.62,147.28,145.34,146.81,"7,711","28,941,800"
unobtanium,"Jun 06, 2018",145.57,148.33,142.98,145.49,"7,030","28,930,700"
unobtanium,"Jun 05, 2018",144.31,146.32,142.35,145.60,"4,370","28,681,400"
unobtanium,"Jun 04, 2018",141.17,162.36,141.17,144.25,"26,651","28,056,300"
unobtanium,"Jun 03, 2018",137.21,146.05,135.88,141.12,"23,681","27,268,600"
unobtanium,"Jun 02, 2018",136.06,138.49,134.35,137.18,"6,115","27,039,600"
unobtanium,"Jun 01, 2018",135.54,137.82,132.03,136.11,"6,774","26,935,300"
unobtanium,"May 31, 2018",135.42,137.47,133.58,135.46,"5,762","26,910,000"
unobtanium,"May 30, 2018",138.66,139.59,134.80,135.49,"5,233","27,554,000"
unobtanium,"May 29, 2018",122.97,156.45,122.88,138.58,"144,899","24,435,100"
unobtanium,"May 28, 2018",129.38,129.57,122.87,123.01,"12,101","25,708,900"
unobtanium,"May 27, 2018",127.90,130.41,126.89,129.36,"9,444","25,413,000"
unobtanium,"May 26, 2018",134.67,134.82,127.18,128.44,"18,556","26,757,300"
unobtanium,"May 25, 2018",128.49,164.04,126.11,134.83,"168,514","25,530,300"
unobtanium,"May 24, 2018",124.64,130.53,123.59,128.28,"18,679","24,763,600"
unobtanium,"May 23, 2018",127.19,132.63,121.37,124.87,"43,565","25,268,900"
unobtanium,"May 22, 2018",131.74,131.95,126.68,127.31,"14,992","26,173,700"
unobtanium,"May 21, 2018",126.15,145.92,125.25,131.76,"48,789","25,061,300"
unobtanium,"May 20, 2018",122.12,127.01,121.17,126.03,"5,966","24,260,600"
unobtanium,"May 19, 2018",124.07,126.60,118.73,122.04,"11,412","24,647,600"
unobtanium,"May 18, 2018",121.58,124.35,120.77,124.07,"9,192","24,153,500"
unobtanium,"May 17, 2018",123.31,131.05,120.92,121.50,"15,481","24,495,900"
unobtanium,"May 16, 2018",125.19,125.26,121.27,123.27,"3,280","24,869,400"
unobtanium,"May 15, 2018",129.40,131.19,124.46,125.24,"6,392","25,704,000"
unobtanium,"May 14, 2018",131.48,137.22,127.54,129.53,"11,318","26,115,800"
unobtanium,"May 13, 2018",131.86,136.06,118.85,131.50,"12,377","26,191,200"
unobtanium,"May 12, 2018",130.39,136.53,125.71,131.89,"18,129","25,898,500"
unobtanium,"May 11, 2018",132.78,135.66,129.60,130.71,"18,392","26,373,300"
unobtanium,"May 10, 2018",135.00,137.94,130.66,132.38,"10,837","26,813,000"
unobtanium,"May 09, 2018",133.53,135.99,131.88,134.99,545,"26,520,400"
unobtanium,"May 08, 2018",137.32,138.96,133.04,133.68,"5,115","27,272,400"
unobtanium,"May 07, 2018",138.87,141.29,135.03,135.64,"13,848","27,580,500"
unobtanium,"May 06, 2018",144.35,145.52,138.65,138.81,"5,825","28,667,500"
unobtanium,"May 05, 2018",144.84,146.95,142.64,144.28,"9,570","28,763,900"
unobtanium,"May 04, 2018",142.23,145.69,138.86,144.86,"8,632","28,244,600"
unobtanium,"May 03, 2018",136.90,144.11,136.04,142.33,"13,335","27,184,800"
unobtanium,"May 02, 2018",134.63,138.83,133.32,136.89,"2,470","26,734,900"
unobtanium,"May 01, 2018",137.58,138.56,132.91,134.81,"13,244","27,319,500"
unobtanium,"Apr 30, 2018",140.48,141.03,136.75,137.48,"6,411","27,894,900"
unobtanium,"Apr 29, 2018",140.54,143.30,137.83,140.52,"8,009","27,906,300"
unobtanium,"Apr 28, 2018",135.03,141.31,134.74,140.58,"4,604","26,811,300"
unobtanium,"Apr 27, 2018",145.58,145.58,135.42,135.42,"13,685","28,905,500"
unobtanium,"Apr 26, 2018",140.59,145.67,135.01,145.43,"7,303","27,914,200"
unobtanium,"Apr 25, 2018",150.92,151.11,137.66,139.58,"33,160","29,964,400"
unobtanium,"Apr 24, 2018",138.48,151.56,138.44,151.56,"38,085","27,494,400"
unobtanium,"Apr 23, 2018",138.64,141.28,137.92,138.39,"2,976","27,524,600"
unobtanium,"Apr 22, 2018",141.18,142.85,137.92,138.87,"10,323","28,028,400"
unobtanium,"Apr 21, 2018",139.16,142.04,135.85,140.57,"7,550","27,626,700"
unobtanium,"Apr 20, 2018",134.33,142.41,132.65,139.12,"14,583","26,666,700"
unobtanium,"Apr 19, 2018",131.78,136.25,130.44,134.28,"6,276","26,160,900"
unobtanium,"Apr 18, 2018",128.70,134.37,128.58,131.69,"4,722","25,548,400"
unobtanium,"Apr 17, 2018",131.77,134.18,128.57,128.60,"4,357","26,156,400"
unobtanium,"Apr 16, 2018",136.20,136.84,130.21,131.73,"4,672","27,036,000"
unobtanium,"Apr 15, 2018",129.73,136.56,129.73,136.26,"6,440","25,750,800"
unobtanium,"Apr 14, 2018",130.19,133.94,129.22,129.59,"3,224","25,842,300"
unobtanium,"Apr 13, 2018",131.47,136.53,129.10,130.19,"7,081","26,094,200"
unobtanium,"Apr 12, 2018",120.17,134.02,116.50,131.32,"21,566","23,850,500"
unobtanium,"Apr 11, 2018",118.58,122.31,117.38,121.03,"13,672","23,535,200"
unobtanium,"Apr 10, 2018",118.15,120.37,117.10,118.50,"6,132","23,449,100"
unobtanium,"Apr 09, 2018",127.43,129.65,115.98,118.10,"73,202","25,290,800"
unobtanium,"Apr 08, 2018",130.29,131.40,126.45,127.24,"13,896","25,857,800"
unobtanium,"Apr 07, 2018",125.78,132.13,125.66,130.19,"32,918","24,961,500"
unobtanium,"Apr 06, 2018",128.79,129.74,125.32,125.68,"22,263","25,559,800"
unobtanium,"Apr 05, 2018",130.43,132.50,126.97,129.27,"11,524","25,883,900"
unobtanium,"Apr 04, 2018",140.20,140.20,129.38,130.41,"7,483","27,821,400"
unobtanium,"Apr 03, 2018",130.10,141.27,130.00,140.30,"18,948","25,817,500"
unobtanium,"Apr 02, 2018",130.19,135.16,127.65,129.30,"4,219","25,834,200"
unobtanium,"Apr 01, 2018",140.02,141.43,127.52,129.72,"28,866","27,783,500"
unobtanium,"Mar 31, 2018",136.66,143.80,136.66,140.01,"17,153","27,115,700"
unobtanium,"Mar 30, 2018",140.81,144.82,132.50,136.65,"32,754","27,939,000"
unobtanium,"Mar 29, 2018",153.65,156.19,136.75,140.72,"36,247","30,486,700"
unobtanium,"Mar 28, 2018",147.06,154.14,146.47,153.49,"41,890","29,178,000"
unobtanium,"Mar 27, 2018",147.80,153.42,141.46,147.07,"34,081","29,324,900"
unobtanium,"Mar 26, 2018",155.60,158.49,141.52,147.96,"25,296","30,871,600"
unobtanium,"Mar 25, 2018",153.84,165.35,153.51,155.69,"27,200","30,520,700"
unobtanium,"Mar 24, 2018",146.92,185.16,144.92,159.97,"146,498","29,148,200"
unobtanium,"Mar 23, 2018",147.94,147.94,142.22,146.06,"7,965","29,349,900"
unobtanium,"Mar 22, 2018",153.51,155.70,144.24,147.94,"13,348","30,453,400"
unobtanium,"Mar 21, 2018",155.33,157.58,145.16,153.76,"22,582","30,813,400"
unobtanium,"Mar 20, 2018",156.32,156.32,147.22,155.11,"30,574","31,009,600"
unobtanium,"Mar 19, 2018",148.10,157.05,147.48,155.22,"17,893","29,378,300"
unobtanium,"Mar 18, 2018",146.89,150.17,136.86,148.40,"35,458","29,137,300"
unobtanium,"Mar 17, 2018",155.17,155.17,134.56,147.15,"50,234","30,779,700"
unobtanium,"Mar 16, 2018",161.10,170.55,155.38,155.38,"53,734","31,954,600"
unobtanium,"Mar 15, 2018",142.37,170.28,138.02,161.18,"168,167","28,238,200"
unobtanium,"Mar 14, 2018",157.07,160.53,140.92,142.43,"30,784","31,154,900"
unobtanium,"Mar 13, 2018",156.08,166.33,154.70,157.06,"11,049","30,955,900"
unobtanium,"Mar 12, 2018",158.59,163.95,155.75,156.62,"49,109","31,452,900"
unobtanium,"Mar 11, 2018",147.96,163.81,144.21,158.85,"56,188","29,344,200"
unobtanium,"Mar 10, 2018",164.88,166.91,148.14,148.37,"49,276","32,700,500"
unobtanium,"Mar 09, 2018",163.73,166.77,152.53,164.82,"37,414","32,471,000"
unobtanium,"Mar 08, 2018",166.30,176.42,153.72,164.49,"53,380","32,980,000"
unobtanium,"Mar 07, 2018",170.94,173.99,158.00,166.47,"39,603","33,898,400"
unobtanium,"Mar 06, 2018",172.20,175.69,165.97,171.08,"45,091","34,148,600"
unobtanium,"Mar 05, 2018",171.49,181.46,169.73,171.00,"40,689","34,007,400"
unobtanium,"Mar 04, 2018",163.25,171.96,161.87,171.56,"35,041","32,372,200"
unobtanium,"Mar 03, 2018",161.41,166.49,161.05,163.44,"12,548","32,005,600"
unobtanium,"Mar 02, 2018",169.35,172.57,156.17,161.50,"25,099","33,580,900"
unobtanium,"Mar 01, 2018",139.37,208.93,137.45,169.71,"248,979","27,634,400"
unobtanium,"Feb 28, 2018",145.94,147.71,137.67,139.22,"24,143","28,936,700"
unobtanium,"Feb 27, 2018",142.89,148.48,140.93,145.86,"19,964","28,331,800"
unobtanium,"Feb 26, 2018",140.03,144.60,137.66,142.63,"36,913","27,763,800"
unobtanium,"Feb 25, 2018",141.75,145.23,139.25,142.38,"16,673","28,103,400"
unobtanium,"Feb 24, 2018",145.27,148.47,139.49,141.98,"23,200","28,801,500"
unobtanium,"Feb 23, 2018",146.07,151.01,143.69,144.01,"47,043","28,959,500"
unobtanium,"Feb 22, 2018",152.55,155.78,144.82,145.05,"35,570","30,242,800"
unobtanium,"Feb 21, 2018",153.06,181.53,147.07,152.73,"90,429","30,342,500"
unobtanium,"Feb 20, 2018",159.09,162.56,151.81,153.22,"28,130","31,538,300"
unobtanium,"Feb 19, 2018",151.69,159.03,149.14,159.00,"30,043","30,071,000"
unobtanium,"Feb 18, 2018",160.29,160.82,149.99,152.15,"52,784","31,774,800"
unobtanium,"Feb 17, 2018",151.67,161.68,150.23,160.05,"52,728","30,065,000"
unobtanium,"Feb 16, 2018",152.87,155.02,149.39,151.69,"14,423","30,301,900"
unobtanium,"Feb 15, 2018",152.97,158.01,146.83,153.41,"49,711","30,321,300"
unobtanium,"Feb 14, 2018",148.93,153.39,145.55,152.91,"34,830","29,520,400"
unobtanium,"Feb 13, 2018",153.01,158.31,145.47,149.34,"17,219","30,328,600"
unobtanium,"Feb 12, 2018",148.77,159.93,148.25,152.83,"49,134","29,486,000"
unobtanium,"Feb 11, 2018",135.65,156.49,128.46,148.18,"69,424","26,885,700"
unobtanium,"Feb 10, 2018",139.26,163.51,132.34,135.75,"72,897","27,600,900"
unobtanium,"Feb 09, 2018",130.09,140.16,124.80,139.30,"23,365","25,782,800"
unobtanium,"Feb 08, 2018",121.43,135.08,120.29,131.47,"30,224","24,065,700"
