Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
useless-ethereum-token,"Jun 07, 2018",0.014545,0.014603,0.013397,0.013425,147,"57,680"
useless-ethereum-token,"Jun 06, 2018",0.013361,0.014658,0.012672,0.014549,145,"52,984"
useless-ethereum-token,"Jun 05, 2018",0.013027,0.014276,0.012880,0.013388,39,"51,663"
useless-ethereum-token,"Jun 04, 2018",0.013589,0.014734,0.012928,0.013028,46,"53,891"
useless-ethereum-token,"Jun 03, 2018",0.013602,0.015012,0.012516,0.014847,244,"53,941"
useless-ethereum-token,"Jun 02, 2018",0.013320,0.014341,0.012341,0.013619,0,"52,824"
useless-ethereum-token,"Jun 01, 2018",0.013283,0.014050,0.012437,0.013323,1,"52,677"
useless-ethereum-token,"May 31, 2018",0.012844,0.014062,0.012081,0.013255,734,"50,934"
useless-ethereum-token,"May 30, 2018",0.013564,0.014009,0.011480,0.012853,671,"53,792"
useless-ethereum-token,"May 29, 2018",0.012830,0.014070,0.012821,0.013556,10,"50,880"
useless-ethereum-token,"May 28, 2018",0.013123,0.013269,0.011205,0.012867,59,"52,042"
useless-ethereum-token,"May 27, 2018",0.014682,0.014795,0.012837,0.013124,166,"58,223"
useless-ethereum-token,"May 26, 2018",0.014623,0.015160,0.014363,0.014653,7,"57,991"
useless-ethereum-token,"May 25, 2018",0.014447,0.015401,0.013688,0.014621,62,"57,291"
useless-ethereum-token,"May 24, 2018",0.014491,0.015235,0.013815,0.014431,1,"57,468"
useless-ethereum-token,"May 23, 2018",0.016732,0.016876,0.013717,0.014557,74,"66,355"
useless-ethereum-token,"May 22, 2018",0.018822,0.018887,0.016651,0.016765,7,"74,645"
useless-ethereum-token,"May 21, 2018",0.017161,0.019320,0.017102,0.018862,"31,910","68,055"
useless-ethereum-token,"May 20, 2018",0.016703,0.020136,0.016543,0.017139,24,"66,239"
useless-ethereum-token,"May 19, 2018",0.019414,0.020017,0.016502,0.016689,12,"76,991"
useless-ethereum-token,"May 18, 2018",0.016761,0.019438,0.016486,0.019414,1,"66,470"
useless-ethereum-token,"May 17, 2018",0.016962,0.017701,0.016615,0.016778,0,"67,267"
useless-ethereum-token,"May 16, 2018",0.019782,0.019825,0.016543,0.016942,102,"78,449"
useless-ethereum-token,"May 15, 2018",0.021085,0.022120,0.018178,0.019772,38,"83,617"
useless-ethereum-token,"May 14, 2018",0.021156,0.021484,0.016575,0.021114,11,"83,897"
useless-ethereum-token,"May 13, 2018",0.021179,0.022190,0.016567,0.021164,136,"83,989"
useless-ethereum-token,"May 12, 2018",0.018269,0.021424,0.018243,0.021221,"1,626","72,449"
useless-ethereum-token,"May 11, 2018",0.018134,0.018699,0.016766,0.018302,30,"71,913"
useless-ethereum-token,"May 10, 2018",0.016509,0.018585,0.016286,0.018121,83,"65,468"
useless-ethereum-token,"May 09, 2018",0.017209,0.018991,0.016339,0.016493,6,"68,246"
useless-ethereum-token,"May 08, 2018",0.017353,0.019343,0.016627,0.017230,13,"68,818"
useless-ethereum-token,"May 07, 2018",0.021358,0.021358,0.016225,0.017241,973,"84,701"
useless-ethereum-token,"May 06, 2018",0.020400,0.022499,0.017722,0.021346,189,"80,899"
useless-ethereum-token,"May 05, 2018",0.019561,0.021944,0.019497,0.020403,12,"77,574"
useless-ethereum-token,"May 04, 2018",0.019427,0.021080,0.019101,0.019540,60,"77,041"
useless-ethereum-token,"May 03, 2018",0.021304,0.021875,0.016724,0.019490,465,"84,487"
useless-ethereum-token,"May 02, 2018",0.018125,0.021393,0.016063,0.021306,416,"71,878"
useless-ethereum-token,"May 01, 2018",0.018095,0.019398,0.015225,0.018177,97,"71,760"
useless-ethereum-token,"Apr 30, 2018",0.017918,0.020608,0.017410,0.018036,98,"71,059"
useless-ethereum-token,"Apr 29, 2018",0.017751,0.020477,0.016680,0.017916,"1,066","70,394"
useless-ethereum-token,"Apr 28, 2018",0.016693,0.020094,0.016693,0.017749,119,"66,199"
useless-ethereum-token,"Apr 27, 2018",0.019897,0.020188,0.016802,0.016837,"1,166","78,905"
useless-ethereum-token,"Apr 26, 2018",0.014206,0.019928,0.013863,0.019862,"1,845","56,337"
useless-ethereum-token,"Apr 25, 2018",0.016228,0.016228,0.013964,0.014068,176,"64,356"
useless-ethereum-token,"Apr 24, 2018",0.014775,0.016307,0.014136,0.016234,868,"58,595"
useless-ethereum-token,"Apr 23, 2018",0.013610,0.015460,0.013414,0.014775,422,"53,975"
useless-ethereum-token,"Apr 22, 2018",0.014485,0.014709,0.012475,0.013661,"1,435","57,444"
useless-ethereum-token,"Apr 21, 2018",0.018479,0.019123,0.012672,0.014485,"1,499","73,281"
useless-ethereum-token,"Apr 20, 2018",0.014194,0.018491,0.013231,0.018491,926,"56,288"
useless-ethereum-token,"Apr 19, 2018",0.012600,0.014211,0.012195,0.014211,71,"49,968"
useless-ethereum-token,"Apr 18, 2018",0.010070,0.012726,0.010044,0.012593,33,"39,936"
useless-ethereum-token,"Apr 17, 2018",0.012270,0.012884,0.010043,0.010065,484,"48,661"
useless-ethereum-token,"Apr 16, 2018",0.013878,0.013956,0.010735,0.012272,40,"55,036"
