Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
valuechain,"Jul 02, 2018",0.051046,0.051488,0.044432,0.049024,"290,918",-
valuechain,"Jul 01, 2018",0.049928,0.051608,0.043363,0.051008,"251,093",-
valuechain,"Jun 30, 2018",0.036540,0.050009,0.036373,0.049879,"293,490",-
valuechain,"Jun 29, 2018",0.035835,0.037039,0.027842,0.036516,"189,217",-
valuechain,"Jun 28, 2018",0.037542,0.038108,0.034868,0.035822,"165,908",-
valuechain,"Jun 27, 2018",0.034428,0.037849,0.033995,0.037472,"144,641",-
valuechain,"Jun 26, 2018",0.037646,0.038067,0.034295,0.035841,"173,764",-
valuechain,"Jun 25, 2018",0.042358,0.044319,0.037603,0.037646,"167,680",-
valuechain,"Jun 24, 2018",0.044134,0.045236,0.039270,0.042532,"169,880",-
valuechain,"Jun 23, 2018",0.046457,0.047742,0.043006,0.044146,"96,051",-
valuechain,"Jun 22, 2018",0.052757,0.052757,0.044610,0.046427,"205,064",-
valuechain,"Jun 21, 2018",0.047149,0.056088,0.047108,0.052771,"111,656",-
valuechain,"Jun 20, 2018",0.055337,0.055971,0.046840,0.047175,"98,232",-
valuechain,"Jun 19, 2018",0.047109,0.058290,0.046615,0.055301,"268,365",-
valuechain,"Jun 18, 2018",0.044307,0.047486,0.040129,0.047137,"548,745",-
valuechain,"Jun 17, 2018",0.039851,0.045044,0.039831,0.044315,"454,216",-
valuechain,"Jun 16, 2018",0.040497,0.045441,0.025168,0.039856,"230,081",-
valuechain,"Jun 15, 2018",0.042572,0.042753,0.039979,0.040608,"468,494",-
valuechain,"Jun 14, 2018",0.038626,0.043745,0.038584,0.042581,"850,192",-
valuechain,"Jun 13, 2018",0.041237,0.041620,0.037200,0.038535,"739,536",-
valuechain,"Jun 12, 2018",0.044649,0.045312,0.040058,0.041073,"953,588",-
valuechain,"Jun 11, 2018",0.043110,0.049035,0.041421,0.044631,"4,706,550",-
valuechain,"Jun 10, 2018",0.054096,0.054096,0.040365,0.043035,"255,290",-
valuechain,"Jun 09, 2018",0.055184,0.055815,0.052355,0.053990,"810,273",-
valuechain,"Jun 08, 2018",0.054341,0.056252,0.052397,0.055169,"734,162",-
valuechain,"Jun 07, 2018",0.053330,0.060220,0.052455,0.054249,"516,856",-
valuechain,"Jun 06, 2018",0.054657,0.057410,0.052429,0.053346,"987,253",-
valuechain,"Jun 05, 2018",0.059215,0.060100,0.045584,0.054767,"693,265",-
valuechain,"Jun 04, 2018",0.059916,0.065614,0.055949,0.059220,"653,517",-
valuechain,"Jun 03, 2018",0.062686,0.066926,0.058374,0.060625,"285,838",-
valuechain,"Jun 02, 2018",0.061967,0.064952,0.054877,0.062767,"416,855",-
valuechain,"Jun 01, 2018",0.064683,0.071349,0.058076,0.061981,"750,414",-
valuechain,"May 31, 2018",0.068126,0.070272,0.063686,0.064544,"728,713",-
valuechain,"May 30, 2018",0.066691,0.070637,0.066463,0.068192,"964,650",-
valuechain,"May 29, 2018",0.059531,0.069217,0.057503,0.066650,"1,035,210",-
