Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
vertcoin,"Jul 02, 2018",0.877732,0.981061,0.863878,0.958188,"683,576","39,408,100"
vertcoin,"Jul 01, 2018",0.874719,0.915090,0.853496,0.883558,"717,089","39,259,600"
vertcoin,"Jun 30, 2018",0.848578,0.890408,0.823525,0.874447,"438,974","38,075,200"
vertcoin,"Jun 29, 2018",0.819185,0.875211,0.786849,0.840412,"411,225","36,745,100"
vertcoin,"Jun 28, 2018",0.918520,0.922517,0.804885,0.826945,"641,741","41,187,000"
vertcoin,"Jun 27, 2018",0.899152,0.925604,0.864831,0.908645,"384,200","40,305,700"
vertcoin,"Jun 26, 2018",0.926866,0.947652,0.877648,0.899831,"480,198","41,534,000"
vertcoin,"Jun 25, 2018",0.878250,0.939458,0.851034,0.928378,"862,146","39,342,300"
vertcoin,"Jun 24, 2018",0.935377,0.935377,0.825587,0.880086,"252,086","41,889,300"
vertcoin,"Jun 23, 2018",0.919613,0.942916,0.901600,0.929348,"334,234","41,169,200"
vertcoin,"Jun 22, 2018",1.02,1.04,0.915303,0.917409,"523,554","45,746,100"
vertcoin,"Jun 21, 2018",1.05,1.07,1.01,1.02,"287,884","46,962,800"
vertcoin,"Jun 20, 2018",1.08,1.08,1.03,1.05,"595,191","48,340,600"
vertcoin,"Jun 19, 2018",1.10,1.13,1.07,1.08,"457,797","48,974,800"
vertcoin,"Jun 18, 2018",1.06,1.13,0.996000,1.10,"810,310","47,552,100"
vertcoin,"Jun 17, 2018",1.09,1.10,1.05,1.06,"481,138","48,688,000"
vertcoin,"Jun 16, 2018",1.08,1.10,1.05,1.08,"426,349","48,265,600"
vertcoin,"Jun 15, 2018",1.15,1.16,1.06,1.08,"543,465","51,454,900"
vertcoin,"Jun 14, 2018",1.09,1.16,1.06,1.15,"698,592","48,805,800"
vertcoin,"Jun 13, 2018",1.16,1.17,1.02,1.09,"882,308","51,812,800"
vertcoin,"Jun 12, 2018",1.25,1.28,1.16,1.16,"738,920","55,644,700"
vertcoin,"Jun 11, 2018",1.25,1.28,1.17,1.24,"943,722","55,787,700"
vertcoin,"Jun 10, 2018",1.48,1.48,1.24,1.26,"1,049,020","66,171,900"
vertcoin,"Jun 09, 2018",1.47,1.54,1.46,1.46,"1,043,940","65,354,400"
vertcoin,"Jun 08, 2018",1.52,1.53,1.45,1.47,"1,085,990","67,801,400"
vertcoin,"Jun 07, 2018",1.55,1.58,1.50,1.52,"1,208,890","69,247,900"
vertcoin,"Jun 06, 2018",1.60,1.61,1.53,1.55,"838,223","71,420,900"
vertcoin,"Jun 05, 2018",1.60,1.62,1.54,1.61,"1,020,720","71,193,400"
vertcoin,"Jun 04, 2018",1.74,1.75,1.58,1.60,"1,056,890","77,302,300"
vertcoin,"Jun 03, 2018",1.74,1.77,1.73,1.74,"940,612","77,413,800"
vertcoin,"Jun 02, 2018",1.68,1.76,1.68,1.74,"828,781","74,891,000"
vertcoin,"Jun 01, 2018",1.69,1.80,1.67,1.69,"3,221,400","75,257,800"
vertcoin,"May 31, 2018",1.67,1.74,1.64,1.70,"855,970","74,351,600"
vertcoin,"May 30, 2018",1.68,1.76,1.63,1.67,"1,000,310","74,615,200"
vertcoin,"May 29, 2018",1.59,1.73,1.58,1.68,"1,050,280","70,552,700"
vertcoin,"May 28, 2018",1.74,1.77,1.59,1.63,"717,891","77,330,600"
vertcoin,"May 27, 2018",1.79,1.79,1.73,1.75,"570,689","79,346,000"
vertcoin,"May 26, 2018",1.84,1.86,1.78,1.78,"559,935","81,667,800"
vertcoin,"May 25, 2018",1.87,1.89,1.81,1.84,"639,514","82,836,800"
vertcoin,"May 24, 2018",1.77,1.93,1.75,1.86,"1,370,230","78,660,100"
vertcoin,"May 23, 2018",1.99,2.01,1.76,1.78,"1,211,400","88,320,200"
vertcoin,"May 22, 2018",2.14,2.14,1.98,1.99,"737,702","95,034,200"
vertcoin,"May 21, 2018",2.25,2.27,2.10,2.14,"1,617,810","99,756,600"
vertcoin,"May 20, 2018",2.23,2.28,2.19,2.25,"597,914","98,773,800"
vertcoin,"May 19, 2018",2.26,2.30,2.20,2.21,"447,334","99,890,800"
vertcoin,"May 18, 2018",2.22,2.29,2.13,2.26,"1,159,480","98,216,700"
vertcoin,"May 17, 2018",2.27,2.39,2.20,2.23,"1,676,050","100,500,000"
vertcoin,"May 16, 2018",2.36,2.39,2.15,2.26,"1,670,700","104,360,000"
