Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
viacoin,"Jul 02, 2018",1.11,1.19,1.08,1.18,"409,113","25,641,700"
viacoin,"Jul 01, 2018",1.10,1.13,1.05,1.11,"265,599","25,440,500"
viacoin,"Jun 30, 2018",1.05,1.13,1.05,1.10,"310,259","24,172,600"
viacoin,"Jun 29, 2018",1.03,1.09,0.995333,1.05,"427,238","23,727,000"
viacoin,"Jun 28, 2018",1.11,1.11,1.02,1.03,"639,226","25,579,000"
viacoin,"Jun 27, 2018",1.02,1.12,0.952208,1.12,"542,133","23,546,300"
viacoin,"Jun 26, 2018",0.985076,1.10,0.951632,1.01,"551,128","22,712,300"
viacoin,"Jun 25, 2018",0.953353,1.00,0.933302,0.988145,"478,037","21,980,300"
viacoin,"Jun 24, 2018",0.985721,0.986944,0.868202,0.943199,"409,843","22,726,000"
viacoin,"Jun 23, 2018",1.00,1.04,0.968434,0.982817,"531,330","23,136,200"
viacoin,"Jun 22, 2018",1.22,1.23,0.977440,0.997999,"1,166,580","28,181,700"
viacoin,"Jun 21, 2018",1.21,1.22,1.19,1.22,"697,808","27,879,400"
viacoin,"Jun 20, 2018",1.23,1.24,1.18,1.21,"715,729","28,454,400"
viacoin,"Jun 19, 2018",1.23,1.26,1.21,1.23,"670,305","28,422,900"
viacoin,"Jun 18, 2018",1.19,1.26,1.17,1.23,"777,804","27,389,400"
viacoin,"Jun 17, 2018",1.22,1.23,1.18,1.19,"804,874","28,010,000"
viacoin,"Jun 16, 2018",1.30,1.32,1.17,1.21,"1,454,810","29,899,600"
viacoin,"Jun 15, 2018",1.32,1.33,1.27,1.30,"599,786","30,482,600"
viacoin,"Jun 14, 2018",1.23,1.33,1.22,1.32,"563,137","28,236,700"
viacoin,"Jun 13, 2018",1.33,1.36,1.22,1.23,"840,155","30,666,200"
viacoin,"Jun 12, 2018",1.40,1.41,1.32,1.33,"735,739","32,378,700"
viacoin,"Jun 11, 2018",1.40,1.41,1.36,1.40,"980,409","32,160,200"
viacoin,"Jun 10, 2018",1.58,1.58,1.37,1.40,"1,176,280","36,419,500"
viacoin,"Jun 09, 2018",1.63,1.65,1.58,1.58,"1,174,310","37,571,500"
viacoin,"Jun 08, 2018",1.61,1.67,1.59,1.63,"1,645,620","37,057,900"
viacoin,"Jun 07, 2018",1.58,1.64,1.57,1.60,"1,264,730","36,437,000"
viacoin,"Jun 06, 2018",1.58,1.62,1.55,1.57,"939,901","36,381,700"
viacoin,"Jun 05, 2018",1.57,1.59,1.50,1.58,"752,226","36,264,300"
viacoin,"Jun 04, 2018",1.67,1.68,1.55,1.58,"699,687","38,460,000"
viacoin,"Jun 03, 2018",1.66,1.68,1.63,1.67,"877,176","38,320,900"
viacoin,"Jun 02, 2018",1.58,1.66,1.57,1.65,"787,307","36,434,400"
viacoin,"Jun 01, 2018",1.63,1.69,1.57,1.58,"875,024","37,527,800"
viacoin,"May 31, 2018",1.54,1.71,1.54,1.63,"1,231,230","35,578,100"
viacoin,"May 30, 2018",1.56,1.61,1.52,1.54,"830,780","36,013,900"
viacoin,"May 29, 2018",1.46,1.59,1.43,1.56,"781,892","33,633,100"
viacoin,"May 28, 2018",1.56,1.58,1.46,1.46,"839,599","35,904,600"
viacoin,"May 27, 2018",1.62,1.62,1.54,1.55,"640,629","37,233,000"
viacoin,"May 26, 2018",1.69,1.70,1.60,1.62,"911,366","39,034,700"
viacoin,"May 25, 2018",1.75,1.76,1.67,1.70,"871,391","40,350,700"
viacoin,"May 24, 2018",1.69,1.85,1.64,1.75,"1,501,420","38,991,200"
viacoin,"May 23, 2018",1.80,1.84,1.66,1.69,"1,831,970","41,464,700"
viacoin,"May 22, 2018",1.93,1.94,1.80,1.80,"1,412,010","44,525,900"
viacoin,"May 21, 2018",2.03,2.04,1.92,1.94,"1,123,320","46,761,300"
viacoin,"May 20, 2018",1.95,2.04,1.93,2.02,"1,066,300","44,972,400"
viacoin,"May 19, 2018",1.95,2.02,1.94,1.94,"1,205,920","45,014,600"
viacoin,"May 18, 2018",1.91,1.97,1.86,1.96,"1,211,300","43,937,400"
viacoin,"May 17, 2018",2.01,2.06,1.88,1.91,"1,119,230","46,256,500"
viacoin,"May 16, 2018",2.14,2.14,1.94,2.01,"1,100,370","49,272,400"
viacoin,"May 15, 2018",2.12,2.39,2.11,2.14,"3,699,950","48,833,300"
viacoin,"May 14, 2018",2.01,2.18,1.91,2.12,"1,152,570","46,325,600"
viacoin,"May 13, 2018",1.87,2.04,1.86,2.01,"806,188","43,082,500"
viacoin,"May 12, 2018",1.84,1.94,1.80,1.89,"746,147","42,442,700"
viacoin,"May 11, 2018",2.08,2.08,1.82,1.86,"1,389,900","48,002,100"
viacoin,"May 10, 2018",2.22,2.23,2.07,2.08,"1,085,940","51,071,100"
viacoin,"May 09, 2018",2.27,2.27,2.16,2.22,"2,294,130","52,335,700"
viacoin,"May 08, 2018",2.30,2.32,2.22,2.28,"5,186,990","53,029,900"
viacoin,"May 07, 2018",2.49,2.49,2.28,2.30,"6,234,400","57,306,600"
viacoin,"May 06, 2018",2.54,2.57,2.39,2.47,"6,669,280","58,535,100"
viacoin,"May 05, 2018",2.53,2.59,2.51,2.54,"6,883,470","58,345,900"
viacoin,"May 04, 2018",2.65,2.65,2.53,2.54,"8,359,580","60,975,600"
viacoin,"May 03, 2018",2.56,2.73,2.54,2.65,"8,561,220","58,874,900"
viacoin,"May 02, 2018",2.50,2.59,2.48,2.56,"7,623,980","57,528,000"
viacoin,"May 01, 2018",2.55,2.55,2.38,2.50,"7,386,820","58,687,200"
viacoin,"Apr 30, 2018",2.56,2.58,2.47,2.55,"7,358,120","58,893,500"
viacoin,"Apr 29, 2018",2.55,2.60,2.45,2.56,"8,329,250","58,752,900"
viacoin,"Apr 28, 2018",2.48,2.59,2.47,2.55,"7,457,560","56,983,400"
viacoin,"Apr 27, 2018",2.67,2.73,2.48,2.48,"8,058,850","61,421,000"
viacoin,"Apr 26, 2018",2.22,2.82,2.17,2.66,"12,570,000","51,212,400"
viacoin,"Apr 25, 2018",2.65,2.65,2.19,2.22,"3,777,540","60,912,800"
viacoin,"Apr 24, 2018",2.43,2.67,2.43,2.67,"3,212,490","55,999,200"
viacoin,"Apr 23, 2018",2.33,2.46,2.33,2.43,"3,017,580","53,636,500"
viacoin,"Apr 22, 2018",2.35,2.43,2.26,2.34,"2,873,100","54,200,600"
viacoin,"Apr 21, 2018",2.30,2.41,2.15,2.36,"4,409,020","52,842,700"
viacoin,"Apr 20, 2018",2.17,2.32,2.14,2.29,"2,974,560","50,025,900"
viacoin,"Apr 19, 2018",2.10,2.21,2.08,2.17,"2,997,170","48,432,600"
viacoin,"Apr 18, 2018",1.92,2.13,1.91,2.10,"3,610,240","44,163,000"
viacoin,"Apr 17, 2018",1.93,1.99,1.89,1.92,"2,137,190","44,438,300"
viacoin,"Apr 16, 2018",2.01,2.02,1.85,1.92,"2,421,110","46,367,300"
viacoin,"Apr 15, 2018",1.87,2.05,1.85,2.01,"3,020,230","42,966,000"
viacoin,"Apr 14, 2018",1.83,1.96,1.80,1.87,"1,253,060","42,154,200"
viacoin,"Apr 13, 2018",1.87,1.96,1.81,1.83,"3,089,580","42,939,900"
viacoin,"Apr 12, 2018",1.84,1.86,1.56,1.85,"9,940,550","42,441,700"
viacoin,"Apr 11, 2018",1.79,2.10,1.72,1.73,"41,503,200","41,081,100"
viacoin,"Apr 10, 2018",1.31,1.76,1.28,1.55,"9,924,460","30,072,600"
viacoin,"Apr 09, 2018",1.36,1.43,1.27,1.31,"1,442,910","31,318,400"
viacoin,"Apr 08, 2018",1.29,1.40,1.28,1.38,"3,157,040","29,752,800"
viacoin,"Apr 07, 2018",1.21,1.30,1.21,1.28,"400,874","27,801,300"
viacoin,"Apr 06, 2018",1.26,1.82,1.19,1.21,"741,738","28,987,100"
viacoin,"Apr 05, 2018",1.27,1.34,1.22,1.26,"1,259,510","29,136,200"
viacoin,"Apr 04, 2018",1.43,1.44,1.23,1.27,"926,737","32,859,600"
viacoin,"Apr 03, 2018",1.23,1.46,1.23,1.42,"1,925,240","28,386,500"
