Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
viuly,"Jul 02, 2018",0.001896,0.002013,0.001752,0.001997,"15,737","1,452,470"
viuly,"Jul 01, 2018",0.002006,0.002009,0.001721,0.001896,"31,588","1,536,780"
viuly,"Jun 30, 2018",0.001678,0.002101,0.001678,0.002007,"29,054","1,285,020"
viuly,"Jun 29, 2018",0.001808,0.001977,0.001347,0.001677,"115,206","1,384,770"
viuly,"Jun 28, 2018",0.001982,0.001983,0.001777,0.001808,"16,851","1,517,950"
viuly,"Jun 27, 2018",0.002034,0.002046,0.001941,0.001989,"28,219","1,537,520"
viuly,"Jun 26, 2018",0.002149,0.002228,0.001966,0.002036,"29,706","1,624,310"
viuly,"Jun 25, 2018",0.002337,0.002338,0.001931,0.002149,"29,379","1,741,120"
viuly,"Jun 24, 2018",0.002248,0.002422,0.002133,0.002341,"31,423","1,674,360"
viuly,"Jun 23, 2018",0.003139,0.003401,0.001905,0.002236,"107,819","2,297,740"
viuly,"Jun 22, 2018",0.003886,0.003887,0.002932,0.003139,"20,140","2,844,190"
viuly,"Jun 21, 2018",0.003372,0.004023,0.003371,0.003887,"54,520","2,468,310"
viuly,"Jun 20, 2018",0.003198,0.003720,0.003039,0.003372,"27,699","2,340,470"
viuly,"Jun 19, 2018",0.003253,0.003412,0.002955,0.003197,"33,596","2,381,000"
viuly,"Jun 18, 2018",0.003198,0.003302,0.003045,0.003254,"30,745","2,340,920"
viuly,"Jun 17, 2018",0.003292,0.003461,0.003113,0.003119,"60,388","2,409,130"
viuly,"Jun 16, 2018",0.003349,0.003462,0.003179,0.003288,"19,908","2,450,820"
viuly,"Jun 15, 2018",0.003492,0.003827,0.003231,0.003354,"41,149","2,556,170"
viuly,"Jun 14, 2018",0.003735,0.003804,0.002978,0.003495,"152,880","2,718,410"
viuly,"Jun 13, 2018",0.004259,0.004473,0.003475,0.003735,"77,753","3,100,270"
viuly,"Jun 12, 2018",0.004534,0.004852,0.003978,0.004253,"58,733","3,299,990"
viuly,"Jun 11, 2018",0.004142,0.004645,0.003800,0.004532,"62,928","3,015,040"
viuly,"Jun 10, 2018",0.005364,0.005364,0.003984,0.004139,"103,841","3,850,870"
viuly,"Jun 09, 2018",0.005262,0.006099,0.005261,0.005359,"48,569","3,777,510"
viuly,"Jun 08, 2018",0.005527,0.005539,0.005233,0.005264,"134,121","3,967,990"
viuly,"Jun 07, 2018",0.005506,0.006084,0.005305,0.005523,"394,129","3,952,630"
viuly,"Jun 06, 2018",0.005276,0.005601,0.005138,0.005501,"351,648","3,787,670"
viuly,"Jun 05, 2018",0.005268,0.005400,0.004845,0.005167,"301,936","3,782,050"
viuly,"Jun 04, 2018",0.006261,0.006316,0.004899,0.005326,"433,910","4,419,240"
viuly,"Jun 03, 2018",0.006411,0.006503,0.005979,0.006187,"488,720","4,523,780"
viuly,"Jun 02, 2018",0.006450,0.006558,0.006184,0.006410,"401,175","4,549,280"
viuly,"Jun 01, 2018",0.006730,0.006809,0.006002,0.006452,"278,138","4,746,700"
viuly,"May 31, 2018",0.006416,0.006853,0.006381,0.006725,"204,004","4,525,250"
viuly,"May 30, 2018",0.006565,0.006712,0.006353,0.006417,"410,828","4,630,330"
