Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
vslice,"Jul 02, 2018",0.062514,0.064553,0.061451,0.064152,3,"2,087,370"
vslice,"Jul 01, 2018",0.066939,0.067316,0.061908,0.062507,66,"2,235,130"
vslice,"Jun 30, 2018",0.060125,0.073924,0.060122,0.066924,"9,523","2,007,610"
vslice,"Jun 29, 2018",0.060141,0.060141,0.060044,0.060044,6,"2,008,140"
vslice,"Jun 28, 2018",0.064345,0.064534,0.063820,0.064213,"1,005","2,148,500"
vslice,"Jun 27, 2018",0.063783,0.064630,0.063100,0.064322,"1,007","2,129,750"
vslice,"Jun 26, 2018",0.061419,0.065371,0.061007,0.063809,"1,003","2,050,810"
vslice,"Jun 25, 2018",0.061998,0.064698,0.059934,0.061419,32,"2,070,150"
vslice,"Jun 24, 2018",0.059817,0.063069,0.058234,0.062118,64,"1,997,310"
vslice,"Jun 23, 2018",0.063424,0.064572,0.063314,0.063900,21,"2,117,770"
vslice,"Jun 22, 2018",0.069295,0.069414,0.062302,0.063416,21,"2,313,790"
vslice,"Jun 21, 2018",0.069067,0.079547,0.064838,0.069372,"2,172","2,306,200"
vslice,"Jun 20, 2018",0.068225,0.069277,0.066523,0.069053,119,"2,278,080"
vslice,"Jun 19, 2018",0.073965,0.074724,0.067702,0.068183,4,"2,469,730"
vslice,"Jun 18, 2018",0.074423,0.075220,0.070905,0.074005,669,"2,485,010"
vslice,"Jun 17, 2018",0.062015,0.077971,0.061897,0.074678,"6,904","2,070,720"
vslice,"Jun 16, 2018",0.060431,0.065195,0.060327,0.061851,189,"2,017,840"
vslice,"Jun 15, 2018",0.064444,0.073201,0.059083,0.060653,"4,297","2,151,830"
vslice,"Jun 14, 2018",0.061108,0.067246,0.060984,0.064551,96,"2,040,440"
vslice,"Jun 13, 2018",0.066883,0.067287,0.060172,0.061136,523,"2,233,270"
vslice,"Jun 12, 2018",0.069357,0.079773,0.066711,0.066711,"1,316","2,315,880"
vslice,"Jun 11, 2018",0.068499,0.078878,0.067248,0.069395,"2,483","2,287,210"
vslice,"Jun 10, 2018",0.078957,0.078957,0.067400,0.068401,370,"2,636,400"
vslice,"Jun 09, 2018",0.085576,0.086208,0.078857,0.078857,12,"2,857,430"
vslice,"Jun 08, 2018",0.084066,0.087989,0.083916,0.085613,339,"2,807,010"
vslice,"Jun 07, 2018",0.084224,0.085229,0.084224,0.084713,2,"2,812,290"
vslice,"Jun 06, 2018",0.083863,0.086045,0.082683,0.084147,753,"2,800,220"
vslice,"Jun 05, 2018",0.082300,0.084037,0.079550,0.083885,346,"2,748,050"
vslice,"Jun 04, 2018",0.082639,0.084787,0.072332,0.082261,932,"2,759,370"
vslice,"Jun 03, 2018",0.064667,0.086369,0.064380,0.082601,"5,058","2,159,270"
vslice,"Jun 02, 2018",0.061636,0.066353,0.061291,0.064650,17,"2,058,070"
vslice,"Jun 01, 2018",0.065926,0.066806,0.061268,0.061663,"1,456","2,201,310"
vslice,"May 31, 2018",0.064303,0.071118,0.063998,0.065878,424,"2,147,110"
vslice,"May 30, 2018",0.076885,0.082802,0.064276,0.064315,"1,827","2,567,240"
vslice,"May 29, 2018",0.059582,0.084027,0.056773,0.076834,"8,579","1,989,470"
vslice,"May 28, 2018",0.074335,0.077504,0.057719,0.059601,"2,733","2,482,100"
vslice,"May 27, 2018",0.074265,0.074503,0.074205,0.074318,150,"2,479,750"
vslice,"May 26, 2018",0.079982,0.081645,0.079157,0.080646,674,"2,670,630"
vslice,"May 25, 2018",0.075779,0.081492,0.074365,0.080087,"1,023","2,530,290"
vslice,"May 24, 2018",0.077301,0.080037,0.074801,0.075637,"1,594","2,581,110"
vslice,"May 23, 2018",0.089398,0.089942,0.076727,0.077496,"2,931","2,985,060"
vslice,"May 22, 2018",0.093830,0.097286,0.086498,0.089491,"3,775","3,133,020"
vslice,"May 21, 2018",0.095507,0.101821,0.089542,0.093846,"18,108","3,189,030"
vslice,"May 20, 2018",0.094493,0.096126,0.092267,0.095388,"5,690","3,155,150"
vslice,"May 19, 2018",0.091535,0.095457,0.090814,0.094422,42,"3,056,390"
vslice,"May 18, 2018",0.094432,0.102390,0.089168,0.091549,"11,298","3,153,140"
vslice,"May 17, 2018",0.105940,0.106532,0.093809,0.094350,49,"3,537,400"
vslice,"May 16, 2018",0.105144,0.105885,0.093035,0.105876,"3,476","3,510,800"
vslice,"May 15, 2018",0.095419,0.105533,0.091648,0.105204,"10,636","3,186,090"
vslice,"May 14, 2018",0.098635,0.101092,0.087206,0.095583,"4,721","3,293,470"
vslice,"May 13, 2018",0.091113,0.109616,0.088626,0.098653,"12,480","3,042,300"
vslice,"May 12, 2018",0.091925,0.112179,0.088906,0.091144,"13,185","3,069,400"
vslice,"May 11, 2018",0.108455,0.108455,0.091588,0.092195,386,"3,621,380"
vslice,"May 10, 2018",0.104036,0.112377,0.103635,0.108326,904,"3,473,800"
vslice,"May 09, 2018",0.101557,0.104235,0.099277,0.104065,700,"3,391,020"
vslice,"May 08, 2018",0.116992,0.118072,0.101284,0.101712,"1,278","3,906,430"
vslice,"May 07, 2018",0.103635,0.118009,0.097796,0.116745,"6,180","3,460,440"
vslice,"May 06, 2018",0.107624,0.114848,0.101887,0.103561,"5,551","3,593,620"
vslice,"May 05, 2018",0.115633,0.117769,0.106368,0.107551,257,"3,861,040"
vslice,"May 04, 2018",0.106152,0.121687,0.097026,0.115688,"12,766","3,544,460"
vslice,"May 03, 2018",0.097263,0.106702,0.094172,0.106193,"13,410","3,247,640"
vslice,"May 02, 2018",0.095465,0.099821,0.094451,0.097259,106,"3,187,640"
vslice,"May 01, 2018",0.105161,0.105161,0.093623,0.095609,552,"3,511,360"
vslice,"Apr 30, 2018",0.102477,0.109963,0.099728,0.105069,"7,876","3,421,740"
vslice,"Apr 29, 2018",0.105215,0.107482,0.100830,0.102511,"4,456","3,513,170"
vslice,"Apr 28, 2018",0.102084,0.107941,0.101822,0.107225,177,"3,408,630"
vslice,"Apr 27, 2018",0.106452,0.107300,0.102435,0.102435,169,"3,554,480"
vslice,"Apr 26, 2018",0.110207,0.111287,0.102055,0.106305,628,"3,679,870"
vslice,"Apr 25, 2018",0.120702,0.121286,0.109148,0.109301,"5,670","4,030,300"
vslice,"Apr 24, 2018",0.108856,0.121528,0.108807,0.121528,"8,672","3,634,750"
vslice,"Apr 23, 2018",0.100365,0.109082,0.096790,0.108763,"5,743","3,351,230"
vslice,"Apr 22, 2018",0.104104,0.108971,0.094984,0.100568,"9,790","3,476,080"
vslice,"Apr 21, 2018",0.100356,0.107404,0.091815,0.104104,"14,600","3,350,920"
vslice,"Apr 20, 2018",0.097911,0.102629,0.096187,0.100321,"12,194","3,269,310"
vslice,"Apr 19, 2018",0.097810,0.103728,0.097390,0.097847,"4,258","3,265,920"
vslice,"Apr 18, 2018",0.096885,0.106521,0.093591,0.094638,"36,362","3,235,040"
vslice,"Apr 17, 2018",0.099821,0.117096,0.093782,0.096795,"58,367","3,333,070"
vslice,"Apr 16, 2018",0.100375,0.101665,0.097113,0.099771,"1,145","3,351,560"
vslice,"Apr 15, 2018",0.098735,0.108514,0.098735,0.100417,"9,670","3,296,820"
vslice,"Apr 14, 2018",0.097014,0.108494,0.095375,0.098629,"9,344","3,239,340"
vslice,"Apr 13, 2018",0.097312,0.102313,0.095529,0.097014,319,"3,249,280"
vslice,"Apr 12, 2018",0.093707,0.105251,0.085055,0.097189,"10,256","3,128,910"
vslice,"Apr 11, 2018",0.088766,0.098935,0.079829,0.093933,"33,636","2,963,960"
vslice,"Apr 10, 2018",0.088587,0.095147,0.079977,0.088681,"16,972","2,957,970"
vslice,"Apr 09, 2018",0.095971,0.107403,0.087189,0.088985,"17,449","3,204,510"
vslice,"Apr 08, 2018",0.093276,0.097541,0.093276,0.095815,230,"3,114,550"
vslice,"Apr 07, 2018",0.087138,0.104908,0.087008,0.093192,"10,951","2,909,570"
vslice,"Apr 06, 2018",0.093679,0.099328,0.086271,0.087034,"9,385","3,128,000"
vslice,"Apr 05, 2018",0.100261,0.100636,0.065859,0.094159,776,"3,347,750"
vslice,"Apr 04, 2018",0.117575,0.117575,0.085509,0.100219,394,"3,925,880"
vslice,"Apr 03, 2018",0.102168,0.117932,0.101839,0.117656,"1,461","3,411,440"
vslice,"Apr 02, 2018",0.088454,0.122155,0.083305,0.102095,"34,695","2,953,520"
