Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
vsync-vsx,"Jul 02, 2018",0.006664,0.006848,0.006469,0.006805,100,"1,069,950"
vsync-vsx,"Jul 01, 2018",0.007409,0.007463,0.006599,0.006663,62,"1,189,630"
vsync-vsx,"Jun 30, 2018",0.007260,0.007565,0.007259,0.007408,13,"1,165,610"
vsync-vsx,"Jun 29, 2018",0.005986,0.007374,0.004902,0.007250,105,"961,084"
vsync-vsx,"Jun 28, 2018",0.006318,0.007245,0.005948,0.005982,23,"1,014,400"
vsync-vsx,"Jun 27, 2018",0.007661,0.007706,0.006193,0.006316,53,"1,230,090"
vsync-vsx,"Jun 26, 2018",0.007748,0.008029,0.007474,0.007664,148,"1,243,960"
vsync-vsx,"Jun 25, 2018",0.006889,0.007832,0.006873,0.007748,292,"1,106,040"
vsync-vsx,"Jun 24, 2018",0.009250,0.009265,0.006864,0.006902,116,"1,485,180"
vsync-vsx,"Jun 23, 2018",0.009623,0.009779,0.009144,0.009251,85,"1,545,000"
vsync-vsx,"Jun 22, 2018",0.010676,0.011669,0.009452,0.009621,208,"1,714,170"
vsync-vsx,"Jun 21, 2018",0.011612,0.011705,0.010651,0.010688,"1,274","1,864,500"
vsync-vsx,"Jun 20, 2018",0.012835,0.015259,0.011359,0.011610,308,"2,060,690"
vsync-vsx,"Jun 19, 2018",0.010634,0.012857,0.010578,0.012826,361,"1,707,340"
vsync-vsx,"Jun 18, 2018",0.011659,0.015558,0.010602,0.010639,233,"1,871,950"
vsync-vsx,"Jun 17, 2018",0.009988,0.019618,0.009969,0.011699,"2,623","1,603,620"
vsync-vsx,"Jun 16, 2018",0.010789,0.011203,0.009736,0.009961,461,"1,732,280"
vsync-vsx,"Jun 15, 2018",0.007640,0.011175,0.007639,0.010829,49,"1,226,720"
vsync-vsx,"Jun 14, 2018",0.012196,0.012238,0.007596,0.007653,"2,291","1,958,250"
vsync-vsx,"Jun 13, 2018",0.008558,0.012274,0.008517,0.012202,"8,753","1,374,050"
vsync-vsx,"Jun 12, 2018",0.010951,0.011493,0.008093,0.008536,551,"1,758,310"
vsync-vsx,"Jun 11, 2018",0.006708,0.011946,0.006657,0.010957,824,"1,076,970"
vsync-vsx,"Jun 10, 2018",0.026044,0.026044,0.006600,0.006698,995,"4,181,550"
vsync-vsx,"Jun 09, 2018",0.016246,0.037409,0.013602,0.026011,198,"2,608,410"
vsync-vsx,"Jun 08, 2018",0.007683,0.043908,0.007560,0.016253,"3,957","1,233,500"
vsync-vsx,"Jun 07, 2018",0.010107,0.012811,0.007660,0.007677,974,"1,622,760"
vsync-vsx,"Jun 06, 2018",0.011436,0.011509,0.009902,0.010098,1,"1,836,130"
vsync-vsx,"Jun 05, 2018",0.011253,0.011459,0.008858,0.011439,407,"1,806,850"
vsync-vsx,"Jun 04, 2018",0.010793,0.014287,0.007844,0.011248,360,"1,732,830"
vsync-vsx,"Jun 03, 2018",0.010689,0.011048,0.010682,0.010787,73,"1,716,180"
vsync-vsx,"Jun 02, 2018",0.011275,0.014937,0.010306,0.010686,212,"1,810,300"
vsync-vsx,"Jun 01, 2018",0.008241,0.011305,0.008229,0.011280,135,"1,323,140"
vsync-vsx,"May 31, 2018",0.008121,0.010980,0.008081,0.008235,172,"1,303,890"
vsync-vsx,"May 30, 2018",0.011272,0.014704,0.008036,0.008122,797,"1,809,750"
vsync-vsx,"May 29, 2018",0.011265,0.011373,0.010740,0.011264,156,"1,808,680"
vsync-vsx,"May 28, 2018",0.013222,0.013340,0.012939,0.013004,15,"2,122,870"
vsync-vsx,"May 27, 2018",0.014597,0.014597,0.013095,0.013219,15,"2,343,660"
