Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
w3coin,"Jul 02, 2018",0.000171,0.000222,0.000166,0.000212,"2,778",-
w3coin,"Jul 01, 2018",0.000171,0.000217,0.000163,0.000171,"1,094",-
w3coin,"Jun 30, 2018",0.000137,0.000212,0.000136,0.000171,"1,519",-
w3coin,"Jun 29, 2018",0.000154,0.000204,0.000128,0.000137,97,-
w3coin,"Jun 28, 2018",0.000185,0.000211,0.000142,0.000153,"3,090",-
w3coin,"Jun 27, 2018",0.000207,0.000208,0.000141,0.000185,"6,440",-
w3coin,"Jun 26, 2018",0.000168,0.000217,0.000155,0.000207,"4,104",-
w3coin,"Jun 25, 2018",0.000150,0.000219,0.000130,0.000168,"5,443",-
w3coin,"Jun 24, 2018",0.000207,0.000207,0.000081,0.000150,"10,406",-
w3coin,"Jun 23, 2018",0.000154,0.000209,0.000154,0.000207,917,-
w3coin,"Jun 22, 2018",0.000170,0.000171,0.000152,0.000154,"2,154",-
w3coin,"Jun 21, 2018",0.000135,0.000222,0.000134,0.000170,"5,556",-
w3coin,"Jun 20, 2018",0.000156,0.000165,0.000134,0.000135,405,-
w3coin,"Jun 19, 2018",0.000156,0.000166,0.000130,0.000156,"1,255",-
w3coin,"Jun 18, 2018",0.000220,0.000235,0.000155,0.000156,631,-
w3coin,"Jun 17, 2018",0.000231,0.000241,0.000220,0.000220,92,-
w3coin,"Jun 16, 2018",0.000156,0.000233,0.000156,0.000231,297,-
w3coin,"Jun 15, 2018",0.000282,0.000283,0.000156,0.000157,"4,307",-
w3coin,"Jun 14, 2018",0.000164,0.000292,0.000164,0.000283,"1,650",-
w3coin,"Jun 13, 2018",0.000210,0.000259,0.000164,0.000164,724,-
w3coin,"Jun 12, 2018",0.000174,0.000235,0.000173,0.000209,"13,356",-
w3coin,"Jun 11, 2018",0.000142,0.000216,0.000116,0.000174,"14,295",-
w3coin,"Jun 10, 2018",0.000156,0.000216,0.000123,0.000142,"17,054",-
w3coin,"Jun 09, 2018",0.000169,0.000170,0.000088,0.000156,"63,575",-
w3coin,"Jun 08, 2018",0.000236,0.000237,0.000114,0.000170,"56,710",-
w3coin,"Jun 07, 2018",0.000305,0.000305,0.000186,0.000235,"8,278",-
w3coin,"Jun 06, 2018",0.000048,0.000306,0.000047,0.000305,"12,388",-
w3coin,"Jun 05, 2018",0.000043,0.000254,0.000041,0.000047,"3,402",-
