Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
waves-community-token,"Jul 02, 2018",0.401857,0.451025,0.389515,0.414033,"136,017","4,004,340"
waves-community-token,"Jul 01, 2018",0.416378,0.431416,0.390013,0.402240,"94,100","4,149,040"
waves-community-token,"Jun 30, 2018",0.370933,0.442611,0.356680,0.414416,"225,480","3,696,200"
waves-community-token,"Jun 29, 2018",0.326589,0.376332,0.308673,0.361458,"188,318","3,254,330"
waves-community-token,"Jun 28, 2018",0.359595,0.359595,0.325360,0.327166,"144,737","3,583,220"
waves-community-token,"Jun 27, 2018",0.331112,0.370378,0.311411,0.357703,"178,656","3,299,400"
waves-community-token,"Jun 26, 2018",0.339613,0.365752,0.326353,0.330978,"106,625","3,384,100"
waves-community-token,"Jun 25, 2018",0.346688,0.350394,0.316930,0.338561,"95,516","3,454,600"
waves-community-token,"Jun 24, 2018",0.388784,0.390888,0.239929,0.347856,"226,580","3,874,080"
waves-community-token,"Jun 23, 2018",0.451058,0.464597,0.264753,0.379001,"184,109","4,494,610"
waves-community-token,"Jun 22, 2018",0.540542,3.07,0.429837,0.460309,"143,675","5,386,280"
waves-community-token,"Jun 21, 2018",0.558180,0.563533,0.509912,0.540033,"4,382","5,562,040"
waves-community-token,"Jun 20, 2018",0.547754,0.565550,0.514257,0.559721,"12,499","5,458,150"
waves-community-token,"Jun 19, 2018",0.541381,0.556537,0.538010,0.549754,"1,215","5,394,650"
waves-community-token,"Jun 18, 2018",0.513664,0.551992,0.502705,0.538505,"4,675","5,118,460"
waves-community-token,"Jun 17, 2018",0.516316,0.527753,0.506337,0.514717,"4,323","5,144,880"
waves-community-token,"Jun 16, 2018",0.514887,0.522242,0.501544,0.515770,"5,072","5,130,640"
waves-community-token,"Jun 15, 2018",0.523544,0.528060,0.499104,0.513480,"6,724","5,216,910"
waves-community-token,"Jun 14, 2018",0.468001,0.532664,0.455971,0.520956,"7,231","4,663,450"
waves-community-token,"Jun 13, 2018",0.528280,0.542506,0.459013,0.463295,"18,521","5,264,100"
waves-community-token,"Jun 12, 2018",0.584190,0.594078,0.510250,0.526345,"7,790","5,821,220"
waves-community-token,"Jun 11, 2018",0.570935,0.590375,0.558274,0.581352,"7,407","5,691,990"
waves-community-token,"Jun 10, 2018",0.713382,0.713382,0.564417,0.571728,"7,818","7,112,130"
waves-community-token,"Jun 09, 2018",0.690702,0.726803,0.679595,0.718131,"13,766","6,886,020"
waves-community-token,"Jun 08, 2018",0.674247,0.719173,0.640709,0.691282,"12,330","6,721,970"
waves-community-token,"Jun 07, 2018",0.673607,0.695971,0.571194,0.674704,"26,618","6,715,590"
waves-community-token,"Jun 06, 2018",0.586263,0.674040,0.558748,0.673498,"13,912","5,844,810"
waves-community-token,"Jun 05, 2018",0.567422,0.620518,0.554133,0.586448,"25,998","5,656,970"
waves-community-token,"Jun 04, 2018",0.585680,0.606172,0.544892,0.567114,"53,782","5,838,990"
waves-community-token,"Jun 03, 2018",0.573658,0.601044,0.566671,0.585756,"54,485","5,719,140"
waves-community-token,"Jun 02, 2018",0.575405,0.591888,0.551938,0.572014,"56,535","5,736,560"
waves-community-token,"Jun 01, 2018",0.561221,0.648307,0.542347,0.579775,"71,048","5,595,150"
waves-community-token,"May 31, 2018",0.552989,0.585895,0.528981,0.560959,"51,990","5,513,080"
waves-community-token,"May 30, 2018",0.589794,0.626381,0.535403,0.551794,"55,503","5,880,000"
waves-community-token,"May 29, 2018",0.541051,0.594361,0.528177,0.584873,"56,353","5,394,060"
waves-community-token,"May 28, 2018",0.579242,0.587316,0.533961,0.537305,"46,848","5,774,810"
waves-community-token,"May 27, 2018",0.565860,0.589627,0.557055,0.585705,"48,351","5,641,400"
waves-community-token,"May 26, 2018",0.569629,0.617624,0.546907,0.568324,"52,273","5,678,970"
waves-community-token,"May 25, 2018",0.601362,0.614181,0.547314,0.578708,"45,111","5,995,340"
waves-community-token,"May 24, 2018",0.625223,0.651123,0.553668,0.602352,"45,962","6,233,220"
waves-community-token,"May 23, 2018",0.673814,0.680241,0.587609,0.626650,"36,123","6,717,650"
waves-community-token,"May 22, 2018",0.819844,0.823951,0.594420,0.673178,"356,073","8,173,520"
waves-community-token,"May 21, 2018",0.867822,0.900801,0.815315,0.819668,"754,302","8,651,840"
waves-community-token,"May 20, 2018",0.796801,0.892504,0.789315,0.858819,"621,134","7,943,780"
waves-community-token,"May 19, 2018",0.799576,0.872877,0.775204,0.797908,"739,052","7,971,450"
waves-community-token,"May 18, 2018",0.777659,0.825948,0.750256,0.814170,"883,877","7,752,950"
waves-community-token,"May 17, 2018",0.773560,0.907650,0.742140,0.787328,"922,257","7,712,080"
waves-community-token,"May 16, 2018",0.884166,0.908437,0.710014,0.787087,"1,024,850","8,814,780"
waves-community-token,"May 15, 2018",0.945660,0.993088,0.780100,0.885802,"923,776","9,427,850"
waves-community-token,"May 14, 2018",0.977517,0.984926,0.908226,0.944653,"201,001","9,745,450"
waves-community-token,"May 13, 2018",0.892633,1.00,0.825690,0.983367,"1,521,570","8,899,190"
waves-community-token,"May 12, 2018",0.884943,0.921036,0.828882,0.882499,"1,354,380","8,822,530"
waves-community-token,"May 11, 2018",0.959197,0.967258,0.842677,0.893090,"717,981","9,562,810"
waves-community-token,"May 10, 2018",1.04,1.05,0.948960,0.959943,"47,563","10,378,300"
waves-community-token,"May 09, 2018",1.07,1.07,0.976893,1.04,"11,439","10,636,800"
waves-community-token,"May 08, 2018",1.08,1.11,1.04,1.07,"20,199","10,774,200"
waves-community-token,"May 07, 2018",1.17,1.17,1.07,1.08,"12,111","11,664,700"
waves-community-token,"May 06, 2018",1.21,1.22,1.16,1.17,"11,955","12,081,500"
waves-community-token,"May 05, 2018",1.21,1.23,1.20,1.21,"11,510","12,050,400"
