Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
wavesgo,"Jul 02, 2018",0.021693,0.028972,0.020237,0.027666,"1,974","194,770"
wavesgo,"Jul 01, 2018",0.020798,0.026425,0.020001,0.021713,"1,358","186,736"
wavesgo,"Jun 30, 2018",0.018777,0.023849,0.018625,0.020701,251,"168,587"
wavesgo,"Jun 29, 2018",0.019600,0.020617,0.017827,0.018836,956,"175,979"
wavesgo,"Jun 28, 2018",0.019661,0.020820,0.018842,0.019634,327,"176,526"
wavesgo,"Jun 27, 2018",0.019095,0.020705,0.017319,0.019620,16,"171,441"
wavesgo,"Jun 26, 2018",0.019796,0.020149,0.018794,0.019087,209,"177,739"
wavesgo,"Jun 25, 2018",0.015010,0.020018,0.014545,0.019796,103,"134,772"
wavesgo,"Jun 24, 2018",0.019772,0.019957,0.013322,0.015061,5,"177,522"
wavesgo,"Jun 23, 2018",0.020446,0.022224,0.006422,0.019748,"2,380","183,578"
wavesgo,"Jun 22, 2018",0.022766,0.206438,0.020015,0.020408,52,"206,818"
wavesgo,"Jun 21, 2018",0.024326,0.025687,0.022145,0.022748,190,"220,990"
wavesgo,"Jun 20, 2018",0.022720,0.024394,0.021436,0.024374,16,"206,397"
wavesgo,"Jun 19, 2018",0.028547,0.029016,0.022668,0.022806,0,"259,331"
wavesgo,"Jun 18, 2018",0.020713,0.029087,0.020621,0.023404,10,"188,164"
wavesgo,"Jun 17, 2018",0.026389,0.027401,0.020417,0.020734,622,"239,731"
wavesgo,"Jun 16, 2018",0.025648,0.028554,0.025465,0.026383,1,"232,995"
wavesgo,"Jun 15, 2018",0.026081,0.029783,0.024950,0.025520,195,"236,928"
wavesgo,"Jun 14, 2018",0.028930,0.029163,0.023668,0.025917,"1,024","262,815"
wavesgo,"Jun 13, 2018",0.026685,0.034311,0.025131,0.028611,120,"242,416"
wavesgo,"Jun 12, 2018",0.033430,0.035784,0.025352,0.026577,157,"303,687"
wavesgo,"Jun 11, 2018",0.034612,0.034918,0.031836,0.033236,7,"314,430"
