Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
waykichain,"Jul 02, 2018",0.603816,0.634712,0.588563,0.617194,"7,351,620","101,683,000"
waykichain,"Jul 01, 2018",0.589357,0.613907,0.578925,0.604799,"8,762,570","99,247,700"
waykichain,"Jun 30, 2018",0.577647,0.597550,0.566540,0.588630,"6,716,250","97,275,800"
waykichain,"Jun 29, 2018",0.553029,0.579580,0.532917,0.572781,"5,463,380","93,130,100"
waykichain,"Jun 28, 2018",0.584844,0.615844,0.534235,0.550007,"6,668,860","98,487,700"
waykichain,"Jun 27, 2018",0.566285,0.587431,0.519129,0.587431,"7,820,620","95,362,400"
waykichain,"Jun 26, 2018",0.592845,0.642125,0.566614,0.568711,"9,347,400","99,835,200"
waykichain,"Jun 25, 2018",0.576204,0.699416,0.564241,0.584351,"17,491,200","101,066,000"
waykichain,"Jun 24, 2018",0.415062,0.655188,0.348907,0.577049,"28,440,100","72,801,900"
waykichain,"Jun 23, 2018",0.418214,0.447038,0.380360,0.416910,"7,590,340","73,354,700"
waykichain,"Jun 22, 2018",0.618046,0.618046,0.414542,0.418101,"12,211,600","108,405,000"
waykichain,"Jun 21, 2018",0.675037,0.675037,0.553948,0.619459,"15,029,200","118,401,000"
waykichain,"Jun 20, 2018",0.738989,0.738989,0.663680,0.675202,"8,418,630","129,619,000"
waykichain,"Jun 19, 2018",0.764087,0.770992,0.691279,0.743608,"24,534,300","134,021,000"
waykichain,"Jun 18, 2018",0.800120,0.807416,0.765898,0.765898,"6,891,980","140,341,000"
waykichain,"Jun 17, 2018",0.822704,0.840957,0.769352,0.803982,"9,782,460","144,302,000"
waykichain,"Jun 16, 2018",0.735162,0.860226,0.730341,0.826695,"17,031,000","128,947,000"
waykichain,"Jun 15, 2018",1.03,1.03,0.733685,0.742427,"25,561,600","180,319,000"
waykichain,"Jun 14, 2018",1.06,1.11,0.980300,1.03,"20,308,900","186,109,000"
waykichain,"Jun 13, 2018",1.15,1.17,0.980829,1.05,"15,924,900","202,356,000"
