Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
win-coin,"Jul 02, 2018",0.639866,0.639866,0.471094,0.525064,"530,083",-
win-coin,"Jul 01, 2018",0.647200,0.695139,0.628688,0.639794,"227,735",-
win-coin,"Jun 30, 2018",0.463778,0.665674,0.463061,0.647055,"540,452",-
win-coin,"Jun 29, 2018",0.372973,0.479085,0.366317,0.460486,"292,370",-
win-coin,"Jun 28, 2018",0.368038,0.395413,0.367143,0.372735,"196,809",-
win-coin,"Jun 27, 2018",0.368073,0.370595,0.361519,0.367908,"34,765",-
win-coin,"Jun 26, 2018",0.378609,0.381035,0.367875,0.368221,"29,697",-
win-coin,"Jun 25, 2018",0.371264,0.389930,0.366653,0.378609,"42,694",-
win-coin,"Jun 24, 2018",0.370721,0.382419,0.351730,0.371982,"94,696",-
win-coin,"Jun 23, 2018",0.359637,0.377825,0.359013,0.370771,"63,472",-
win-coin,"Jun 22, 2018",0.391269,0.395618,0.353878,0.359590,"56,531",-
win-coin,"Jun 21, 2018",0.392695,0.399288,0.389891,0.391703,"57,899",-
win-coin,"Jun 20, 2018",0.398687,0.399684,0.372274,0.392614,"131,660",-
win-coin,"Jun 19, 2018",0.373831,0.416059,0.365608,0.398441,"405,236",-
win-coin,"Jun 18, 2018",0.378205,0.391074,0.351999,0.374032,"357,836",-
win-coin,"Jun 17, 2018",0.348858,0.386071,0.345279,0.379500,"210,408",-
win-coin,"Jun 16, 2018",0.357679,0.398399,0.341103,0.347879,"309,114",-
win-coin,"Jun 15, 2018",0.379683,0.380782,0.356979,0.358989,"71,868",-
win-coin,"Jun 14, 2018",0.387236,0.391473,0.364520,0.377560,"190,762",-
win-coin,"Jun 13, 2018",0.321384,0.464682,0.304229,0.387408,"481,468",-
win-coin,"Jun 12, 2018",0.330714,0.341212,0.317434,0.320554,"19,678",-
win-coin,"Jun 11, 2018",0.310755,0.356547,0.309399,0.330891,"103,556",-
win-coin,"Jun 10, 2018",0.355537,0.355537,0.309242,0.310312,"24,834",-
win-coin,"Jun 09, 2018",0.356931,0.371798,0.343254,0.355090,"18,555",-
win-coin,"Jun 08, 2018",0.365867,0.365867,0.351294,0.357084,"22,396",-
