Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
zetamicron,"Jul 02, 2018",0.000063,0.000132,0.000063,0.000066,141,"38,101"
zetamicron,"Jul 01, 2018",0.000064,0.000128,0.000063,0.000063,667,"38,346"
zetamicron,"Jun 30, 2018",0.000062,0.000065,0.000062,0.000064,"1,085","37,251"
zetamicron,"Jun 29, 2018",0.000117,0.000118,0.000058,0.000062,6,"70,462"
zetamicron,"Jun 28, 2018",0.000061,0.000122,0.000061,0.000117,231,"36,825"
zetamicron,"Jun 27, 2018",0.000061,0.000062,0.000060,0.000061,693,"36,503"
zetamicron,"Jun 26, 2018",0.000062,0.000062,0.000061,0.000061,53,"37,290"
zetamicron,"Jun 25, 2018",0.000062,0.000063,0.000061,0.000063,1,"36,925"
zetamicron,"Jun 24, 2018",0.000062,0.000063,0.000058,0.000062,23,"37,021"
zetamicron,"Jun 23, 2018",0.000121,0.000123,0.000061,0.000062,13,"72,665"
zetamicron,"Jun 22, 2018",0.000067,0.000133,0.000061,0.000121,81,"40,311"
zetamicron,"Jun 21, 2018",0.000068,0.000136,0.000067,0.000067,416,"40,532"
zetamicron,"Jun 20, 2018",0.000068,0.000135,0.000066,0.000068,305,"40,553"
zetamicron,"Jun 19, 2018",0.000067,0.000068,0.000067,0.000068,118,"40,404"
zetamicron,"Jun 18, 2018",0.000065,0.000068,0.000064,0.000067,46,"38,885"
zetamicron,"Jun 17, 2018",0.000065,0.000066,0.000065,0.000065,4,"39,190"
zetamicron,"Jun 16, 2018",0.000064,0.000066,0.000064,0.000065,29,"38,554"
zetamicron,"Jun 15, 2018",0.000066,0.000067,0.000064,0.000064,121,"39,885"
zetamicron,"Jun 14, 2018",0.000063,0.000067,0.000063,0.000067,69,"37,938"
zetamicron,"Jun 13, 2018",0.000066,0.000066,0.000062,0.000063,5,"39,521"
zetamicron,"Jun 12, 2018",0.000138,0.000138,0.000065,0.000066,65,"82,698"
zetamicron,"Jun 11, 2018",0.000068,0.000139,0.000067,0.000138,182,"40,675"
zetamicron,"Jun 10, 2018",0.000150,0.000150,0.000067,0.000068,8,"90,116"
zetamicron,"Jun 09, 2018",0.000076,0.000153,0.000076,0.000150,997,"45,789"
zetamicron,"Jun 08, 2018",0.000077,0.000077,0.000076,0.000076,218,"46,122"
zetamicron,"Jun 07, 2018",0.000153,0.000155,0.000077,0.000077,265,"91,934"
zetamicron,"Jun 06, 2018",0.000076,0.000154,0.000076,0.000153,235,"45,770"
zetamicron,"Jun 05, 2018",0.000150,0.000223,0.000076,0.000076,"4,292","90,079"
zetamicron,"Jun 04, 2018",0.000231,0.000232,0.000075,0.000150,"5,551","138,840"
zetamicron,"Jun 03, 2018",0.000076,0.000306,0.000076,0.000231,"891,606","45,835"
zetamicron,"Jun 02, 2018",0.000075,0.000077,0.000075,0.000076,8,"45,126"
zetamicron,"Jun 01, 2018",0.000150,0.000151,0.000074,0.000075,7,"89,951"
