Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
zilbercoin,"Jul 02, 2018",0.049059,0.052237,0.030581,0.034025,"4,759","379,583"
zilbercoin,"Jul 01, 2018",0.058572,0.075207,0.048290,0.049054,"4,497","453,146"
zilbercoin,"Jun 30, 2018",0.066640,0.077367,0.055260,0.058559,"1,440","508,176"
zilbercoin,"Jun 29, 2018",0.064553,0.067694,0.059182,0.066550,"1,859","492,238"
zilbercoin,"Jun 28, 2018",0.058517,0.065451,0.057219,0.064512,"2,064","437,844"
zilbercoin,"Jun 27, 2018",0.060561,0.061906,0.048742,0.058497,"4,746","449,276"
zilbercoin,"Jun 26, 2018",0.068729,0.069001,0.055641,0.060585,"1,910","509,874"
zilbercoin,"Jun 25, 2018",0.057324,0.068729,0.057184,0.068729,"3,731","423,433"
zilbercoin,"Jun 24, 2018",0.063640,0.063744,0.056212,0.057435,"3,091","467,618"
zilbercoin,"Jun 23, 2018",0.067177,0.070805,0.060991,0.063649,"5,638","493,583"
zilbercoin,"Jun 22, 2018",0.079098,0.084752,0.066931,0.067168,"1,933","581,173"
zilbercoin,"Jun 21, 2018",0.075616,0.085455,0.075081,0.079186,"2,426","555,587"
zilbercoin,"Jun 20, 2018",0.070522,0.088788,0.068762,0.075601,"5,295","518,148"
zilbercoin,"Jun 19, 2018",0.074705,0.080437,0.064791,0.070478,"1,629","548,863"
zilbercoin,"Jun 18, 2018",0.084194,0.091117,0.061130,0.074746,"10,359","618,557"
zilbercoin,"Jun 17, 2018",0.058229,0.099133,0.052239,0.084483,"13,538","427,768"
zilbercoin,"Jun 16, 2018",0.061010,0.069134,0.055087,0.058075,"2,858","448,166"
zilbercoin,"Jun 15, 2018",0.079934,0.098296,0.058339,0.061233,"7,459","587,174"
zilbercoin,"Jun 14, 2018",0.128317,0.131841,0.054227,0.080066,"34,463","942,497"
zilbercoin,"Jun 13, 2018",0.121802,0.129505,0.112363,0.128374,"4,330","860,557"
zilbercoin,"Jun 12, 2018",0.158477,0.162265,0.110035,0.121487,"11,784","1,119,610"
zilbercoin,"Jun 11, 2018",0.158436,0.168138,0.155635,0.158562,"1,905","1,119,310"
zilbercoin,"Jun 10, 2018",0.168757,0.174804,0.153895,0.158210,"2,267","1,192,220"
zilbercoin,"Jun 09, 2018",0.178099,0.188401,0.168545,0.168545,"5,139","1,258,100"
zilbercoin,"Jun 08, 2018",0.164329,0.179693,0.158100,0.178175,"5,505","1,160,750"
zilbercoin,"Jun 07, 2018",0.171971,0.199374,0.148002,0.164204,"14,441","1,214,710"
zilbercoin,"Jun 06, 2018",0.160828,0.198403,0.160482,0.171813,"10,615","1,135,950"
zilbercoin,"Jun 05, 2018",0.170549,0.197655,0.122852,0.175201,"26,508","1,204,580"
zilbercoin,"Jun 04, 2018",0.209226,0.247720,0.152191,0.170467,"43,508","1,477,280"
zilbercoin,"Jun 03, 2018",0.095419,0.236108,0.094568,0.217901,"99,932","673,726"
zilbercoin,"Jun 02, 2018",0.082644,0.094404,0.075276,0.094327,"7,001","583,525"
zilbercoin,"Jun 01, 2018",0.074472,0.082866,0.070707,0.082680,"2,415","525,826"
zilbercoin,"May 31, 2018",0.081165,0.081165,0.067618,0.074418,"4,540","573,081"
zilbercoin,"May 30, 2018",0.062872,0.086291,0.062797,0.081180,"11,839","443,918"
zilbercoin,"May 29, 2018",0.065845,0.070135,0.057494,0.062829,"3,451","464,911"
zilbercoin,"May 28, 2018",0.054136,0.066674,0.052980,0.065866,"6,252","382,235"
zilbercoin,"May 27, 2018",0.067996,0.068397,0.053810,0.054123,30,"480,101"
zilbercoin,"May 26, 2018",0.046899,0.068114,0.046415,0.067966,184,"331,138"
zilbercoin,"May 25, 2018",0.054527,0.055170,0.046362,0.046960,123,-
zilbercoin,"May 24, 2018",0.053765,0.055671,0.051399,0.054425,100,-
zilbercoin,"May 23, 2018",0.080034,0.080267,0.053379,0.053901,207,-
zilbercoin,"May 22, 2018",0.042459,0.119101,0.041811,0.080117,463,-
zilbercoin,"May 21, 2018",0.041602,0.042976,0.041400,0.042466,79,-
zilbercoin,"May 20, 2018",0.035703,0.035886,0.035471,0.035766,11,-
zilbercoin,"May 19, 2018",0.036038,0.036230,0.035394,0.035676,15,-
zilbercoin,"May 18, 2018",0.036351,0.037215,0.035812,0.037108,14,-
zilbercoin,"May 17, 2018",0.039946,0.040003,0.036111,0.036319,96,-
zilbercoin,"May 16, 2018",0.037230,0.037715,0.035765,0.037487,1,-
zilbercoin,"May 15, 2018",0.035979,0.038427,0.035156,0.037250,"4,219",-
zilbercoin,"May 14, 2018",0.034112,0.036032,0.032257,0.036032,"2,714",-
zilbercoin,"May 13, 2018",0.032427,0.035445,0.032414,0.035273,"1,560",-
zilbercoin,"May 12, 2018",0.030198,0.032714,0.029262,0.032438,601,-
zilbercoin,"May 11, 2018",0.034155,0.034528,0.030081,0.030256,"1,255",-
zilbercoin,"May 10, 2018",0.036057,0.038374,0.032815,0.034127,"1,187",-
zilbercoin,"May 09, 2018",0.035550,0.036632,0.034231,0.036060,130,-
zilbercoin,"May 08, 2018",0.033753,0.035704,0.031474,0.035598,796,-
zilbercoin,"May 07, 2018",0.035173,0.036539,0.031024,0.033707,410,-
zilbercoin,"May 06, 2018",0.034826,0.036778,0.031448,0.035156,204,-
zilbercoin,"May 05, 2018",0.033532,0.034954,0.032178,0.034810,"1,263",-
zilbercoin,"May 04, 2018",0.032441,0.037596,0.031912,0.033546,764,-
zilbercoin,"May 03, 2018",0.036110,0.039570,0.031822,0.032453,910,-
zilbercoin,"May 02, 2018",0.035208,0.037001,0.034461,0.036109,444,-
zilbercoin,"May 01, 2018",0.035093,0.035316,0.033920,0.035257,802,-
zilbercoin,"Apr 30, 2018",0.039177,0.039328,0.034896,0.035062,826,-
zilbercoin,"Apr 29, 2018",0.037232,0.046894,0.037232,0.039189,"8,134",-
zilbercoin,"Apr 28, 2018",0.040635,0.042901,0.036952,0.037242,"1,099",-
zilbercoin,"Apr 27, 2018",0.043059,0.043059,0.038864,0.040772,916,-
zilbercoin,"Apr 26, 2018",0.037009,0.043309,0.034279,0.043004,"3,889",-
zilbercoin,"Apr 25, 2018",0.037300,0.040825,0.034245,0.036712,371,-
zilbercoin,"Apr 24, 2018",0.034033,0.040298,0.031833,0.037536,"1,001",-
zilbercoin,"Apr 23, 2018",0.033135,0.034886,0.032355,0.034011,341,-
zilbercoin,"Apr 22, 2018",0.035018,0.042587,0.032442,0.033169,523,-
zilbercoin,"Apr 21, 2018",0.029478,0.035755,0.027120,0.035020,"1,925",-
zilbercoin,"Apr 20, 2018",0.030706,0.031804,0.024436,0.029471,"3,181",-
zilbercoin,"Apr 19, 2018",0.032744,0.033439,0.030483,0.030691,542,-
zilbercoin,"Apr 18, 2018",0.029566,0.033304,0.029023,0.032732,369,-
zilbercoin,"Apr 17, 2018",0.033383,0.036002,0.026795,0.029542,"4,273",-
zilbercoin,"Apr 16, 2018",0.037441,0.037669,0.029072,0.033381,"2,829",-
zilbercoin,"Apr 15, 2018",0.042999,0.045593,0.026702,0.037562,"9,254",-
zilbercoin,"Apr 14, 2018",0.012984,0.047635,0.012946,0.042965,"26,836",-
zilbercoin,"Apr 13, 2018",0.011124,0.013627,0.010919,0.012984,937,-
zilbercoin,"Apr 12, 2018",0.009061,0.011492,0.009018,0.011111,61,-
zilbercoin,"Apr 11, 2018",0.008420,0.009448,0.008271,0.009084,91,-
zilbercoin,"Apr 10, 2018",0.008430,0.009466,0.008151,0.008412,192,-
zilbercoin,"Apr 09, 2018",0.009044,0.009177,0.008358,0.008427,79,-
zilbercoin,"Apr 08, 2018",0.009734,0.009874,0.009021,0.009032,50,-
zilbercoin,"Apr 07, 2018",0.009238,0.009726,0.008270,0.009726,45,-
zilbercoin,"Apr 06, 2018",0.009301,0.009668,0.008750,0.009230,110,-
zilbercoin,"Apr 05, 2018",0.009382,0.010294,0.009101,0.009338,87,-
zilbercoin,"Apr 04, 2018",0.011596,0.011596,0.009203,0.010734,241,-
zilbercoin,"Apr 03, 2018",0.010585,0.012130,0.010550,0.011603,73,-
zilbercoin,"Apr 02, 2018",0.010911,0.011817,0.010044,0.010577,184,-
zilbercoin,"Apr 01, 2018",0.011037,0.011193,0.009287,0.010858,4,-
zilbercoin,"Mar 31, 2018",0.011462,0.011828,0.009991,0.011037,76,-
zilbercoin,"Mar 30, 2018",0.010112,0.011596,0.009467,0.011461,239,-
zilbercoin,"Mar 29, 2018",0.013182,0.013203,0.008855,0.010136,484,-
zilbercoin,"Mar 28, 2018",0.013348,0.013491,0.012352,0.013167,96,-
zilbercoin,"Mar 27, 2018",0.014284,0.014327,0.012015,0.013351,310,-
