Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
zsecoin,"Jul 02, 2018",0.004422,0.004773,0.004145,0.004728,55,-
zsecoin,"Jul 01, 2018",0.004613,0.004768,0.004164,0.004422,27,-
zsecoin,"Jun 30, 2018",0.004592,0.005288,0.003975,0.004612,505,-
zsecoin,"Jun 29, 2018",0.004577,0.005153,0.003699,0.004585,918,-
zsecoin,"Jun 28, 2018",0.004296,0.004745,0.004016,0.004574,18,-
zsecoin,"Jun 27, 2018",0.004841,0.005583,0.004290,0.004294,253,-
zsecoin,"Jun 26, 2018",0.004998,0.005241,0.004838,0.004842,151,-
zsecoin,"Jun 25, 2018",0.006237,0.006258,0.004998,0.004998,455,-
zsecoin,"Jun 24, 2018",0.006387,0.006488,0.005993,0.006249,250,-
zsecoin,"Jun 23, 2018",0.006657,0.006765,0.006173,0.006388,193,-
zsecoin,"Jun 22, 2018",0.006906,0.006919,0.005845,0.006656,401,-
zsecoin,"Jun 21, 2018",0.006948,0.007685,0.006731,0.006914,371,-
zsecoin,"Jun 20, 2018",0.006687,0.007721,0.005670,0.006946,472,-
zsecoin,"Jun 19, 2018",0.005653,0.009358,0.005524,0.006683,"6,683",-
zsecoin,"Jun 18, 2018",0.005260,0.005664,0.005146,0.005656,150,-
zsecoin,"Jun 17, 2018",0.005614,0.006089,0.005261,0.005278,122,-
zsecoin,"Jun 16, 2018",0.005716,0.005835,0.005599,0.005599,13,-
zsecoin,"Jun 15, 2018",0.005847,0.005854,0.005616,0.005737,35,-
zsecoin,"Jun 14, 2018",0.005561,0.005884,0.005550,0.005856,61,-
zsecoin,"Jun 13, 2018",0.006451,0.006821,0.005459,0.005564,190,-
zsecoin,"Jun 12, 2018",0.006543,0.008401,0.006376,0.006435,471,-
zsecoin,"Jun 11, 2018",0.005962,0.006581,0.005878,0.006547,54,-
zsecoin,"Jun 10, 2018",0.006905,0.006905,0.005928,0.005954,362,-
zsecoin,"Jun 09, 2018",0.006808,0.007010,0.006107,0.006896,352,-
zsecoin,"Jun 08, 2018",0.007610,0.007625,0.006510,0.006811,481,-
zsecoin,"Jun 07, 2018",0.007963,0.008099,0.007578,0.007604,148,-
zsecoin,"Jun 06, 2018",0.008143,0.008967,0.007426,0.007956,214,-
zsecoin,"Jun 05, 2018",0.008328,0.008336,0.007307,0.008146,158,-
zsecoin,"Jun 04, 2018",0.008020,0.008710,0.007399,0.008324,910,-
zsecoin,"Jun 03, 2018",0.007559,0.012402,0.007163,0.008016,"7,866",-
zsecoin,"Jun 02, 2018",0.007441,0.008046,0.007400,0.007556,167,-
zsecoin,"Jun 01, 2018",0.007567,0.008850,0.007325,0.007445,101,-
zsecoin,"May 31, 2018",0.007599,0.008640,0.007208,0.007562,321,-
zsecoin,"May 30, 2018",0.007763,0.007852,0.007018,0.007601,271,-
zsecoin,"May 29, 2018",0.007527,0.008452,0.007337,0.007758,78,-
zsecoin,"May 28, 2018",0.007205,0.007991,0.007121,0.007529,155,-
zsecoin,"May 27, 2018",0.008509,0.009592,0.005552,0.007203,847,-
zsecoin,"May 26, 2018",0.009111,0.009111,0.008499,0.008505,175,-
zsecoin,"May 25, 2018",0.009000,0.010177,0.008859,0.009123,342,-
zsecoin,"May 24, 2018",0.009460,0.009600,0.006185,0.008832,"2,595",-
zsecoin,"May 23, 2018",0.009444,0.011676,0.009052,0.009484,905,-
zsecoin,"May 22, 2018",0.011266,0.011275,0.009401,0.009454,171,-
zsecoin,"May 21, 2018",0.011984,0.012445,0.010087,0.011268,527,-
zsecoin,"May 20, 2018",0.012121,0.012698,0.010851,0.011969,917,-
zsecoin,"May 19, 2018",0.014087,0.014621,0.009433,0.012112,"3,111",-
zsecoin,"May 18, 2018",0.016544,0.016544,0.009474,0.010960,"6,445",-
